iter	Passed	Remaining
0	5	678
1	10	598
2	15	604
3	21	614
4	26	603
5	31	603
6	37	597
7	41	577
8	46	571
9	51	563
10	56	560
11	61	554
12	65	541
13	69	529
14	74	519
15	78	511
16	82	501
17	86	492
18	91	485
19	95	477
20	99	468
21	103	462
22	108	458
23	113	452
24	118	449
25	123	445
26	127	438
27	131	432
28	136	428
29	141	424
30	146	419
31	150	412
32	153	405
33	157	398
34	161	392
35	166	388
36	172	385
37	176	380
38	180	375
39	184	369
40	188	363
41	192	357
42	196	352
43	200	346
44	204	341
45	209	336
46	213	331
47	217	325
48	221	320
49	226	316
50	231	312
51	236	308
52	240	304
53	245	299
54	249	294
55	253	290
56	259	286
57	265	283
58	274	283
59	288	288
60	296	286
61	305	285
62	312	282
63	319	279
64	330	279
65	339	277
66	353	279
67	365	279
68	372	275
69	382	273
70	389	268
71	394	263
72	399	257
73	404	251
74	409	245
75	413	239
76	417	233
77	422	227
78	427	221
79	432	216
80	438	210
81	443	205
82	450	200
83	456	195
84	461	189
85	468	185
86	473	179
87	478	174
88	483	168
89	488	162
90	493	157
91	498	151
92	504	146
93	508	140
94	514	135
95	519	129
96	524	124
97	529	118
98	534	113
99	540	108
100	545	102
101	550	97
102	555	91
103	565	87
104	589	84
105	596	78
106	603	73
107	608	67
108	613	61
109	617	56
110	621	50
111	625	44
112	629	38
113	632	33
114	636	27
115	640	22
116	644	16
117	648	10
118	652	5
119	656	0
