symbol,name,theme_count,themes,reasons
000001,平安银行,1,data_element_fintech_ai_app,free all-A stock list; theme inferred from public name keywords
000002,万  科Ａ,1,mega_hot_free_market_extension,free all-A stock list; theme inferred from public name keywords
000004,*ST国华,1,mega_hot_free_market_extension,free all-A stock list; theme inferred from public name keywords
000006,深振业Ａ,1,mega_hot_free_market_extension,free all-A stock list; theme inferred from public name keywords
000007,全新好,1,mega_hot_free_market_extension,free all-A stock list; theme inferred from public name keywords
000008,神州高铁,1,mega_hot_free_market_extension,free all-A stock list; theme inferred from public name keywords
000009,中国宝安,1,central_soe_high_dividend,free all-A stock list; theme inferred from public name keywords
000010,*ST美丽,1,mega_hot_free_market_extension,free all-A stock list; theme inferred from public name keywords
000011,深物业A,1,mega_hot_free_market_extension,free all-A stock list; theme inferred from public name keywords
000012,南  玻Ａ,1,mega_hot_free_market_extension,free all-A stock list; theme inferred from public name keywords
000014,沙河股份,1,mega_hot_free_market_extension,free all-A stock list; theme inferred from public name keywords
000016,*ST康佳A,1,mega_hot_free_market_extension,free all-A stock list; theme inferred from public name keywords
000017,深中华A,1,mega_hot_free_market_extension,free all-A stock list; theme inferred from public name keywords
000019,深粮控股,1,mega_hot_free_market_extension,free all-A stock list; theme inferred from public name keywords
000020,深华发Ａ,1,mega_hot_free_market_extension,free all-A stock list; theme inferred from public name keywords
000021,深科技,1,ai_compute_semiconductor,free all-A stock list; theme inferred from public name keywords
000025,特  力Ａ,1,mega_hot_free_market_extension,free all-A stock list; theme inferred from public name keywords
000026,飞亚达,1,mega_hot_free_market_extension,free all-A stock list; theme inferred from public name keywords
000027,深圳能源,1,power_solid_state_battery,free all-A stock list; theme inferred from public name keywords
000028,国药一致,1,innovative_drug_medical_device,free all-A stock list; theme inferred from public name keywords
000029,深深房Ａ,1,mega_hot_free_market_extension,free all-A stock list; theme inferred from public name keywords
000030,富奥股份,1,mega_hot_free_market_extension,free all-A stock list; theme inferred from public name keywords
