theme,theme_group,symbol,name,reason,seed_rank,seed_weight,source_note,source,notes
data_element_fintech_ai_app,all_a_free,000001,平安银行,free all-A stock list; theme inferred from public name keywords,1,1.0,akshare_stock_info_a_code_name,akshare_stock_info_a_code_name,free all-A stock list; theme inferred from public name keywords
mega_hot_free_market_extension,all_a_free,000002,万  科Ａ,free all-A stock list; theme inferred from public name keywords,2,0.5,akshare_stock_info_a_code_name,akshare_stock_info_a_code_name,free all-A stock list; theme inferred from public name keywords
mega_hot_free_market_extension,all_a_free,000004,*ST国华,free all-A stock list; theme inferred from public name keywords,3,0.3333333333333333,akshare_stock_info_a_code_name,akshare_stock_info_a_code_name,free all-A stock list; theme inferred from public name keywords
mega_hot_free_market_extension,all_a_free,000006,深振业Ａ,free all-A stock list; theme inferred from public name keywords,4,0.25,akshare_stock_info_a_code_name,akshare_stock_info_a_code_name,free all-A stock list; theme inferred from public name keywords
mega_hot_free_market_extension,all_a_free,000007,全新好,free all-A stock list; theme inferred from public name keywords,5,0.2,akshare_stock_info_a_code_name,akshare_stock_info_a_code_name,free all-A stock list; theme inferred from public name keywords
mega_hot_free_market_extension,all_a_free,000008,神州高铁,free all-A stock list; theme inferred from public name keywords,6,0.16666666666666666,akshare_stock_info_a_code_name,akshare_stock_info_a_code_name,free all-A stock list; theme inferred from public name keywords
central_soe_high_dividend,all_a_free,000009,中国宝安,free all-A stock list; theme inferred from public name keywords,7,0.14285714285714285,akshare_stock_info_a_code_name,akshare_stock_info_a_code_name,free all-A stock list; theme inferred from public name keywords
mega_hot_free_market_extension,all_a_free,000010,*ST美丽,free all-A stock list; theme inferred from public name keywords,8,0.125,akshare_stock_info_a_code_name,akshare_stock_info_a_code_name,free all-A stock list; theme inferred from public name keywords
mega_hot_free_market_extension,all_a_free,000011,深物业A,free all-A stock list; theme inferred from public name keywords,9,0.1111111111111111,akshare_stock_info_a_code_name,akshare_stock_info_a_code_name,free all-A stock list; theme inferred from public name keywords
mega_hot_free_market_extension,all_a_free,000012,南  玻Ａ,free all-A stock list; theme inferred from public name keywords,10,0.1,akshare_stock_info_a_code_name,akshare_stock_info_a_code_name,free all-A stock list; theme inferred from public name keywords
mega_hot_free_market_extension,all_a_free,000014,沙河股份,free all-A stock list; theme inferred from public name keywords,11,0.09090909090909091,akshare_stock_info_a_code_name,akshare_stock_info_a_code_name,free all-A stock list; theme inferred from public name keywords
mega_hot_free_market_extension,all_a_free,000016,*ST康佳A,free all-A stock list; theme inferred from public name keywords,12,0.08333333333333333,akshare_stock_info_a_code_name,akshare_stock_info_a_code_name,free all-A stock list; theme inferred from public name keywords
mega_hot_free_market_extension,all_a_free,000017,深中华A,free all-A stock list; theme inferred from public name keywords,13,0.07692307692307693,akshare_stock_info_a_code_name,akshare_stock_info_a_code_name,free all-A stock list; theme inferred from public name keywords
mega_hot_free_market_extension,all_a_free,000019,深粮控股,free all-A stock list; theme inferred from public name keywords,14,0.07142857142857142,akshare_stock_info_a_code_name,akshare_stock_info_a_code_name,free all-A stock list; theme inferred from public name keywords
mega_hot_free_market_extension,all_a_free,000020,深华发Ａ,free all-A stock list; theme inferred from public name keywords,15,0.06666666666666667,akshare_stock_info_a_code_name,akshare_stock_info_a_code_name,free all-A stock list; theme inferred from public name keywords
ai_compute_semiconductor,all_a_free,000021,深科技,free all-A stock list; theme inferred from public name keywords,16,0.0625,akshare_stock_info_a_code_name,akshare_stock_info_a_code_name,free all-A stock list; theme inferred from public name keywords
mega_hot_free_market_extension,all_a_free,000025,特  力Ａ,free all-A stock list; theme inferred from public name keywords,17,0.058823529411764705,akshare_stock_info_a_code_name,akshare_stock_info_a_code_name,free all-A stock list; theme inferred from public name keywords
mega_hot_free_market_extension,all_a_free,000026,飞亚达,free all-A stock list; theme inferred from public name keywords,18,0.05555555555555555,akshare_stock_info_a_code_name,akshare_stock_info_a_code_name,free all-A stock list; theme inferred from public name keywords
power_solid_state_battery,all_a_free,000027,深圳能源,free all-A stock list; theme inferred from public name keywords,19,0.05263157894736842,akshare_stock_info_a_code_name,akshare_stock_info_a_code_name,free all-A stock list; theme inferred from public name keywords
innovative_drug_medical_device,all_a_free,000028,国药一致,free all-A stock list; theme inferred from public name keywords,20,0.05,akshare_stock_info_a_code_name,akshare_stock_info_a_code_name,free all-A stock list; theme inferred from public name keywords
mega_hot_free_market_extension,all_a_free,000029,深深房Ａ,free all-A stock list; theme inferred from public name keywords,21,0.047619047619047616,akshare_stock_info_a_code_name,akshare_stock_info_a_code_name,free all-A stock list; theme inferred from public name keywords
mega_hot_free_market_extension,all_a_free,000030,富奥股份,free all-A stock list; theme inferred from public name keywords,22,0.045454545454545456,akshare_stock_info_a_code_name,akshare_stock_info_a_code_name,free all-A stock list; theme inferred from public name keywords
mega_hot_free_market_extension,all_a_free,000031,大悦城,free all-A stock list; theme inferred from public name keywords,23,0.043478260869565216,akshare_stock_info_a_code_name,akshare_stock_info_a_code_name,free all-A stock list; theme inferred from public name keywords
mega_hot_free_market_extension,all_a_free,000032,深桑达Ａ,free all-A stock list; theme inferred from public name keywords,24,0.041666666666666664,akshare_stock_info_a_code_name,akshare_stock_info_a_code_name,free all-A stock list; theme inferred from public name keywords
mega_hot_free_market_extension,all_a_free,000034,神州数码,free all-A stock list; theme inferred from public name keywords,25,0.04,akshare_stock_info_a_code_name,akshare_stock_info_a_code_name,free all-A stock list; theme inferred from public name keywords
central_soe_high_dividend,all_a_free,000035,中国天楹,free all-A stock list; theme inferred from public name keywords,26,0.038461538461538464,akshare_stock_info_a_code_name,akshare_stock_info_a_code_name,free all-A stock list; theme inferred from public name keywords
mega_hot_free_market_extension,all_a_free,000036,华联控股,free all-A stock list; theme inferred from public name keywords,27,0.037037037037037035,akshare_stock_info_a_code_name,akshare_stock_info_a_code_name,free all-A stock list; theme inferred from public name keywords
mega_hot_free_market_extension,all_a_free,000037,深南电A,free all-A stock list; theme inferred from public name keywords,28,0.03571428571428571,akshare_stock_info_a_code_name,akshare_stock_info_a_code_name,free all-A stock list; theme inferred from public name keywords
mega_hot_free_market_extension,all_a_free,000039,中集集团,free all-A stock list; theme inferred from public name keywords,29,0.034482758620689655,akshare_stock_info_a_code_name,akshare_stock_info_a_code_name,free all-A stock list; theme inferred from public name keywords
mega_hot_free_market_extension,all_a_free,000042,中洲控股,free all-A stock list; theme inferred from public name keywords,30,0.03333333333333333,akshare_stock_info_a_code_name,akshare_stock_info_a_code_name,free all-A stock list; theme inferred from public name keywords
mega_hot_free_market_extension,all_a_free,000045,深纺织Ａ,free all-A stock list; theme inferred from public name keywords,31,0.03225806451612903,akshare_stock_info_a_code_name,akshare_stock_info_a_code_name,free all-A stock list; theme inferred from public name keywords
agriculture_food_beverage,all_a_free,000048,京基智农,free all-A stock list; theme inferred from public name keywords,32,0.03125,akshare_stock_info_a_code_name,akshare_stock_info_a_code_name,free all-A stock list; theme inferred from public name keywords
power_solid_state_battery,all_a_free,000049,德赛电池,free all-A stock list; theme inferred from public name keywords,33,0.030303030303030304,akshare_stock_info_a_code_name,akshare_stock_info_a_code_name,free all-A stock list; theme inferred from public name keywords
mega_hot_free_market_extension,all_a_free,000050,深天马Ａ,free all-A stock list; theme inferred from public name keywords,34,0.029411764705882353,akshare_stock_info_a_code_name,akshare_stock_info_a_code_name,free all-A stock list; theme inferred from public name keywords
mega_hot_free_market_extension,all_a_free,000055,方大集团,free all-A stock list; theme inferred from public name keywords,35,0.02857142857142857,akshare_stock_info_a_code_name,akshare_stock_info_a_code_name,free all-A stock list; theme inferred from public name keywords
mega_hot_free_market_extension,all_a_free,000056,*ST皇庭,free all-A stock list; theme inferred from public name keywords,36,0.027777777777777776,akshare_stock_info_a_code_name,akshare_stock_info_a_code_name,free all-A stock list; theme inferred from public name keywords
mega_hot_free_market_extension,all_a_free,000058,深 赛 格,free all-A stock list; theme inferred from public name keywords,37,0.02702702702702703,akshare_stock_info_a_code_name,akshare_stock_info_a_code_name,free all-A stock list; theme inferred from public name keywords
mega_hot_free_market_extension,all_a_free,000059,华锦股份,free all-A stock list; theme inferred from public name keywords,38,0.02631578947368421,akshare_stock_info_a_code_name,akshare_stock_info_a_code_name,free all-A stock list; theme inferred from public name keywords
mega_hot_free_market_extension,all_a_free,000060,中金岭南,free all-A stock list; theme inferred from public name keywords,39,0.02564102564102564,akshare_stock_info_a_code_name,akshare_stock_info_a_code_name,free all-A stock list; theme inferred from public name keywords
agriculture_food_beverage,all_a_free,000061,农 产 品,free all-A stock list; theme inferred from public name keywords,40,0.025,akshare_stock_info_a_code_name,akshare_stock_info_a_code_name,free all-A stock list; theme inferred from public name keywords
mega_hot_free_market_extension,all_a_free,000062,深圳华强,free all-A stock list; theme inferred from public name keywords,41,0.024390243902439025,akshare_stock_info_a_code_name,akshare_stock_info_a_code_name,free all-A stock list; theme inferred from public name keywords
mega_hot_free_market_extension,all_a_free,000063,中兴通讯,free all-A stock list; theme inferred from public name keywords,42,0.023809523809523808,akshare_stock_info_a_code_name,akshare_stock_info_a_code_name,free all-A stock list; theme inferred from public name keywords
mega_hot_free_market_extension,all_a_free,000065,北方国际,free all-A stock list; theme inferred from public name keywords,43,0.023255813953488372,akshare_stock_info_a_code_name,akshare_stock_info_a_code_name,free all-A stock list; theme inferred from public name keywords
central_soe_high_dividend,all_a_free,000066,中国长城,free all-A stock list; theme inferred from public name keywords,44,0.022727272727272728,akshare_stock_info_a_code_name,akshare_stock_info_a_code_name,free all-A stock list; theme inferred from public name keywords
mega_hot_free_market_extension,all_a_free,000068,华控赛格,free all-A stock list; theme inferred from public name keywords,45,0.022222222222222223,akshare_stock_info_a_code_name,akshare_stock_info_a_code_name,free all-A stock list; theme inferred from public name keywords
mega_hot_free_market_extension,all_a_free,000069,华侨城Ａ,free all-A stock list; theme inferred from public name keywords,46,0.021739130434782608,akshare_stock_info_a_code_name,akshare_stock_info_a_code_name,free all-A stock list; theme inferred from public name keywords
mega_hot_free_market_extension,all_a_free,000070,特发信息,free all-A stock list; theme inferred from public name keywords,47,0.02127659574468085,akshare_stock_info_a_code_name,akshare_stock_info_a_code_name,free all-A stock list; theme inferred from public name keywords
mega_hot_free_market_extension,all_a_free,000078,ST海王,free all-A stock list; theme inferred from public name keywords,48,0.020833333333333332,akshare_stock_info_a_code_name,akshare_stock_info_a_code_name,free all-A stock list; theme inferred from public name keywords
mega_hot_free_market_extension,all_a_free,000088,盐 田 港,free all-A stock list; theme inferred from public name keywords,49,0.02040816326530612,akshare_stock_info_a_code_name,akshare_stock_info_a_code_name,free all-A stock list; theme inferred from public name keywords
mega_hot_free_market_extension,all_a_free,000089,深圳机场,free all-A stock list; theme inferred from public name keywords,50,0.02,akshare_stock_info_a_code_name,akshare_stock_info_a_code_name,free all-A stock list; theme inferred from public name keywords
mega_hot_free_market_extension,all_a_free,000090,天健集团,free all-A stock list; theme inferred from public name keywords,51,0.0196078431372549,akshare_stock_info_a_code_name,akshare_stock_info_a_code_name,free all-A stock list; theme inferred from public name keywords
power_solid_state_battery,all_a_free,000096,广聚能源,free all-A stock list; theme inferred from public name keywords,52,0.019230769230769232,akshare_stock_info_a_code_name,akshare_stock_info_a_code_name,free all-A stock list; theme inferred from public name keywords
mega_hot_free_market_extension,all_a_free,000099,中信海直,free all-A stock list; theme inferred from public name keywords,53,0.018867924528301886,akshare_stock_info_a_code_name,akshare_stock_info_a_code_name,free all-A stock list; theme inferred from public name keywords
ai_compute_semiconductor,all_a_free,000100,TCL科技,free all-A stock list; theme inferred from public name keywords,54,0.018518518518518517,akshare_stock_info_a_code_name,akshare_stock_info_a_code_name,free all-A stock list; theme inferred from public name keywords
mega_hot_free_market_extension,all_a_free,000151,中成股份,free all-A stock list; theme inferred from public name keywords,55,0.01818181818181818,akshare_stock_info_a_code_name,akshare_stock_info_a_code_name,free all-A stock list; theme inferred from public name keywords
innovative_drug_medical_device,all_a_free,000153,丰原药业,free all-A stock list; theme inferred from public name keywords,56,0.017857142857142856,akshare_stock_info_a_code_name,akshare_stock_info_a_code_name,free all-A stock list; theme inferred from public name keywords
mega_hot_free_market_extension,all_a_free,000155,川能动力,free all-A stock list; theme inferred from public name keywords,57,0.017543859649122806,akshare_stock_info_a_code_name,akshare_stock_info_a_code_name,free all-A stock list; theme inferred from public name keywords
data_element_fintech_ai_app,all_a_free,000156,华数传媒,free all-A stock list; theme inferred from public name keywords,58,0.017241379310344827,akshare_stock_info_a_code_name,akshare_stock_info_a_code_name,free all-A stock list; theme inferred from public name keywords
mega_hot_free_market_extension,all_a_free,000157,中联重科,free all-A stock list; theme inferred from public name keywords,59,0.01694915254237288,akshare_stock_info_a_code_name,akshare_stock_info_a_code_name,free all-A stock list; theme inferred from public name keywords
mega_hot_free_market_extension,all_a_free,000158,常山北明,free all-A stock list; theme inferred from public name keywords,60,0.016666666666666666,akshare_stock_info_a_code_name,akshare_stock_info_a_code_name,free all-A stock list; theme inferred from public name keywords
mega_hot_free_market_extension,all_a_free,000159,国际实业,free all-A stock list; theme inferred from public name keywords,61,0.01639344262295082,akshare_stock_info_a_code_name,akshare_stock_info_a_code_name,free all-A stock list; theme inferred from public name keywords
mega_hot_free_market_extension,all_a_free,000166,申万宏源,free all-A stock list; theme inferred from public name keywords,62,0.016129032258064516,akshare_stock_info_a_code_name,akshare_stock_info_a_code_name,free all-A stock list; theme inferred from public name keywords
mega_hot_free_market_extension,all_a_free,000301,东方盛虹,free all-A stock list; theme inferred from public name keywords,63,0.015873015873015872,akshare_stock_info_a_code_name,akshare_stock_info_a_code_name,free all-A stock list; theme inferred from public name keywords
mega_hot_free_market_extension,all_a_free,000333,美的集团,free all-A stock list; theme inferred from public name keywords,64,0.015625,akshare_stock_info_a_code_name,akshare_stock_info_a_code_name,free all-A stock list; theme inferred from public name keywords
mega_hot_free_market_extension,all_a_free,000338,潍柴动力,free all-A stock list; theme inferred from public name keywords,65,0.015384615384615385,akshare_stock_info_a_code_name,akshare_stock_info_a_code_name,free all-A stock list; theme inferred from public name keywords
power_solid_state_battery,all_a_free,000400,许继电气,free all-A stock list; theme inferred from public name keywords,66,0.015151515151515152,akshare_stock_info_a_code_name,akshare_stock_info_a_code_name,free all-A stock list; theme inferred from public name keywords
mega_hot_free_market_extension,all_a_free,000401,金隅冀东,free all-A stock list; theme inferred from public name keywords,67,0.014925373134328358,akshare_stock_info_a_code_name,akshare_stock_info_a_code_name,free all-A stock list; theme inferred from public name keywords
mega_hot_free_market_extension,all_a_free,000402,金 融 街,free all-A stock list; theme inferred from public name keywords,68,0.014705882352941176,akshare_stock_info_a_code_name,akshare_stock_info_a_code_name,free all-A stock list; theme inferred from public name keywords
innovative_drug_medical_device,all_a_free,000403,派林生物,free all-A stock list; theme inferred from public name keywords,69,0.014492753623188406,akshare_stock_info_a_code_name,akshare_stock_info_a_code_name,free all-A stock list; theme inferred from public name keywords
