factor,coverage,missing_ratio
momentum_1,0.9942473633748802,0.005752636625119822
momentum_2,0.9932885906040269,0.006711409395973145
momentum_3,0.9923298178331735,0.007670182166826467
momentum_5,0.9904122722914669,0.009587727708533111
momentum_10,0.9856184084372004,0.014381591562799612
momentum_20,0.9760306807286673,0.023969319271332723
momentum_40,0.9568552253116012,0.043144774688398835
momentum_60,0.9376797698945349,0.06232023010546506
momentum_120,0.8801534036433365,0.1198465963566635
momentum_240,0.7651006711409396,0.2348993288590604
reversal_1,0.9942473633748802,0.005752636625119822
reversal_2,0.9932885906040269,0.006711409395973145
reversal_3,0.9923298178331735,0.007670182166826467
reversal_5,0.9904122722914669,0.009587727708533111
reversal_10,0.9856184084372004,0.014381591562799612
reversal_20,0.9760306807286673,0.023969319271332723
volatility_5,0.9913710450623202,0.00862895493767979
volatility_10,0.987535953978907,0.012464046021092967
volatility_20,0.9827420901246404,0.01725790987535958
volatility_40,0.9702780441035475,0.029721955896452545
volatility_60,0.9568552253116012,0.043144774688398835
volatility_120,0.9185043144774688,0.08149568552253117
volatility_240,0.8418024928092043,0.15819750719079573
downside_volatility_5,0.9923298178331735,0.007670182166826467
downside_volatility_10,0.9884947267497604,0.011505273250239645
downside_volatility_20,0.9837008628954937,0.016299137104506256
downside_volatility_60,0.9578139980824545,0.04218600191754551
downside_volatility_120,0.9194630872483222,0.08053691275167785
upside_volatility_5,0.9923298178331735,0.007670182166826467
upside_volatility_10,0.9884947267497604,0.011505273250239645
upside_volatility_20,0.9837008628954937,0.016299137104506256
upside_volatility_60,0.9578139980824545,0.04218600191754551
max_drawdown_20,0.9837008628954937,0.016299137104506256
max_drawdown_60,0.9578139980824545,0.04218600191754551
max_drawdown_120,0.9194630872483222,0.08053691275167785
ma_bias_5,0.9923298178331735,0.007670182166826467
ma_bias_10,0.9884947267497604,0.011505273250239645
ma_bias_20,0.9837008628954937,0.016299137104506256
ma_bias_40,0.9712368168744008,0.028763183125599223
ma_bias_60,0.9578139980824545,0.04218600191754551
ma_bias_120,0.9194630872483222,0.08053691275167785
ma_bias_240,0.8427612655800575,0.15723873441994252
ma_slope_5,0.987535953978907,0.012464046021092967
ma_slope_10,0.9789069990412272,0.021093000958772756
ma_slope_20,0.9645254074784276,0.03547459252157237
ma_slope_60,0.900287631831256,0.09971236816874396
ema_bias_5,0.9923298178331735,0.007670182166826467
ema_bias_10,0.9884947267497604,0.011505273250239645
ema_bias_12,0.9865771812080537,0.01342281879194629
ema_bias_20,0.9837008628954937,0.016299137104506256
ema_bias_26,0.9798657718120806,0.020134228187919434
ema_bias_60,0.9578139980824545,0.04218600191754551
ema_bias_120,0.9194630872483222,0.08053691275167785
ema_slope_12,0.975071907957814,0.024928092042186045
ema_slope_26,0.9549376797698945,0.04506232023010548
ema_slope_60,0.900287631831256,0.09971236816874396
macd_diff,0.9798657718120806,0.020134228187919434
macd_signal,0.975071907957814,0.024928092042186045
macd_hist,0.975071907957814,0.024928092042186045
rsi_6,0.9764141898370087,0.023585810162991327
rsi_14,0.9856184084372004,0.014381591562799612
rsi_24,0.9798657718120806,0.020134228187919434
price_position_20,0.9837008628954937,0.016299137104506256
price_position_40,0.9712368168744008,0.028763183125599223
price_position_60,0.9578139980824545,0.04218600191754551
price_position_120,0.9194630872483222,0.08053691275167785
price_position_240,0.8427612655800575,0.15723873441994252
breakout_high_20,0.9837008628954937,0.016299137104506256
breakout_high_40,0.9712368168744008,0.028763183125599223
breakout_high_60,0.9578139980824545,0.04218600191754551
breakout_high_120,0.9194630872483222,0.08053691275167785
breakout_high_240,0.8427612655800575,0.15723873441994252
