factor,year,rank_ic_mean,ic_mean,positive_rank_ic_ratio,observations
amihud_illiquidity_20,2022,-0.008484848484848484,-0.029378372581635333,0.45714285714285713,245
amihud_illiquidity_20,2023,0.041678321678321674,0.010878127330157824,0.5346153846153846,260
amihud_illiquidity_20,2024,-0.06416840157298173,-0.05713684792643712,0.4198473282442748,262
amihud_illiquidity_20,2025,-0.0896780303030303,-0.07735239706541608,0.390625,256
amihud_illiquidity_60,2022,-0.010523415977961432,-0.03198491901841868,0.4727272727272727,220
amihud_illiquidity_60,2023,0.0455011655011655,0.001961988219892991,0.5461538461538461,260
amihud_illiquidity_60,2024,-0.041360166551006244,-0.051963211234668405,0.4389312977099237,262
amihud_illiquidity_60,2025,-0.09142992424242424,-0.0791668375563314,0.40625,256
amount_crowding_20,2022,-0.009103177524230156,-0.007166390624867386,0.48582995951417,247
amount_crowding_20,2023,0.012027972027972029,-0.005272491076855979,0.49230769230769234,260
amount_crowding_20,2024,0.006291926902613923,0.009712012271092746,0.5190839694656488,262
amount_crowding_20,2025,0.011316287878787877,0.00886976620824627,0.5234375,256
amount_crowding_60,2022,-0.0027548209366391194,0.0005680526152412912,0.4909090909090909,220
amount_crowding_60,2023,0.01216783216783217,-0.003944007220040426,0.5038461538461538,260
amount_crowding_60,2024,0.019060837381448068,0.027021952372056672,0.5381679389312977,262
amount_crowding_60,2025,0.02286931818181818,0.018639901278036358,0.5234375,256
amount_cv_20,2022,-0.005327468230694038,-0.009230523108499583,0.5080645161290323,248
amount_cv_20,2023,0.02247086247086247,0.017110023820194938,0.5076923076923077,260
amount_cv_20,2024,-0.022715706685172334,-0.04442698381187721,0.49236641221374045,262
amount_cv_20,2025,-0.08399621212121212,-0.10093067211275386,0.3984375,256
amount_cv_60,2022,-0.034581105169340466,-0.0362077321009269,0.4841628959276018,221
amount_cv_60,2023,0.02027972027972028,0.01736860960224142,0.5153846153846153,260
amount_cv_60,2024,-0.02761970853573907,-0.024578041328273154,0.46564885496183206,262
amount_cv_60,2025,-0.037784090909090906,-0.0688348848519159,0.453125,256
amount_mean_10,2022,-0.028290813271050423,0.0384391962875868,0.4782608695652174,253
amount_mean_10,2023,-0.04223776223776224,-0.06550237489180054,0.4576923076923077,260
amount_mean_10,2024,0.07402266944251677,0.0334498855223583,0.5992366412213741,262
amount_mean_10,2025,0.07926136363636363,0.08961945573402252,0.578125,256
amount_mean_120,2022,-0.026351916959651764,0.07130606681336171,0.4861878453038674,181
amount_mean_120,2023,-0.0828904428904429,-0.07192060344570483,0.36538461538461536,260
amount_mean_120,2024,0.042655563266250286,0.03341062073128741,0.5343511450381679,262
amount_mean_120,2025,0.06922348484848485,0.08747441032222474,0.5859375,256
amount_mean_20,2022,-0.01177908113391984,0.06846258930912845,0.4838709677419355,248
amount_mean_20,2023,-0.05855477855477856,-0.06326992468237344,0.43846153846153846,260
amount_mean_20,2024,0.061531343974092066,0.042821284531880666,0.5648854961832062,262
amount_mean_20,2025,0.07457386363636363,0.08862861547960232,0.58984375,256
amount_mean_40,2022,-0.018749194068343,0.06531518569004074,0.5148936170212766,235
amount_mean_40,2023,-0.05659673659673659,-0.05910028190554143,0.4423076923076923,260
amount_mean_40,2024,0.04381216747628961,0.03546971983683176,0.5534351145038168,262
amount_mean_40,2025,0.07253787878787879,0.08054227310945139,0.58984375,256
amount_mean_5,2022,-0.023700035373187125,0.0217251665607787,0.4785992217898833,257
amount_mean_5,2023,-0.020652680652680656,-0.04839826556125814,0.45384615384615384,260
amount_mean_5,2024,0.0652324774462179,0.03300519759097961,0.5725190839694656,262
amount_mean_5,2025,0.07329545454545455,0.07286691447446902,0.58203125,256
amount_mean_60,2022,-0.024818318935965998,0.06455578539931528,0.4841628959276018,221
amount_mean_60,2023,-0.06769230769230769,-0.06423634821135944,0.4230769230769231,260
amount_mean_60,2024,0.04071246819338423,0.02983981629086196,0.5610687022900763,262
amount_mean_60,2025,0.07765151515151515,0.08063219817035415,0.6015625,256
