date,symbol,open,high,low,close,volume,amount,turnover
2025-07-09,300308,144.68013,149.03051184,143.7322257,144.9794682,41509561,6085220986.56,3.7543
2025-07-10,300308,146.19677688,148.35201192,141.686748,146.26662246,43540397,6336658699.35,3.9379
2025-07-11,300308,144.42070356,147.55377672,142.2355347,144.95951232,31098862,4513795972.9,2.8127
2025-07-14,300308,144.01160802,150.167997,144.01160802,149.48949708,38853191,5781039353.41,3.514
2025-07-15,300308,154.9574082,174.60397206,154.9574082,174.42436914,92406424,15619206714.12,8.3575
2025-07-16,300308,179.4033612,181.56857418,169.29570798,170.38330344,90585177,15982905351.01,8.1928
2025-07-17,300308,168.81676686,178.59514806,168.79681098,176.4598689,60463077,10555310876.5,5.4685
2025-07-18,300308,180.78031692,191.58642594,178.605126,180.22155228,61156221,11298766457.56,5.5312
2025-07-21,300308,179.49316266,187.9843896,176.78914092,187.5353823,59683509,10909835928.8,5.398
2025-07-22,300308,186.6872574,196.6651974,180.9998316,184.03312536,59291285,11209847410.88,5.3625
2025-07-23,300308,178.605126,187.46553672,175.611744,185.76928692,40578373,7395940401.98,3.67
2025-07-24,300308,190.079757,192.53433024,181.26923598,184.7914488,44208006,8263192060.22,3.9983
2025-07-25,300308,185.589684,189.4810806,184.10297094,184.81140468,28787743,5368796806.54,2.6037
2025-07-28,300308,185.589684,192.80373462,183.7936548,191.44673478,43894765,8281245572.97,3.97
2025-07-29,300308,197.57318994,210.52455606,197.57318994,209.46689442,58440368,12100039458.64,5.2855
2025-07-30,300308,206.60322564,211.3327692,203.14088046,210.1354164,39050574,8122926810.54,3.5319
2025-07-31,300308,220.512474,228.0957084,215.45365842,217.12995234,64406594,14274550601.01,5.8251
2025-08-01,300308,212.05118088,220.39273872,207.17196822,210.16535022,47594674,10151901431.87,4.3046
2025-08-04,300308,207.07218882,209.87598996,204.048873,207.96022548,33083739,6857077166.25,2.9922
2025-08-05,300308,216.022401,217.88827578,203.051079,210.45471048,41413757,8698318761.76,3.7456
2025-08-06,300308,206.25399774,213.10884252,206.15421834,210.05559288,25530156,5366654089.64,2.309
2025-08-07,300308,210.05559288,215.523504,196.7649768,208.00013724,45307651,9320003538.94,4.0978
2025-08-08,300308,206.543358,213.40818072,204.54777,208.8382842,32731508,6886805778.63,2.9603
2025-08-11,300308,209.53674,220.013577,209.52676206,214.2762615,35076252,7548075951.17,3.1724
2025-08-12,300308,214.52571,225.89058366,212.530122,225.18214992,43082931,9534149021.43,3.8966
2025-08-13,300308,226.2497895,252.40197024,223.505856,251.444088,55126547,13273577994.03,4.9858
2025-08-14,300308,245.8564416,247.54271346,238.8718836,238.94172918,40760133,9927494343.33,3.6865
2025-08-15,300308,240.93731718,244.9085373,234.59134734,237.5248617,35054080,8382671265.49,3.1704
2025-08-18,300308,241.08698628,267.408792,237.55479552,259.42644,46984979,11956921107.43,4.2495
2025-08-19,300308,259.42644,276.96765852,258.3288666,274.892247,40978934,11069282565.18,3.7063
2025-08-20,300308,261.41205006,268.406586,256.84215354,267.19925526,40819732,10773818989.91,3.6919
2025-08-21,300308,272.1982032,273.9942324,255.5350434,264.63492468,39443593,10428978808.53,3.5674
2025-08-22,300308,258.53840334,280.26037872,258.428646,278.2847466,38258165,10408840533.69,3.4602
2025-08-25,300308,287.364672,319.29408,287.364672,319.29408,49806131,15236503897.51,4.5046
2025-08-26,300308,312.9081984,322.0879032,305.324964,313.307316,36191921,11402947511.52,3.2733
2025-08-27,300308,319.29408,345.1369446,310.62325014,324.3828294,61074635,20077028380.53,5.5246
2025-08-28,300308,322.15774878,358.78676652,321.7386753,358.23797982,58391643,20116514921.76,5.2819
2025-08-29,300308,351.223488,366.8888538,344.20899618,354.13704648,49033310,17315300338.78,4.4354
2025-09-01,300308,371.9277135,412.8871572,363.197016,405.2041434,59865089,23173867536.1,5.4152
2025-09-02,300308,401.13314388,418.6743624,373.04524278,383.152896,78412730,31063167519.38,7.093
2025-09-03,300308,391.135248,429.04144206,378.2637054,425.24982486,71235178,28716626617.6,6.4437
2025-09-04,300308,435.038184,447.011712,363.07728072,368.32567716,93905671,36731803946.25,8.4944
2025-09-05,300308,377.18608788,417.95595072,360.92204568,406.102158,79255067,30591669080.31,7.1692
2025-09-08,300308,393.130836,393.130836,343.241136,369.17380206,74111648,27097510062.65,6.7039
2025-09-09,300308,364.21476588,371.78802234,346.234518,358.49740626,48063109,17329017116.52,4.3476
2025-09-10,300308,377.166132,394.60757112,369.76250052,384.15069,62010239,23749946610.17,5.6092
2025-09-11,300308,401.30276886,443.01055806,401.30276886,438.99942618,65680163,27786933614.86,5.9412
2025-09-12,300308,416.080098,431.03703006,409.09554,421.15886946,47250565,19984616455.43,4.2741
2025-09-15,300308,409.09554,419.04354618,396.76280616,407.11990788,35752541,14621407478.1,3.2341
2025-09-16,300308,409.12547382,421.03913418,395.34593868,410.51240748,44253263,17975150666.72,4.003
2025-09-17,300308,404.10657,412.06896612,390.24721134,405.3039228,32431621,13067610632.56,2.9337
2025-09-18,300308,393.34037274,429.04144206,388.35140274,408.4968636,56160786,22855123990.8,5.0801
2025-09-19,300308,414.4836276,424.06245,399.14753382,420.570171,46653593,19367174603.13,4.2201
2025-09-22,300308,416.36945826,420.8695092,393.80933592,417.077892,41268476,16928692917.68,3.733
2025-09-23,300308,446.02389594,456.00183594,417.077892,433.33195626,53444036,23278260110.42,4.8344
2025-09-24,300308,415.09228194,434.04039,409.09554,422.565759,39338586,16589365257.04,3.5584
2025-09-25,300308,415.09228194,441.98283024,403.108776,433.6412724,50559151,21620180903.38,4.5734
2025-09-26,300308,428.1035157,441.3242862,412.7873778,412.7873778,35111815,14918149499.27,3.1761
2025-09-29,300308,409.21527528,432.21442698,402.20078346,415.8306495,42905921,18029890029.55,3.8811
2025-09-30,300308,417.58676694,434.04039,397.18187964,402.78948192,39289331,16248125252.05,3.554
2025-10-09,300308,418.075686,425.71878804,396.80271792,397.93022514,39090946,16122596932.09,3.536
2025-10-10,300308,398.12978394,406.9003932,380.16949194,389.13966,38428592,15167250787.4,3.4761
2025-10-13,300308,368.563842,381.548476,361.3723524,376.54439782,40931349,15302419922.29,3.7025
2025-10-14,300308,384.54493,385.48381892,343.593392,345.6909098,51433907,18448572394.77,4.6525
2025-10-15,300308,344.59221,356.578026,336.601666,353.70143016,35317253,12275375118.73,3.1947
2025-10-16,300308,350.72495252,378.8516674,349.61626454,366.53624146,34256818,12630929311.99,3.0988
2025-10-17,300308,366.73600506,381.45858238,359.57448,373.1584048,46763644,17358864502.88,4.2301
2025-10-20,300308,407.70751942,420.71212978,395.11242444,402.523654,60155062,24468412270.14,5.4414
2025-10-21,300308,409.51538,450.94635064,404.52129,440.978147,56517865,24436154422.93,5.1124
2025-10-22,300308,435.57454162,456.959235,435.57454162,443.7748374,39749910,17757275763.05,3.5956
2025-10-23,300308,440.55864344,442.476374,425.1968226,440.35887984,27601113,12011352771.83,2.4967
2025-10-24,300308,449.4681,495.0641417,436.5833478,493.416092,49102526,23033970651.21,4.4417
2025-10-27,300308,503.38429564,514.39127,494.97424808,508.33843292,45072389,22787904833.23,4.0771
2025-10-28,300308,502.7050994,535.366448,500.407818,512.393634,41796087,21740189238.95,3.7807
2025-10-29,300308,537.37407218,541.36934418,505.56171888,520.10450896,41727105,21670889448.39,3.7745
2025-10-30,300308,515.89948518,537.364084,508.398362,514.13157732,45330984,23600113527.21,4.1005
2025-10-31,300308,502.405454,508.398362,471.442096,472.45090218,56301279,27346603031.48,5.0928
2025-11-03,300308,470.11366806,482.8286212,456.96922318,479.43264,39840875,18730146946.35,3.6039
2025-11-04,300308,489.0212928,503.69392922,473.31987384,477.2352404,36085368,17622196967.73,3.2642
2025-11-05,300308,461.47389236,479.43264,458.24771022,476.44617418,26408751,12390456806.6,2.3889
2025-11-06,300308,487.423184,507.27968584,481.69995686,496.29268784,37325144,18457495762.99,3.3763
2025-11-07,300308,490.419638,499.19924822,478.433822,489.4707609,24309960,11923843237.24,2.199
2025-11-10,300308,488.30214384,495.29386984,459.45628,489.42082,35211079,16744462629.08,3.1851
2025-11-11,300308,493.09647024,499.06940188,463.451552,467.4967649,32513112,15621818930.01,2.941
2025-11-12,300308,459.08671734,491.80799502,449.47808818,491.1687515,42302225,19890723540.45,3.8265
2025-11-13,300308,488.70167104,488.70167104,469.45444818,480.431458,31331746,15002143507.8,2.8342
2025-11-14,300308,464.63015724,473.31987384,453.68311196,462.27294676,24727266,11512786152.04,2.2367
2025-11-17,300308,474.6383136,488.06242752,467.8463512,482.6288576,28246626,13512966106.05,2.5551
2025-11-18,300308,474.1389046,490.2198744,469.45444818,472.35102038,24067856,11554982044.89,2.1771
2025-11-19,300308,471.87158774,499.1093546,471.442096,488.0224748,33786539,16542781774.24,3.0562
2025-11-20,300308,514.39127,521.76254684,489.75042994,491.418456,35352207,17783386637.95,3.1978
2025-11-21,300308,472.43092582,482.429094,459.45628,463.46154018,41412280,19479251603.5,3.746
2025-11-24,300308,469.44446,476.42619782,436.44351328,456.2600624,46425800,21222535809.56,4.1995
2025-11-25,300308,476.44617418,494.2151464,469.45444818,479.09304188,43936481,21131904345.49,3.9744
2025-11-26,300308,474.6383136,556.22176784,469.8439872,542.57791396,62895148,32975131625.62,5.6893
2025-11-27,300308,536.365266,558.10953386,522.74138848,523.380632,43732767,23641332186.96,3.9559
2025-11-28,300308,526.5768496,529.1737764,507.9988348,513.891861,32465730,16750682586.61,2.9367
2025-12-01,300308,523.380632,545.854037,514.39127,537.364084,37286705,19884723666.03,3.3728
2025-12-02,300308,541.359356,550.47856434,534.867039,541.359356,27161533,14774407354.8,2.4569
2025-12-03,300308,539.90108172,557.91975844,521.49286598,523.11095114,36832752,19817626709.73,3.3318
2025-12-04,300308,516.75846866,535.89582154,511.73441412,534.867039,26319447,13837413099.95,2.3808
2025-12-05,300308,538.89227554,544.35581,524.37945,536.4152069,28282591,15166870065.45,2.5584
2025-12-08,300308,542.358174,584.30853,538.362902,569.32626,40822440,23130085523.13,3.6927
2025-12-09,300308,569.41615362,612.275434,567.86798572,605.283708,37129333,22178752621.0,3.3586
2025-12-10,300308,608.34009108,619.26716,588.803211,615.271888,30209433,18313255432.76,2.7326
2025-12-11,300308,609.27898,626.36875598,585.21745438,586.11639058,36353125,22007836032.77,3.2884
2025-12-12,300308,586.306166,603.16621384,569.54599996,581.312076,46878924,27362453086.01,4.2405
2025-12-15,300308,569.32626,587.304984,567.328624,570.18524348,30098736,17331138638.77,2.7226
2025-12-16,300308,568.1276784,574.32035,544.36579818,551.13778422,27970237,15609524937.3,2.5301
2025-12-17,300308,556.341626,591.37017326,556.00202788,589.28264364,32357008,18602336343.02,2.9269
2025-12-18,300308,576.30799782,579.18459366,562.76402574,570.5248416,24162887,13813326874.07,2.1857
2025-12-19,300308,582.65049212,586.306166,569.60592904,571.0242506,22442914,12979061282.77,2.0301
