date,symbol,event_count_3d,event_count_20d,positive_event_count,negative_event_count,event_risk_count,event_impact_score,event_weighted_impact_score,event_confidence_mean,event_reliability_mean,event_high_reliability_count,event_entity_link_confidence_mean,latest_event_source_reliability,latest_entity_link_confidence,latest_event_type,latest_event_title,latest_event_source,latest_event_source_category,latest_entity_link_method,latest_entity_link_keywords
2024-04-08,601899,1,1,1,0,0,0.5344615384615388,0.2805923076923078,0.7,0.75,0,1.0,0.75,1.0,commodity_shock,沪金主连价格上涨触发商品冲击,akshare_futures_main_sina,market_data,explicit_symbol,601899
2024-04-09,601899,1,1,1,0,0,0.5344615384615388,0.2805923076923078,0.7,0.75,0,1.0,0.75,1.0,commodity_shock,沪金主连价格上涨触发商品冲击,akshare_futures_main_sina,market_data,explicit_symbol,601899
2024-04-10,601899,1,1,1,0,0,0.5344615384615388,0.2805923076923078,0.7,0.7499999999999999,0,1.0,0.75,1.0,commodity_shock,沪金主连价格上涨触发商品冲击,akshare_futures_main_sina,market_data,explicit_symbol,601899
2024-04-11,601899,1,1,1,0,0,0.5344615384615388,0.2805923076923078,0.7,0.75,0,1.0,0.75,1.0,commodity_shock,沪金主连价格上涨触发商品冲击,akshare_futures_main_sina,market_data,explicit_symbol,601899
2024-04-12,601899,1,1,1,0,0,0.5344615384615388,0.2805923076923078,0.7,0.75,0,1.0,0.75,1.0,commodity_shock,沪金主连价格上涨触发商品冲击,akshare_futures_main_sina,market_data,explicit_symbol,601899
2024-04-15,601899,0,1,1,0,0,0.5344615384615388,0.2805923076923078,0.7,0.75,0,1.0,0.75,1.0,commodity_shock,沪金主连价格上涨触发商品冲击,akshare_futures_main_sina,market_data,explicit_symbol,601899
2024-04-16,601899,0,1,1,0,0,0.5344615384615388,0.2805923076923078,0.7,0.75,0,1.0,0.75,1.0,commodity_shock,沪金主连价格上涨触发商品冲击,akshare_futures_main_sina,market_data,explicit_symbol,601899
2024-04-17,601899,0,1,1,0,0,0.5344615384615388,0.2805923076923078,0.7,0.75,0,1.0,0.75,1.0,commodity_shock,沪金主连价格上涨触发商品冲击,akshare_futures_main_sina,market_data,explicit_symbol,601899
2024-04-18,601899,0,1,1,0,0,0.5344615384615388,0.2805923076923078,0.7,0.75,0,1.0,0.75,1.0,commodity_shock,沪金主连价格上涨触发商品冲击,akshare_futures_main_sina,market_data,explicit_symbol,601899
2024-04-19,601899,0,1,1,0,0,0.5344615384615388,0.2805923076923078,0.7,0.75,0,1.0,0.75,1.0,commodity_shock,沪金主连价格上涨触发商品冲击,akshare_futures_main_sina,market_data,explicit_symbol,601899
2024-04-22,601899,0,1,1,0,0,0.5344615384615388,0.2805923076923078,0.7,0.75,0,1.0,0.75,1.0,commodity_shock,沪金主连价格上涨触发商品冲击,akshare_futures_main_sina,market_data,explicit_symbol,601899
2024-04-23,601899,0,1,1,0,0,0.5344615384615389,0.2805923076923078,0.7,0.7500000000000001,0,1.0,0.75,1.0,commodity_shock,沪金主连价格上涨触发商品冲击,akshare_futures_main_sina,market_data,explicit_symbol,601899
2024-04-24,601899,0,1,1,0,0,0.5344615384615388,0.2805923076923078,0.7,0.7500000000000001,0,1.0,0.75,1.0,commodity_shock,沪金主连价格上涨触发商品冲击,akshare_futures_main_sina,market_data,explicit_symbol,601899
2024-04-25,601899,0,1,1,0,0,0.5344615384615388,0.2805923076923078,0.7,0.75,0,1.0,0.75,1.0,commodity_shock,沪金主连价格上涨触发商品冲击,akshare_futures_main_sina,market_data,explicit_symbol,601899
2024-04-26,601899,0,1,1,0,0,0.5344615384615388,0.2805923076923078,0.7,0.75,0,1.0,0.75,1.0,commodity_shock,沪金主连价格上涨触发商品冲击,akshare_futures_main_sina,market_data,explicit_symbol,601899
2024-04-29,601899,0,1,1,0,0,0.5344615384615388,0.2805923076923078,0.7,0.75,0,1.0,0.75,1.0,commodity_shock,沪金主连价格上涨触发商品冲击,akshare_futures_main_sina,market_data,explicit_symbol,601899
2024-04-30,601899,0,1,1,0,0,0.5344615384615388,0.2805923076923078,0.7,0.7499999999999999,0,1.0,0.75,1.0,commodity_shock,沪金主连价格上涨触发商品冲击,akshare_futures_main_sina,market_data,explicit_symbol,601899
2024-05-01,601899,0,1,1,0,0,0.5344615384615388,0.2805923076923078,0.7,0.75,0,1.0,0.75,1.0,commodity_shock,沪金主连价格上涨触发商品冲击,akshare_futures_main_sina,market_data,explicit_symbol,601899
2024-05-02,601899,0,1,1,0,0,0.5344615384615388,0.2805923076923078,0.7,0.75,0,1.0,0.75,1.0,commodity_shock,沪金主连价格上涨触发商品冲击,akshare_futures_main_sina,market_data,explicit_symbol,601899
2024-05-03,601899,0,1,1,0,0,0.5344615384615388,0.2805923076923078,0.7,0.75,0,1.0,0.75,1.0,commodity_shock,沪金主连价格上涨触发商品冲击,akshare_futures_main_sina,market_data,explicit_symbol,601899
2024-05-06,601899,0,1,1,0,0,0.5344615384615388,0.2805923076923078,0.7,0.75,0,1.0,0.75,1.0,commodity_shock,沪金主连价格上涨触发商品冲击,akshare_futures_main_sina,market_data,explicit_symbol,601899
2024-05-07,601899,0,1,1,0,0,0.5344615384615388,0.2805923076923078,0.7,0.75,0,1.0,0.75,1.0,commodity_shock,沪金主连价格上涨触发商品冲击,akshare_futures_main_sina,market_data,explicit_symbol,601899
2024-05-08,601899,0,1,1,0,0,0.5344615384615388,0.2805923076923078,0.7,0.7500000000000001,0,1.0,0.75,1.0,commodity_shock,沪金主连价格上涨触发商品冲击,akshare_futures_main_sina,market_data,explicit_symbol,601899
2024-05-20,601899,1,1,1,0,0,0.6427603203943306,0.33744916820702353,0.7,0.75,0,1.0,0.75,1.0,commodity_shock,沪铜主连价格上涨触发商品冲击,akshare_futures_main_sina,market_data,explicit_symbol,601899
2024-05-21,601899,2,2,2,0,0,0.548973279286462,0.2882109716253925,0.7,0.75,0,1.0,0.75,1.0,commodity_shock,沪铜主连价格上涨触发商品冲击,akshare_futures_main_sina,market_data,explicit_symbol,601899
2024-05-22,601899,3,3,3,0,0,0.5051911155361216,0.26522533565646383,0.6999999999999998,0.7499999999999999,0,1.0,0.75,1.0,commodity_shock,沪铜主连价格上涨触发商品冲击,akshare_futures_main_sina,market_data,explicit_symbol,601899
2024-05-23,601899,4,4,3,1,0,0.261585931327186,0.13733261394677262,0.7,0.7500000000000001,0,1.0,0.75,1.0,commodity_shock,沪铜主连价格下跌触发商品冲击,akshare_futures_main_sina,market_data,explicit_symbol,601899
2024-05-24,601899,4,4,3,1,0,0.26158593132718594,0.1373326139467726,0.7,0.7499999999999999,0,1.0,0.75,1.0,commodity_shock,沪铜主连价格下跌触发商品冲击,akshare_futures_main_sina,market_data,explicit_symbol,601899
2024-05-27,601899,2,4,3,1,0,0.26158593132718605,0.13733261394677262,0.7,0.7499999999999999,0,1.0,0.75,1.0,commodity_shock,沪铜主连价格下跌触发商品冲击,akshare_futures_main_sina,market_data,explicit_symbol,601899
2024-05-28,601899,1,4,3,1,0,0.26158593132718605,0.13733261394677262,0.7,0.75,0,1.0,0.75,1.0,commodity_shock,沪铜主连价格下跌触发商品冲击,akshare_futures_main_sina,market_data,explicit_symbol,601899
2024-05-29,601899,0,4,3,1,0,0.26158593132718594,0.13733261394677257,0.7,0.75,0,1.0,0.75,1.0,commodity_shock,沪铜主连价格下跌触发商品冲击,akshare_futures_main_sina,market_data,explicit_symbol,601899
2024-05-30,601899,1,5,3,2,0,0.03194116609058673,0.01676911219755804,0.7,0.75,0,1.0,0.75,1.0,commodity_shock,沪铜主连价格下跌触发商品冲击,akshare_futures_main_sina,market_data,explicit_symbol,601899
2024-05-31,601899,1,5,3,2,0,0.031941166090586726,0.016769112197558014,0.7,0.75,0,1.0,0.75,1.0,commodity_shock,沪铜主连价格下跌触发商品冲击,akshare_futures_main_sina,market_data,explicit_symbol,601899
2024-06-03,601899,1,5,3,2,0,0.03194116609058672,0.016769112197558014,0.7,0.75,0,1.0,0.75,1.0,commodity_shock,沪铜主连价格下跌触发商品冲击,akshare_futures_main_sina,market_data,explicit_symbol,601899
2024-06-04,601899,1,5,3,2,0,0.03194116609058672,0.016769112197558018,0.7,0.7499999999999999,0,1.0,0.75,1.0,commodity_shock,沪铜主连价格下跌触发商品冲击,akshare_futures_main_sina,market_data,explicit_symbol,601899
2024-06-05,601899,1,6,3,3,0,-0.2462812188607637,-0.1292976399019009,0.7000000000000001,0.7499999999999999,0,1.0,0.75,1.0,commodity_shock,沪铜主连价格下跌触发商品冲击,akshare_futures_main_sina,market_data,explicit_symbol,601899
2024-06-06,601899,1,6,3,3,0,-0.24628121886076368,-0.12929763990190093,0.7000000000000001,0.7500000000000001,0,1.0,0.75,1.0,commodity_shock,沪铜主连价格下跌触发商品冲击,akshare_futures_main_sina,market_data,explicit_symbol,601899
2024-06-07,601899,1,6,3,3,0,-0.2462812188607637,-0.1292976399019009,0.7000000000000001,0.75,0,1.0,0.75,1.0,commodity_shock,沪铜主连价格下跌触发商品冲击,akshare_futures_main_sina,market_data,explicit_symbol,601899
2024-06-10,601899,1,6,3,3,0,-0.24628121886076368,-0.1292976399019009,0.7000000000000001,0.7499999999999998,0,1.0,0.75,1.0,commodity_shock,沪铜主连价格下跌触发商品冲击,akshare_futures_main_sina,market_data,explicit_symbol,601899
2024-06-11,601899,1,7,3,4,0,-0.24791800257219104,-0.13015695135040029,0.7000000000000001,0.7500000000000001,0,1.0,0.75,1.0,commodity_shock,沪金主连价格下跌触发商品冲击,akshare_futures_main_sina,market_data,explicit_symbol,601899
2024-06-12,601899,1,7,3,4,0,-0.24791800257219102,-0.13015695135040026,0.7000000000000001,0.7499999999999999,0,1.0,0.75,1.0,commodity_shock,沪金主连价格下跌触发商品冲击,akshare_futures_main_sina,market_data,explicit_symbol,601899
2024-06-13,601899,1,7,3,4,0,-0.24791800257219096,-0.13015695135040026,0.7000000000000001,0.7499999999999999,0,1.0,0.75,1.0,commodity_shock,沪金主连价格下跌触发商品冲击,akshare_futures_main_sina,market_data,explicit_symbol,601899
2024-06-14,601899,1,7,3,4,0,-0.24791800257219104,-0.13015695135040029,0.7000000000000001,0.75,0,1.0,0.75,1.0,commodity_shock,沪金主连价格下跌触发商品冲击,akshare_futures_main_sina,market_data,explicit_symbol,601899
2024-06-17,601899,0,7,3,4,0,-0.24791800257219102,-0.13015695135040029,0.7000000000000001,0.75,0,1.0,0.75,1.0,commodity_shock,沪金主连价格下跌触发商品冲击,akshare_futures_main_sina,market_data,explicit_symbol,601899
2024-06-18,601899,0,7,3,4,0,-0.24791800257219102,-0.13015695135040026,0.7000000000000001,0.75,0,1.0,0.75,1.0,commodity_shock,沪金主连价格下跌触发商品冲击,akshare_futures_main_sina,market_data,explicit_symbol,601899
2024-06-19,601899,0,7,3,4,0,-0.24791800257219104,-0.13015695135040029,0.7000000000000001,0.7500000000000001,0,1.0,0.75,1.0,commodity_shock,沪金主连价格下跌触发商品冲击,akshare_futures_main_sina,market_data,explicit_symbol,601899
2024-06-20,601899,0,6,2,4,0,-0.2695391617761096,-0.14150805993245752,0.7000000000000001,0.7500000000000001,0,1.0,0.75,1.0,commodity_shock,沪金主连价格下跌触发商品冲击,akshare_futures_main_sina,market_data,explicit_symbol,601899
2024-06-21,601899,0,5,1,4,0,-0.29077779857352226,-0.15265834425109917,0.7,0.7500000000000001,0,1.0,0.75,1.0,commodity_shock,沪金主连价格下跌触发商品冲击,akshare_futures_main_sina,market_data,explicit_symbol,601899
2024-06-24,601899,0,3,0,3,0,-0.31671007114677935,-0.16627278735205916,0.6999999999999998,0.75,0,1.0,0.75,1.0,commodity_shock,沪金主连价格下跌触发商品冲击,akshare_futures_main_sina,market_data,explicit_symbol,601899
2024-06-25,601899,0,3,0,3,0,-0.3167100711467794,-0.16627278735205914,0.6999999999999998,0.7500000000000001,0,1.0,0.75,1.0,commodity_shock,沪金主连价格下跌触发商品冲击,akshare_futures_main_sina,market_data,explicit_symbol,601899
2024-06-26,601899,0,3,0,3,0,-0.31671007114677935,-0.16627278735205914,0.6999999999999998,0.75,0,1.0,0.75,1.0,commodity_shock,沪金主连价格下跌触发商品冲击,akshare_futures_main_sina,market_data,explicit_symbol,601899
2024-06-27,601899,0,3,0,3,0,-0.31671007114677935,-0.16627278735205916,0.6999999999999998,0.75,0,1.0,0.75,1.0,commodity_shock,沪金主连价格下跌触发商品冲击,akshare_futures_main_sina,market_data,explicit_symbol,601899
2024-06-28,601899,0,3,0,3,0,-0.31671007114677935,-0.16627278735205914,0.6999999999999998,0.75,0,1.0,0.75,1.0,commodity_shock,沪金主连价格下跌触发商品冲击,akshare_futures_main_sina,market_data,explicit_symbol,601899
2024-07-01,601899,0,2,0,2,0,-0.3258658013676798,-0.17107954571803188,0.7,0.7500000000000001,0,1.0,0.75,1.0,commodity_shock,沪金主连价格下跌触发商品冲击,akshare_futures_main_sina,market_data,explicit_symbol,601899
2024-07-02,601899,0,2,0,2,0,-0.3258658013676798,-0.17107954571803188,0.7,0.75,0,1.0,0.75,1.0,commodity_shock,沪金主连价格下跌触发商品冲击,akshare_futures_main_sina,market_data,explicit_symbol,601899
2024-07-03,601899,0,2,0,2,0,-0.32586580136767973,-0.17107954571803188,0.7,0.75,0,1.0,0.75,1.0,commodity_shock,沪金主连价格下跌触发商品冲击,akshare_futures_main_sina,market_data,explicit_symbol,601899
2024-07-04,601899,0,2,0,2,0,-0.32586580136767973,-0.17107954571803186,0.7,0.75,0,1.0,0.75,1.0,commodity_shock,沪金主连价格下跌触发商品冲击,akshare_futures_main_sina,market_data,explicit_symbol,601899
2024-07-05,601899,0,2,0,2,0,-0.32586580136767973,-0.17107954571803186,0.7,0.7499999999999999,0,1.0,0.75,1.0,commodity_shock,沪金主连价格下跌触发商品冲击,akshare_futures_main_sina,market_data,explicit_symbol,601899
2024-07-08,601899,0,1,0,1,0,-0.2492619598079315,-0.13086252889916405,0.7,0.75,0,1.0,0.75,1.0,commodity_shock,沪金主连价格下跌触发商品冲击,akshare_futures_main_sina,market_data,explicit_symbol,601899
2024-07-09,601899,0,1,0,1,0,-0.2492619598079315,-0.13086252889916405,0.7,0.75,0,1.0,0.75,1.0,commodity_shock,沪金主连价格下跌触发商品冲击,akshare_futures_main_sina,market_data,explicit_symbol,601899
2024-07-10,601899,0,1,0,1,0,-0.24926195980793153,-0.13086252889916405,0.7,0.75,0,1.0,0.75,1.0,commodity_shock,沪金主连价格下跌触发商品冲击,akshare_futures_main_sina,market_data,explicit_symbol,601899
2024-07-11,601899,0,1,0,1,0,-0.24926195980793153,-0.13086252889916405,0.7,0.7500000000000001,0,1.0,0.75,1.0,commodity_shock,沪金主连价格下跌触发商品冲击,akshare_futures_main_sina,market_data,explicit_symbol,601899
2024-07-23,601899,1,1,0,1,0,-0.4611503531786072,-0.24210393541876876,0.7,0.75,0,1.0,0.75,1.0,commodity_shock,沪铜主连价格下跌触发商品冲击,akshare_futures_main_sina,market_data,explicit_symbol,601899
2024-07-24,601899,1,1,0,1,0,-0.46115035317860725,-0.24210393541876876,0.7,0.75,0,1.0,0.75,1.0,commodity_shock,沪铜主连价格下跌触发商品冲击,akshare_futures_main_sina,market_data,explicit_symbol,601899
2024-07-25,601899,2,2,0,2,0,-0.5096278954964417,-0.2675546451356319,0.7,0.75,0,1.0,0.75,1.0,commodity_shock,沪铜主连价格下跌触发商品冲击,akshare_futures_main_sina,market_data,explicit_symbol,601899
2024-07-26,601899,2,2,0,2,0,-0.5096278954964416,-0.2675546451356319,0.7,0.75,0,1.0,0.75,1.0,commodity_shock,沪铜主连价格下跌触发商品冲击,akshare_futures_main_sina,market_data,explicit_symbol,601899
2024-07-29,601899,1,2,0,2,0,-0.5096278954964416,-0.2675546451356319,0.7,0.75,0,1.0,0.75,1.0,commodity_shock,沪铜主连价格下跌触发商品冲击,akshare_futures_main_sina,market_data,explicit_symbol,601899
