date,symbol,open,high,low,close,volume,amount,turnover
2025-10-14,601899,32.4,32.65,29.15,29.5,539236050,16576942200.54,2.6192
2025-10-15,601899,29.96,31.2,29.38,30.98,365641142,11059689469.17,1.776
2025-10-16,601899,30.99,31.37,30.06,30.47,289900966,8890666661.64,1.4081
2025-10-17,601899,31.12,31.3,30.03,30.17,304443734,9293026128.63,1.4787
2025-10-20,601899,29.4,30.29,29.0,29.75,297341006,8845608485.29,1.4442
2025-10-21,601899,30.4,30.78,29.81,30.05,261648588,7927327602.76,1.2709
2025-10-22,601899,28.19,29.6,28.19,29.45,315355482,9158923057.65,1.5317
2025-10-23,601899,29.03,29.93,28.56,29.7,246528306,7195142824.36,1.1974
2025-10-24,601899,30.05,30.3,29.76,30.03,186969778,5613321506.2,0.9082
2025-10-27,601899,30.12,31.3,30.12,31.0,290246620,8975329654.82,1.4098
2025-10-28,601899,30.5,30.79,29.81,29.84,264245245,7986327533.48,1.2835
2025-10-29,601899,30.05,31.05,30.01,30.96,211650959,6463154654.29,1.028
2025-10-30,601899,30.78,31.6,30.62,31.11,276672292,8630460754.87,1.3439
2025-10-31,601899,31.11,31.29,30.45,30.5,174923110,5380173287.95,0.8496
2025-11-03,601899,30.11,30.33,28.87,30.0,236191270,6968610608.84,1.1472
2025-11-04,601899,29.5,29.78,28.6,28.78,268031747,7788693364.88,1.3019
2025-11-05,601899,27.92,29.25,27.82,29.01,215461356,6171176198.87,1.0465
2025-11-06,601899,29.01,29.8,28.92,29.7,178969843,5281857227.33,0.8693
2025-11-07,601899,29.69,30.25,29.62,30.17,149756654,4498419194.41,0.7274
2025-11-10,601899,30.8,30.95,29.88,30.17,188511170,5707821665.63,0.9156
2025-11-11,601899,30.57,30.68,29.5,29.62,166437726,4968850126.22,0.8084
2025-11-12,601899,29.62,30.06,29.15,29.49,136428812,4037371771.22,0.6627
2025-11-13,601899,29.8,31.12,29.71,30.72,280933594,8597741660.51,1.3646
2025-11-14,601899,30.1,30.43,29.82,30.02,166166770,5009890531.44,0.8071
2025-11-17,601899,29.73,29.92,28.86,28.98,215994374,6311373290.31,1.0491
2025-11-18,601899,28.7,28.95,28.21,28.39,173339754,4945509142.96,0.8419
2025-11-19,601899,28.74,29.55,28.7,29.34,192184477,5608158690.99,0.9335
2025-11-20,601899,29.4,29.68,28.9,28.97,133141833,3887558724.54,0.6467
2025-11-21,601899,28.47,28.86,28.0,28.14,188729249,5347653774.57,0.9167
2025-11-24,601899,28.44,28.5,27.63,28.0,170834281,4782114495.0,0.8298
2025-11-25,601899,28.47,28.88,28.41,28.51,147447601,4217260552.37,0.7162
2025-11-26,601899,28.66,28.77,28.35,28.43,159012608,4530158085.97,0.7724
2025-11-27,601899,28.8,29.2,28.5,28.6,163629659,4722632920.93,0.7948
2025-11-28,601899,28.79,29.09,28.4,28.58,197543456,5668367755.47,0.9595
2025-12-01,601899,29.5,30.67,29.4,30.06,360052973,10853439596.49,1.7489
2025-12-02,601899,29.9,29.98,29.45,29.74,154872515,4605561851.67,0.7522
2025-12-03,601899,29.85,30.26,29.72,29.97,191128690,5730973206.76,0.9284
2025-12-04,601899,30.84,31.38,30.53,30.69,272859568,8436844624.26,1.3253
2025-12-05,601899,30.59,31.49,30.47,31.32,233471095,7266652269.19,1.134
2025-12-08,601899,31.4,31.6,30.94,31.5,206802386,6478217450.5,1.0044
2025-12-09,601899,31.18,31.23,30.18,30.4,199092649,6086281907.56,0.967
2025-12-10,601899,30.6,30.85,30.2,30.75,117020933,3574713139.16,0.5684
2025-12-11,601899,31.2,31.95,30.75,30.96,240772514,7547700504.36,1.1694
2025-12-12,601899,31.67,31.8,31.35,31.7,221174285,6991527058.49,1.0741
2025-12-15,601899,31.26,31.88,31.06,31.41,169135179,5322761827.46,0.8213
2025-12-16,601899,31.02,31.22,30.12,30.32,158390333,4835673794.48,0.7689
2025-12-17,601899,30.55,31.19,30.4,30.87,176971055,5445493455.62,0.859
2025-12-18,601899,30.83,31.35,30.65,30.97,138009297,4284607519.95,0.6699
2025-12-19,601899,30.84,31.38,30.41,31.12,165672924,5145607364.03,0.8042
2025-12-22,601899,31.69,32.78,31.64,32.53,244513190,7919680420.4,1.1869
2025-12-23,601899,33.06,33.1,31.9,32.09,270289444,8780138585.51,1.312
2025-12-24,601899,32.54,32.65,31.99,32.31,192710736,6215340061.27,0.9354
2025-12-25,601899,31.99,32.14,31.83,32.03,127456719,4074543520.36,0.6187
2025-12-26,601899,32.6,33.77,32.55,33.53,286198912,9525910109.22,1.3893
2025-12-29,601899,34.16,34.3,32.58,32.65,357553987,11915266398.08,1.7356
2025-12-30,601899,31.55,33.48,31.53,33.42,243802377,7987341210.65,1.1835
2025-12-31,601899,33.48,35.36,33.39,34.47,341188218,11802518173.6,1.6562
2026-01-05,601899,35.3,35.64,34.27,35.4,310393547,10870304747.01,1.5067
2026-01-06,601899,36.0,37.7,35.95,37.6,356727240,13191911957.98,1.7316
2026-01-07,601899,37.6,37.7,36.38,36.72,357303577,13193716320.65,1.7344
2026-01-08,601899,36.2,37.01,35.79,36.3,241558498,8780062617.39,1.1726
2026-01-09,601899,36.0,37.67,35.98,37.22,280579041,10408944353.89,1.362
2026-01-12,601899,38.22,38.38,37.03,37.26,296496371,11080991362.17,1.4392
2026-01-13,601899,37.4,38.9,37.3,38.24,310778171,11880717249.89,1.5086
2026-01-14,601899,38.61,39.85,38.36,38.5,425650213,16559300264.74,2.0662
2026-01-15,601899,38.26,39.44,37.7,38.25,386081844,14866320795.19,1.8741
2026-01-16,601899,38.32,39.11,37.06,37.47,394777811,14983152839.01,1.9163
2026-01-19,601899,37.62,37.78,36.5,37.26,253275235,9435738070.59,1.2294
2026-01-20,601899,37.26,37.77,36.21,37.31,307457067,11371613762.25,1.4924
2026-01-21,601899,37.76,38.48,37.36,38.13,389167286,14764599258.53,1.8891
2026-01-22,601899,37.5,37.88,37.08,37.66,273949936,10271227689.82,1.3298
2026-01-23,601899,38.39,38.5,37.35,37.56,386296331,14650946051.75,1.8751
2026-01-26,601899,38.74,40.48,38.73,39.5,663514398,26266248687.11,3.2208
2026-01-27,601899,40.23,42.68,39.68,40.61,728498239,29909324698.96,3.5362
2026-01-28,601899,41.4,42.58,40.6,42.3,652283303,27284833174.86,3.1663
2026-01-29,601899,43.79,44.94,41.31,43.45,772867209,33302754098.1,3.7516
2026-01-30,601899,41.2,42.36,39.12,40.14,670344076,27139836258.54,3.254
2026-02-02,601899,36.87,38.73,36.27,36.61,714043570,26686182363.16,3.4661
2026-02-03,601899,37.84,38.95,37.08,38.81,476610292,18074059119.81,2.3135
2026-02-04,601899,39.5,39.99,38.68,39.16,326736566,12844681832.61,1.586
2026-02-05,601899,38.13,38.5,36.57,37.45,358373108,13407074875.42,1.7396
2026-02-06,601899,35.55,37.82,35.5,37.19,327774843,12107002619.07,1.5911
2026-02-09,601899,38.49,38.88,38.03,38.63,263947637,10154292817.11,1.2812
2026-02-10,601899,38.98,39.4,38.52,38.81,199657082,7764448263.97,0.9692
2026-02-11,601899,38.6,39.79,38.57,39.48,222867441,8776312502.14,1.0818
2026-02-12,601899,39.57,40.43,39.49,39.75,235575945,9408329694.43,1.1435
