factor,ic_mean,rank_ic_mean,ic_ir,observations
momentum_1,0.01954939439884451,0.01591128254580521,0.027917203834906156,1037
momentum_2,0.014797856006346293,0.025096525096525095,0.02081435582673353,1036
momentum_3,0.011524893917087378,0.01932367149758454,0.01614611926503504,1035
momentum_5,0.027486257896917665,0.03920619554695063,0.03888395508966994,1033
momentum_10,0.0562492467880211,0.047665369649805445,0.08075321866082219,1028
momentum_20,0.06891932598756607,0.061394891944990176,0.09686439024962548,1018
momentum_40,0.11708341282978163,0.1092184368737475,0.16883577339737227,998
momentum_60,0.11144990302539527,0.10173824130879346,0.16136900163216034,978
momentum_120,0.13194368270438223,0.10620915032679738,0.19169195163791813,918
momentum_240,0.11991951550387257,0.12343358395989974,0.17874798745568263,798
reversal_1,-0.01954939439884451,-0.01591128254580521,-0.027917203834906156,1037
reversal_2,-0.014797856006346293,-0.025096525096525095,-0.02081435582673353,1036
reversal_3,-0.011524893917087378,-0.01932367149758454,-0.01614611926503504,1035
reversal_5,-0.027486257896917665,-0.03920619554695063,-0.03888395508966994,1033
reversal_10,-0.0562492467880211,-0.047665369649805445,-0.08075321866082219,1028
reversal_20,-0.06891932598756607,-0.061394891944990176,-0.09686439024962548,1018
volatility_5,0.016843752689699017,0.013056092843326886,0.02346052096513291,1034
volatility_10,-0.0006956160117943022,-0.009708737864077669,-0.0009782372876291521,1030
volatility_20,0.0026567128366409465,-0.0024390243902439024,0.00358272403969604,1025
volatility_40,-0.022836510503148385,-0.011363636363636364,-0.031884578798860266,1012
volatility_60,-0.04372276182568538,-0.031062124248496994,-0.06168703470946817,998
volatility_120,-0.09010247439400068,-0.04592901878914405,-0.1290648925941962,958
volatility_240,-0.059022563128510744,-0.05466970387243736,-0.08580310716222446,878
downside_volatility_5,0.0004179005712565117,-0.017650192456455188,0.0005923263123844014,1035
downside_volatility_10,-0.043436939547333846,-0.02424830261881668,-0.060796257394145785,1031
downside_volatility_20,-0.05941831170568521,-0.057504873294346975,-0.08056101087254575,1026
downside_volatility_60,-0.09541578661529987,-0.09009009009009009,-0.1343146185291767,999
downside_volatility_120,-0.12682943446763156,-0.10792492179353493,-0.18026389040578256,959
upside_volatility_5,0.023700675643628818,0.02283475806397639,0.033266853654801046,1035
upside_volatility_10,0.06798774153854147,0.0848690591658584,0.09673998429186746,1031
upside_volatility_20,0.07790051864724659,0.0638401559454191,0.1082807893385202,1026
upside_volatility_60,0.04716910514946134,0.04504504504504504,0.06541350834993985,999
max_drawdown_20,0.09068760747456965,0.08625730994152046,0.1268589319764269,1026
max_drawdown_60,0.12167187852970879,0.10810810810810811,0.1761829701280099,999
max_drawdown_120,0.11954626484208625,0.10218978102189781,0.16613056720387598,959
ma_bias_5,0.024495213932001072,0.021256038647342997,0.03458039189054424,1035
ma_bias_10,0.04517358272565002,0.052376333656644035,0.06456709930443397,1031
ma_bias_20,0.07841696294158206,0.08382066276803118,0.11197433810761395,1026
ma_bias_40,0.09158043757247163,0.087857847976308,0.12976240227419286,1013
ma_bias_60,0.11156881414887561,0.0980980980980981,0.16189646990330928,999
ma_bias_120,0.13088991052208485,0.11105318039624609,0.18795087821513837,959
ma_bias_240,0.13714750544798715,0.10466439135381114,0.20273795426385818,879
ma_slope_5,0.035555902681785184,0.05776699029126214,0.05050808695976155,1030
ma_slope_10,0.0888120307220849,0.08178256611165524,0.12878632791005823,1021
ma_slope_20,0.12423169767923165,0.10337972166998012,0.17244124145363127,1006
ma_slope_60,0.15520207317711593,0.13844515441959532,0.22436371519457626,939
ema_bias_5,0.03779096528468388,0.04492753623188406,0.05374796412729477,1035
ema_bias_10,0.06659920905941023,0.05965082444228904,0.09506569488619418,1031
ema_bias_12,0.07546826956784958,0.06802721088435375,0.10747673929898072,1029
ema_bias_20,0.09222592298433763,0.09015594541910331,0.131195329373957,1026
ema_bias_26,0.095271020340597,0.08708414872798434,0.1350497566789961,1022
ema_bias_60,0.10074990185910643,0.0915915915915916,0.14582638544305498,999
ema_bias_120,0.12516330457687183,0.10948905109489052,0.18115662836226473,959
ema_slope_12,0.077233753989909,0.07128810226155359,0.1100013376157117,1017
ema_slope_26,0.11828855777739243,0.09839357429718876,0.1687966497404736,996
ema_slope_60,0.16095634990841004,0.1288604898828541,0.23330471395649197,939
macd_diff,0.10026028874028502,0.09686888454011741,0.1417272311776485,1022
macd_signal,0.12244646283826091,0.1160275319567355,0.17385360736894495,1017
macd_hist,-0.014496389259631324,-0.0024582104228121925,-0.020397785357484384,1017
rsi_6,0.010432514660084526,0.014036786060019362,0.014280790538807871,1033
rsi_14,0.08486211433396966,0.07198443579766536,0.12133255375081284,1028
rsi_24,0.1071418772623714,0.0958904109589041,0.149699009515581,1022
kdj_k_9,0.07872214163119531,0.06513222331047992,0.11017002853822784,1021
kdj_d_9,0.07725045170548349,0.0733267716535433,0.10754200305579495,1016
kdj_j_9,0.05323831282295287,0.0359251968503937,0.0755200193831265,1016
cci_14,0.03448977423070242,0.03431372549019608,0.048928349517229526,1020
cci_20,0.036907984967269554,0.028106508875739646,0.052092391452256484,1014
williams_r_14,0.0623011164534721,0.05442176870748299,0.0882359278994981,1029
williams_r_20,0.07000011199839482,0.05555555555555555,0.0982380727754175,1026
money_flow_index_14,0.05085504939185728,0.037900874635568516,0.07154376898201842,1029
money_flow_index_20,0.09205795399245766,0.0891812865497076,0.12841069369933367,1026
price_position_20,0.07000011199838692,0.05555555555555555,0.09823807277540551,1026
price_position_40,0.07581271321266302,0.05577492596248766,0.10689418950926738,1013
price_position_60,0.09127364354940143,0.08008008008008008,0.13164136254433237,999
price_position_120,0.09205307779042537,0.08602711157455684,0.13088565310427974,959
price_position_240,0.13126062408095196,0.10637087599544938,0.19099324100846113,879
breakout_high_20,0.0826376566531113,0.056530214424951264,0.11702043886288822,1026
breakout_high_40,0.1086861613831458,0.08292201382033564,0.15335938479782193,1013
breakout_high_60,0.09075253678562609,0.06406406406406406,0.129201428014742,999
breakout_high_120,0.08990527718017387,0.05474452554744526,0.12855935688939024,959
breakout_high_240,0.12593185507971702,0.09158134243458475,0.18456708575286998,879
breakdown_low_20,0.06873266531320366,0.07358674463937621,0.09710983482370211,1026
breakdown_low_40,0.0649879758684565,0.07798617966436328,0.09268213233061359,1013
breakdown_low_60,0.08611503577134923,0.09009009009009009,0.12412313287182512,999
breakdown_low_120,0.10358419511460858,0.10792492179353493,0.14777396975566467,959
breakdown_low_240,0.13373383107267184,0.12116040955631399,0.1966455011059473,879
amount_mean_5,-0.05936558943557803,-0.0536231884057971,-0.08304425814812257,1035
amount_mean_10,-0.06923235582287147,-0.06983511154219205,-0.09792911178551005,1031
amount_mean_20,-0.06937649818233635,-0.0638401559454191,-0.09729071707317005,1026
amount_mean_40,-0.07330061998652579,-0.0755182625863771,-0.10221932716153706,1013
amount_mean_60,-0.07063219918405649,-0.07057057057057058,-0.09817377337712244,999
amount_mean_120,-0.08063853849897085,-0.07194994786235662,-0.11203283824902652,959
amount_zscore_20,0.02512928234246528,0.017543859649122806,0.03537396974485119,1026
amount_zscore_60,0.02628434917707934,0.012012012012012012,0.03714020113972363,999
amount_percentile_20,0.020806292300972595,0.017586614089393975,0.029108645631862894,1025
amount_percentile_60,0.019873430857945695,0.012182055036113922,0.027996434054282225,999
turnover_mean_5,0.0011510221016253156,-0.003381642512077295,0.001624062360133409,1035
turnover_mean_10,-0.058198675695870554,-0.06207565470417071,-0.08370103658738616,1031
turnover_mean_20,-0.040349576665037704,-0.0384990253411306,-0.05618023022254578,1026
turnover_mean_40,-0.02767521805964238,-0.037018756169792694,-0.03813016126063239,1013
turnover_mean_60,-0.05317103293847986,-0.043043043043043044,-0.07525900367210543,999
turnover_mean_120,-0.05642802310656485,-0.056308654848800835,-0.07922139198349178,959
turnover_zscore_20,-0.00083560292854116,0.0024366471734892786,-0.0011927040113602725,1026
turnover_zscore_60,-0.0007861945784114878,0.0015015015015015015,-0.001123837301512038,999
turnover_percentile_20,-0.0014338444086882795,0.006370271330275093,-0.0020453566429197256,1026
turnover_percentile_60,-0.0015900903406635973,-0.0067387895971660425,-0.0022618511310475713,999
volume_ratio_5_20,0.04448364487912563,0.02587890625,0.0634065813682641,1024
volume_ratio_10_60,-0.0026761753136603224,0.002002002002002002,-0.0038186857164057425,999
amount_ratio_5_20,0.06735424991417852,0.0458984375,0.09461926465691195,1024
amount_ratio_10_60,0.05643531988077522,0.05455455455455455,0.0792845067620097,999
vwap_bias_5,0.03186181289146545,0.028019323671497585,0.04532155282372728,1035
vwap_bias_20,0.08644573359612102,0.08235867446393762,0.12328332228088212,1026
vwap_bias_60,0.11384147107920387,0.10560560560560561,0.16506480120589337,999
obv_slope_20,0.034688310562391224,0.04424778761061947,0.048386016749678074,1017
obv_slope_60,-0.033300880332899484,-0.018935516888433982,-0.046092088412096,977
volume_price_corr_20,-0.0500039831209205,-0.07309941520467836,-0.07044655939296057,1026
volume_price_corr_60,-0.02495578520813003,-0.03203203203203203,-0.03546738002609666,999
return_amount_corr_20,-0.037679431979548,-0.03804878048780488,-0.05132935508835293,1025
return_amount_corr_60,0.010996367974501582,-0.01503006012024048,0.015734603116863956,998
amount_shock_count_20,-0.010901293974775756,-0.017769807173239848,-0.015330464978792872,928
amount_shock_count_60,0.13558803249847326,0.11632228938931806,0.18938372033818437,994
signed_volume_flow_20,0.04551922297377486,0.05263157894736842,0.0648937094798377,1026
signed_volume_flow_60,0.06271198658824177,0.05305305305305305,0.09123375776789593,999
price_volume_trend_20,-0.023190649896138754,-0.015732546705998034,-0.03212012231434188,1017
price_volume_trend_60,0.014077720496726473,-0.0010235414534288639,0.02006886300449976,977
intraday_return,0.0230908943324924,0.020712909441233142,0.03295586268384449,1038
overnight_return,-0.0076979405129223594,-0.0024108003857280617,-0.010764757591173265,1037
gap_return,-0.0076979405129223594,-0.0024108003857280617,-0.010764757591173265,1037
amplitude,0.009430618152303671,-0.005303760848601736,0.013361236978457097,1037
atr_pct_5,0.05335842502016839,0.04541062801932367,0.07572527562266873,1035
atr_pct_10,-0.00457661201462929,0.004364694471387003,-0.006456494997382454,1031
atr_pct_20,-0.055988943083165384,-0.0550682261208577,-0.07764415517463115,1026
atr_pct_60,-0.12114315788583517,-0.0915915915915916,-0.17595162682715323,999
