date,symbol,event_count_3d,event_count_20d,positive_event_count,negative_event_count,event_risk_count,event_impact_score,event_confidence_mean,latest_event_type,latest_event_title
2025-02-05,000630,1,1,1,0,0,0.3858826471599617,0.7,commodity_shock,沪金主连价格上涨触发商品冲击
2025-02-06,000630,1,1,1,0,0,0.3858826471599617,0.7,commodity_shock,沪金主连价格上涨触发商品冲击
2025-02-07,000630,1,1,1,0,0,0.3858826471599617,0.7,commodity_shock,沪金主连价格上涨触发商品冲击
2025-02-10,000630,1,1,1,0,0,0.3858826471599617,0.7,commodity_shock,沪金主连价格上涨触发商品冲击
2025-02-11,000630,1,2,2,0,0,0.4463003323737579,0.7,commodity_shock,沪金主连价格上涨触发商品冲击
2025-02-12,000630,1,2,2,0,0,0.4463003323737579,0.7,commodity_shock,沪金主连价格上涨触发商品冲击
2025-02-13,000630,1,2,2,0,0,0.44630033237375794,0.7,commodity_shock,沪金主连价格上涨触发商品冲击
2025-02-14,000630,1,2,2,0,0,0.44630033237375794,0.7,commodity_shock,沪金主连价格上涨触发商品冲击
2025-02-17,000630,0,2,2,0,0,0.4463003323737579,0.7,commodity_shock,沪金主连价格上涨触发商品冲击
2025-02-18,000630,0,2,2,0,0,0.4463003323737579,0.7,commodity_shock,沪金主连价格上涨触发商品冲击
2025-02-19,000630,0,2,2,0,0,0.4463003323737579,0.7,commodity_shock,沪金主连价格上涨触发商品冲击
2025-02-20,000630,0,2,2,0,0,0.4463003323737579,0.7,commodity_shock,沪金主连价格上涨触发商品冲击
2025-02-21,000630,0,2,2,0,0,0.4463003323737579,0.7,commodity_shock,沪金主连价格上涨触发商品冲击
2025-02-24,000630,0,2,2,0,0,0.4463003323737579,0.7,commodity_shock,沪金主连价格上涨触发商品冲击
2025-02-25,000630,0,2,2,0,0,0.44630033237375794,0.7,commodity_shock,沪金主连价格上涨触发商品冲击
2025-02-26,000630,0,2,2,0,0,0.4463003323737579,0.7,commodity_shock,沪金主连价格上涨触发商品冲击
2025-02-27,000630,0,2,2,0,0,0.4463003323737579,0.7,commodity_shock,沪金主连价格上涨触发商品冲击
2025-02-28,000630,0,2,2,0,0,0.44630033237375794,0.7,commodity_shock,沪金主连价格上涨触发商品冲击
2025-03-03,000630,0,2,2,0,0,0.4463003323737579,0.7,commodity_shock,沪金主连价格上涨触发商品冲击
2025-03-04,000630,0,2,2,0,0,0.4463003323737579,0.7,commodity_shock,沪金主连价格上涨触发商品冲击
2025-03-05,000630,0,2,2,0,0,0.44630033237375794,0.7,commodity_shock,沪金主连价格上涨触发商品冲击
2025-03-06,000630,0,2,2,0,0,0.4463003323737579,0.7,commodity_shock,沪金主连价格上涨触发商品冲击
2025-03-07,000630,0,2,2,0,0,0.4463003323737579,0.7,commodity_shock,沪金主连价格上涨触发商品冲击
2025-03-10,000630,0,1,1,0,0,0.4719399573771508,0.7,commodity_shock,沪金主连价格上涨触发商品冲击
2025-03-11,000630,0,1,1,0,0,0.4719399573771508,0.7,commodity_shock,沪金主连价格上涨触发商品冲击
2025-03-12,000630,0,1,1,0,0,0.4719399573771508,0.7,commodity_shock,沪金主连价格上涨触发商品冲击
2025-03-13,000630,0,1,1,0,0,0.4719399573771508,0.7,commodity_shock,沪金主连价格上涨触发商品冲击
2025-04-07,000630,1,1,0,1,0,-0.6771908017402115,0.7,commodity_shock,沪铜主连价格下跌触发商品冲击
2025-04-08,000630,2,2,0,2,0,-0.6676675923435358,0.7,commodity_shock,沪铜主连价格下跌触发商品冲击
2025-04-09,000630,3,3,0,3,0,-0.7279707204709307,0.6999999999999998,commodity_shock,沪铜主连价格下跌触发商品冲击
2025-04-10,000630,4,4,0,4,0,-0.6459047842274092,0.7,commodity_shock,沪铜主连价格下跌触发商品冲击
