source,source_url,published_at,symbol,related_symbols,title,summary,quality_flag,event_type,sentiment,impact_score,confidence
cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1225335106&orgId=gssz0000630&announcementTime=2026-05-29 00:00:00,2026-05-29 00:00:00,000630,000630,2025年年度权益分派实施公告,2025年年度权益分派实施公告,ok,,,,
cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1225321199&orgId=gssz0000630&announcementTime=2026-05-21 00:00:00,2026-05-21 00:00:00,000630,000630,十一届一次董事会会议决议公告,十一届一次董事会会议决议公告,ok,,,,
cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1225304286&orgId=gssz0000630&announcementTime=2026-05-14 00:00:00,2026-05-14 00:00:00,000630,000630,关于独立董事辞职的公告,关于独立董事辞职的公告,ok,,,,
cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1225304285&orgId=gssz0000630&announcementTime=2026-05-14 00:00:00,2026-05-14 00:00:00,000630,000630,关于选举第十一届董事会职工董事的公告,关于选举第十一届董事会职工董事的公告,ok,,,,
cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1225304284&orgId=gssz0000630&announcementTime=2026-05-14 00:00:00,2026-05-14 00:00:00,000630,000630,安徽承义律师事务所关于铜陵有色金属集团股份有限公司召开2025年年度股东会的法律意见书,安徽承义律师事务所关于铜陵有色金属集团股份有限公司召开2025年年度股东会的法律意见书,ok,,,,
cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1225304283&orgId=gssz0000630&announcementTime=2026-05-14 00:00:00,2026-05-14 00:00:00,000630,000630,2025年度股东会决议的公告,2025年度股东会决议的公告,ok,,,,
cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1225226181&orgId=gssz0000630&announcementTime=2026-04-29 00:00:00,2026-04-29 00:00:00,000630,000630,董事会议事规则,董事会议事规则,ok,,,,
cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1225226180&orgId=gssz0000630&announcementTime=2026-04-29 00:00:00,2026-04-29 00:00:00,000630,000630,关于计提资产减值准备的公告,关于计提资产减值准备的公告,ok,,,,
cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1225226179&orgId=gssz0000630&announcementTime=2026-04-29 00:00:00,2026-04-29 00:00:00,000630,000630,关于2025年度股东会增加临时提案暨股东会补充通知,关于2025年度股东会增加临时提案暨股东会补充通知,ok,,,,
cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1225226178&orgId=gssz0000630&announcementTime=2026-04-29 00:00:00,2026-04-29 00:00:00,000630,000630,十届三十次董事会会议决议公告,十届三十次董事会会议决议公告,ok,,,,
cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1225226176&orgId=gssz0000630&announcementTime=2026-04-29 00:00:00,2026-04-29 00:00:00,000630,000630,2026年一季度报告,2026年一季度报告,ok,,,,
cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1225119744&orgId=gssz0000630&announcementTime=2026-04-20 00:00:00,2026-04-20 00:00:00,000630,000630,关于铜陵有色金属集团股份有限公司涉及财务公司关联交易的存款、贷款等金融业务的专项说明,关于铜陵有色金属集团股份有限公司涉及财务公司关联交易的存款、贷款等金融业务的专项说明,ok,,,,
cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1225119743&orgId=gssz0000630&announcementTime=2026-04-20 00:00:00,2026-04-20 00:00:00,000630,000630,关于续聘会计师事务所的公告,关于续聘会计师事务所的公告,ok,,,,
