model_type,horizon_days,industry,rows,symbols,direction_accuracy,baseline_accuracy,auc,raw_auc,brier,raw_brier,calibrated_ece,raw_ece,probability_calibration_statuses,probability_calibration_methods,probability_calibration_ready_ratio,probability_calibration_pit_ratio,rank_ic,mean_forward_return,top_bucket_return,bottom_bucket_return,top_bottom_spread,slice_status,industry_source
lightgbm,5,theme_proxy:advanced_packaging_chiplet_pcb,1324,4,0.4652567975830816,0.5830815709969789,0.4852749305399114,0.4839901535631148,0.2638033763926936,0.2669615420811571,0.11428090976768417,0.12787987734565484,calibrated;calibration_failed;calibration_watch,identity;isotonic,0.6193353474320241,1.0,0.0005618222393087196,0.02047408036420167,0.018965197139324468,0.0165197947396878,0.002445402399636667,ok,curated_hot_theme_proxy_not_historical_industry
lightgbm,5,theme_proxy:agriculture_food_beverage,4965,15,0.47814702920443103,0.5492447129909366,0.4827703503147455,0.4527592541798118,0.2562533500296109,0.2572118691475194,0.06423036459460439,0.05178374913331239,calibrated;calibration_failed;calibration_watch,identity;isotonic,0.6193353474320241,1.0,-0.03662666591620855,-0.00260873641204424,-0.0019769190789158965,-0.0006212479878847776,-0.001355671091031119,weak_or_failed,curated_hot_theme_proxy_not_historical_industry
lightgbm,5,theme_proxy:ai_compute_semiconductor,1976,6,0.4979757085020243,0.5167004048582996,0.5023219203019317,0.4851813487444298,0.25743344336944585,0.25943054948943456,0.05123209920710611,0.06959103767212625,calibrated;calibration_failed;calibration_watch,identity;isotonic,0.6174089068825911,1.0,0.011315200247842185,0.004360222835903907,0.00747999813075547,0.0037755839858086278,0.003704414144946842,ok,curated_hot_theme_proxy_not_historical_industry
lightgbm,5,theme_proxy:chemical_new_materials,2643,8,0.501324252743095,0.5300794551645857,0.49967816868788223,0.48630693971754707,0.25607656255896627,0.25782516469147176,0.048587984311101465,0.068107483074678,calibrated;calibration_failed;calibration_watch,identity;isotonic,0.6186152099886493,1.0,0.015261918049422254,0.008326994249534333,0.01583004418165079,0.0103279224209769,0.005502121760673889,ok,curated_hot_theme_proxy_not_historical_industry
lightgbm,5,theme_proxy:coal_power_oil_gas,2317,7,0.5308588692274493,0.5304272766508416,0.5214904513473412,0.526492126549562,0.253626675765132,0.2548876858635074,0.05181308225116002,0.07268578792412156,calibrated;calibration_failed;calibration_watch,identity;isotonic,0.6193353474320241,1.0,0.05307058339648424,0.007755153629448423,0.00831949176014382,0.006606311821209672,0.0017131799389341479,ok,curated_hot_theme_proxy_not_historical_industry
lightgbm,5,theme_proxy:commercial_space_satellite_internet,1324,4,0.47658610271903323,0.5060422960725075,0.46752704368067916,0.4633746405586745,0.2598001650064696,0.26074993831343923,0.047362807883652464,0.06437121671797431,calibrated;calibration_failed;calibration_watch,identity;isotonic,0.6193353474320241,1.0,-0.08362693138280514,0.00471805333457731,0.00012679845384937344,0.010784676635256502,-0.010657878181407128,weak_or_failed,curated_hot_theme_proxy_not_historical_industry
lightgbm,5,theme_proxy:consumer_electronics_pcb,5286,16,0.4979190314037079,0.5355656451002648,0.5077698826132843,0.48176754164145724,0.256176191027101,0.2612626710500387,0.05718879810855378,0.0786010756422699,calibrated;calibration_failed;calibration_watch,identity;isotonic,0.620506999621642,1.0,0.04381754882241343,0.008228952979178025,0.0186858862053155,0.004974838899003704,0.013711047306311796,ok,curated_hot_theme_proxy_not_historical_industry
lightgbm,5,theme_proxy:cpo_optical_module_datacenter,331,1,0.48036253776435045,0.5921450151057401,0.565702947845805,0.5988095238095238,0.2574095376532991,0.2604575527373738,0.1414798122737802,0.16346006553662862,calibrated;calibration_failed;calibration_watch,identity;isotonic,0.6193353474320241,1.0,0.06240792815304604,0.025122519093428806,0.02229687618909012,0.035985662591428054,-0.013688786402337935,ok,curated_hot_theme_proxy_not_historical_industry
lightgbm,5,theme_proxy:cxo_biotech_innovative_drug,331,1,0.459214501510574,0.5075528700906344,0.44208296815658776,0.485447706690038,0.261625320021879,0.25642216631353487,0.046523356964051424,0.02242053964552936,calibrated;calibration_failed;calibration_watch,identity;isotonic,0.6193353474320241,1.0,-0.11475612842066653,0.009116418716390786,-0.004716507137526517,0.016076432073744408,-0.020792939211270924,weak_or_failed,curated_hot_theme_proxy_not_historical_industry
lightgbm,5,theme_proxy:data_element_fintech_ai_app,1654,5,0.4951632406287787,0.5399032648125756,0.4853106288801939,0.47555376685065476,0.25554820683762064,0.2542638597469673,0.06050356738434837,0.05307847672479407,calibrated;calibration_failed;calibration_watch,identity;isotonic,0.619105199516324,1.0,-0.023221746667012873,-0.0006614275990747328,0.0023624840326171123,0.0016516681839225645,0.0007108158486945479,ok,curated_hot_theme_proxy_not_historical_industry
lightgbm,5,theme_proxy:datacenter_optical_liquid_cooling,1986,6,0.5297079556898288,0.5463242698892246,0.5499424602464236,0.5101034692635423,0.25108892543784445,0.25793448229601573,0.06147517686760301,0.08162475364191155,calibrated;calibration_failed;calibration_watch,identity;isotonic,0.6193353474320241,1.0,0.11690879833421894,0.01621162568872078,0.039846904129846226,0.0038865353771608,0.03596036875268543,ok,curated_hot_theme_proxy_not_historical_industry
lightgbm,5,theme_proxy:defense_ship_equipment,2979,9,0.4669352131587781,0.5085599194360524,0.46765811827084347,0.4695826344929575,0.25853982076651744,0.2578107863321292,0.024685543101385876,0.033318863474903836,calibrated;calibration_failed;calibration_watch,identity;isotonic,0.6193353474320241,1.0,-0.08559190096564184,0.006493990860257318,0.0016296911433588768,0.012132394388132127,-0.010502703244773249,weak_or_failed,curated_hot_theme_proxy_not_historical_industry
