model_type,horizon_days,size_source,size_bucket,rows,symbols,direction_accuracy,baseline_accuracy,auc,raw_auc,brier,raw_brier,calibrated_ece,raw_ece,probability_calibration_statuses,probability_calibration_methods,probability_calibration_ready_ratio,probability_calibration_pit_ratio,rank_ic,mean_forward_return,top_bucket_return,bottom_bucket_return,top_bottom_spread,slice_status
ensemble,1,market_cap_unavailable,market_cap_unavailable,22969,30,0.5094257477469633,0.5000217684705472,0.5183069795427744,0.5183069795427744,0.25224934634857465,0.25224934634857465,0.03494251747031748,0.03494251747031748,,,0.0,0.0,0.026517850904757626,0.0015389432900207727,0.001701231200028345,0.0012107321747417176,0.0004904990252866273,ok
ensemble,5,market_cap_unavailable,market_cap_unavailable,22689,30,0.505839834280929,0.5250561946317599,0.5269983121568516,0.5269983121568516,0.25795127314514876,0.25795127314514876,0.08218718666087767,0.08218718666087767,,,0.0,0.0,0.03974754163697909,0.007907418695364501,0.009668233582378246,0.008151466804144383,0.0015167667782338638,ok
ensemble,20,market_cap_unavailable,market_cap_unavailable,21639,30,0.4890706594574611,0.5788160266186053,0.5228487155598831,0.5228487155598831,0.27931341881721466,0.27931341881721466,0.1671079438956003,0.1671079438956003,,,0.0,0.0,0.05894871579835529,0.03268922802565586,0.04584589377370769,0.028418929851021832,0.017426963922685855,ok
ensemble,60,market_cap_unavailable,market_cap_unavailable,10,10,0.5,0.6,0.7083333333333334,0.7083333333333334,0.22780668542321986,0.22780668542321986,0.2824313840531771,0.2824313840531771,,,0.0,0.0,0.4787878787878787,0.03819761889944493,0.21578084053790111,-0.04082516030299505,0.2566060008408962,data_sparse
event_aware_ensemble,1,market_cap_unavailable,market_cap_unavailable,102,3,0.45098039215686275,0.5196078431372549,0.4301116673084328,0.4301116673084328,0.2690354694012698,0.2690354694012698,0.09363925181606156,0.09363925181606156,,,0.0,0.0,-0.09472946152410787,0.002953199525166955,0.0033740565767823422,0.0077366082340409245,-0.004362551657258582,weak_or_failed
event_aware_ensemble,5,market_cap_unavailable,market_cap_unavailable,90,3,0.43333333333333335,0.5888888888888889,0.4390617032126466,0.4390617032126466,0.26132552919475244,0.26132552919475244,0.06912829418395924,0.06912829418395924,,,0.0,0.0,-0.13268304728978886,0.011438605857883852,0.013073223461911553,0.03751569731110125,-0.024442473849189697,weak_or_failed
event_aware_ensemble,20,market_cap_unavailable,market_cap_unavailable,45,3,0.4222222222222222,0.5111111111111111,0.3300395256916996,0.3300395256916996,0.3534101177203574,0.3534101177203574,0.2733843750894525,0.2733843750894525,,,0.0,0.0,-0.3694334650856389,0.03267204349100725,-0.004118909593706168,0.10091833517492714,-0.10503724476863331,data_sparse
event_aware_ensemble,60,market_cap_unavailable,market_cap_unavailable,3,3,0.6666666666666666,0.6666666666666666,0.0,0.0,0.3365570074612089,0.3365570074612089,0.4018945087299289,0.4018945087299289,,,0.0,0.0,-1.0,0.10667171771124334,0.0,0.0,0.0,data_sparse
factor_score,1,cs_amount_rank_20_liquidity_proxy,high_liquidity_proxy,1580,3,0.519620253164557,0.5158227848101266,0.5203672962027347,0.5082441156421669,0.2521177409633908,0.2540245411774239,0.03674760734494382,0.04164239959773507,calibrated;calibration_failed;calibration_watch,identity;isotonic;platt,0.8405063291139241,1.0,0.024271307598674404,0.0006239971183655154,0.0001781094715535949,7.072504031226754e-06,0.00017103696752236814,ok
factor_score,1,cs_amount_rank_20_liquidity_proxy,low_liquidity_proxy,790,2,0.5316455696202531,0.5278481012658228,0.5490995943191828,0.5382310773365222,0.248480199330237,0.24948216489939468,0.01702208828393178,0.030186703395203324,calibrated;calibration_failed;calibration_watch,identity;isotonic;platt,0.8405063291139241,1.0,0.06782457584105839,0.0010439788272990395,0.0024194547936111786,-0.0002934597012790936,0.0027129144948902723,ok
