model_type,horizon_days,year,rows,symbols,direction_accuracy,baseline_accuracy,auc,raw_auc,brier,raw_brier,calibrated_ece,raw_ece,probability_calibration_statuses,probability_calibration_methods,probability_calibration_ready_ratio,probability_calibration_pit_ratio,rank_ic,mean_forward_return,top_bucket_return,bottom_bucket_return,top_bottom_spread,slice_status
ensemble,1,2024,8160,20,0.5362745098039216,0.5178921568627451,0.5439525598787952,0.5439525598787952,0.2484607237797634,0.2484607237797634,0.009252472190361932,0.009252472190361932,,,0.0,0.0,0.08176146394550599,0.0005094542642342953,0.0030152122054062183,-0.0016342747925253641,0.004649486997931582,ok
ensemble,1,2025,10731,30,0.49492125617370236,0.5222253284875594,0.5217439909942005,0.5217439909942005,0.2541539173028151,0.2541539173028151,0.06264270068851774,0.06264270068851774,,,0.0,0.0,0.03389201101564154,0.002905209496729196,0.0030163631156656587,0.002273468458200615,0.0007428946574650438,ok
ensemble,1,2026,4078,20,0.49386954389406573,0.5228052967140755,0.48455532009664315,0.48455532009664315,0.25481854920574604,0.25481854920574604,0.02911716848859006,0.02911716848859006,,,0.0,0.0,-0.030137580124366375,3.6877201898669252e-06,-0.002089350344159499,0.0021927364935243896,-0.0042820868376838885,weak_or_failed
ensemble,5,2024,8160,20,0.5323529411764706,0.5441176470588235,0.5336961760147244,0.5336961760147244,0.2502930954394037,0.2502930954394037,0.02924771867951809,0.02924771867951809,,,0.0,0.0,0.0518190855487715,0.002443743854036364,0.002247638860667469,-0.0020970237422620443,0.004344662602929513,ok
ensemble,5,2025,10611,30,0.4744133446423523,0.5909904815757233,0.546093108721516,0.546093108721516,0.26503306319789266,0.26503306319789266,0.15133362840365755,0.15133362840365755,,,0.0,0.0,0.04923554503705393,0.015071001522498637,0.016534846816837624,0.015144899322143543,0.0013899474946940816,ok
ensemble,5,2026,3918,20,0.535732516590097,0.50944359367024,0.539012989558722,0.539012989558722,0.25472152731289077,0.25472152731289077,0.06628127131972307,0.06628127131972307,,,0.0,0.0,0.09197289393338831,-0.0001143247128750885,0.014166023008329882,-0.001094952798757324,0.015260975807087206,ok
ensemble,20,2024,8160,20,0.567156862745098,0.5698529411764706,0.5758624207333884,0.5758624207333884,0.25141654184860607,0.25141654184860607,0.056461939630748366,0.056461939630748366,,,0.0,0.0,0.15175937504413642,0.00792790899169761,0.017534917362318762,-0.0318775923177078,0.04941250968002656,ok
ensemble,20,2025,10161,30,0.39336679460683005,0.7398878063182758,0.5153560827201751,0.5153560827201751,0.3113207327126332,0.3113207327126332,0.32787897710207425,0.32787897710207425,,,0.0,0.0,-0.023557177549691777,0.06823640828606724,0.07768410970628346,0.09193304327541076,-0.014248933569127292,weak_or_failed
ensemble,20,2026,3318,20,0.5901145268233876,0.5488245931283906,0.6000830142804371,0.6000830142804371,0.2499017851742067,0.2499017851742067,0.10387916128714278,0.10387916128714278,,,0.0,0.0,0.20958327403876956,-0.015274164171131607,0.025590813708683845,-0.04503922330472427,0.07063003701340811,ok
ensemble,60,2025,10,10,0.5,0.6,0.7083333333333334,0.7083333333333334,0.22780668542321986,0.22780668542321986,0.2824313840531771,0.2824313840531771,,,0.0,0.0,0.4787878787878787,0.03819761889944493,0.21578084053790111,-0.04082516030299505,0.2566060008408962,data_sparse
event_aware_ensemble,1,2025,102,3,0.45098039215686275,0.5196078431372549,0.4301116673084328,0.4301116673084328,0.2690354694012698,0.2690354694012698,0.09363925181606156,0.09363925181606156,,,0.0,0.0,-0.09472946152410787,0.002953199525166955,0.0033740565767823422,0.0077366082340409245,-0.004362551657258582,weak_or_failed
event_aware_ensemble,5,2025,90,3,0.43333333333333335,0.5888888888888889,0.4390617032126466,0.4390617032126466,0.26132552919475244,0.26132552919475244,0.06912829418395924,0.06912829418395924,,,0.0,0.0,-0.13268304728978886,0.011438605857883852,0.013073223461911553,0.03751569731110125,-0.024442473849189697,weak_or_failed
event_aware_ensemble,20,2025,45,3,0.4222222222222222,0.5111111111111111,0.3300395256916996,0.3300395256916996,0.3534101177203574,0.3534101177203574,0.2733843750894525,0.2733843750894525,,,0.0,0.0,-0.3694334650856389,0.03267204349100725,-0.004118909593706168,0.10091833517492714,-0.10503724476863331,data_sparse
event_aware_ensemble,60,2025,3,3,0.6666666666666666,0.6666666666666666,0.0,0.0,0.3365570074612089,0.3365570074612089,0.4018945087299289,0.4018945087299289,,,0.0,0.0,-1.0,0.10667171771124334,0.0,0.0,0.0,data_sparse
factor_score,1,2022,24,3,0.4583333333333333,0.5416666666666666,0.5,0.5,0.27865125642093574,0.25672306390527017,0.17431972789115652,0.07413644214162357,calibration_failed,isotonic,0.0,1.0,0.0,4.2508072534129006e-05,4.2508072534129006e-05,4.2508072534129006e-05,0.0,data_sparse
