model_type,horizon_days,regime_source,market_regime,rows,symbols,direction_accuracy,baseline_accuracy,auc,brier,rank_ic,mean_forward_return,top_bucket_return,bottom_bucket_return,top_bottom_spread,slice_status
ensemble,1,ex_post_oos_forward_return_for_evaluation_only,bearish_oos,6026,30,0.7132426153335546,0.8720544307998672,0.5360989040145818,0.22824933123878055,0.04148147875853373,-0.017837737939352075,-0.017840762476889784,-0.018889736606411744,0.0010489741295219603,ok
ensemble,1,ex_post_oos_forward_return_for_evaluation_only,bullish_oos,4598,30,0.3240539364941279,0.868421052631579,0.49257647163527907,0.2716887054400798,0.023482141195188575,0.019437359581683647,0.01947222567325985,0.018452083612347906,0.0010201420609119438,ok
ensemble,1,ex_post_oos_forward_return_for_evaluation_only,high_volatility,5939,30,0.4492338777571982,0.5731604647247012,0.4754063556739142,0.2616250027635764,-0.05907906555537737,0.007453132609213688,0.0028981882779522492,0.011490979328315042,-0.008592791050362793,weak_or_failed
ensemble,1,ex_post_oos_forward_return_for_evaluation_only,sideways_oos,6406,30,0.50655635341867,0.5176397127692788,0.5207905867794083,0.25218064427242465,0.020651641097910726,0.0014363195954294767,0.0023196122100264207,0.0012241087081236168,0.0010955035019028039,ok
ensemble,5,ex_post_oos_forward_return_for_evaluation_only,bearish_oos,6257,30,0.6762026530286079,0.8275531404826594,0.535118547100426,0.22585760644667832,0.1300969584851806,-0.03424394420323386,-0.027048888022961952,-0.04418154354274158,0.017132655519779626,ok
ensemble,5,ex_post_oos_forward_return_for_evaluation_only,bullish_oos,3080,30,0.4,0.8373376623376624,0.5221766625724897,0.2731785423258943,-0.021416870826778713,0.03740680452248216,0.036270681795942825,0.040572167230331295,-0.00430148543438847,weak_or_failed
ensemble,5,ex_post_oos_forward_return_for_evaluation_only,high_volatility,5418,30,0.4186046511627907,0.6709117755629384,0.5288854464563303,0.27767245277417474,0.00873335078113475,0.037314310626337645,0.037995665745640526,0.03830690693123322,-0.0003112411855926908,ok
ensemble,5,ex_post_oos_forward_return_for_evaluation_only,sideways_oos,7934,30,0.4721451978825309,0.582304008066549,0.5232093545159326,0.26388279976798346,0.026908551279757605,0.009616068660955011,0.009179817329162406,0.009663869727375885,-0.00048405239821348,ok
ensemble,20,ex_post_oos_forward_return_for_evaluation_only,bearish_oos,5750,30,0.6203478260869565,0.8241739130434783,0.5223346104853366,0.23610992030341993,0.11894337272157877,-0.059525978526606356,-0.051194582620535216,-0.08034003024228416,0.029145447621748942,ok
ensemble,20,ex_post_oos_forward_return_for_evaluation_only,bullish_oos,4209,30,0.3955808980755524,0.9177952007602757,0.5402974566773255,0.30884043603706696,0.08608641009316802,0.11639983722704059,0.12961843809365914,0.11436039841808299,0.015258039675576152,ok
ensemble,20,ex_post_oos_forward_return_for_evaluation_only,high_volatility,5319,20,0.4792254183117127,0.6627185561195713,0.5687850755473327,0.28922127338708004,0.11994086615293303,0.07674358221887963,0.11126073808701203,0.06421428505925283,0.0470464530277592,ok
ensemble,20,ex_post_oos_forward_return_for_evaluation_only,sideways_oos,6361,30,0.4404967772362836,0.6486401509196668,0.5366183887629167,0.29054451809702103,0.02978987842155994,0.02381866893009261,0.026703860275924276,0.02011768421993388,0.0065861760559903955,ok
ensemble,60,ex_post_oos_forward_return_for_evaluation_only,high_volatility,10,10,0.5,0.6,0.7083333333333334,0.22780668542321986,0.4787878787878787,0.03819761889944493,0.21578084053790111,-0.04082516030299505,0.2566060008408962,data_sparse
event_aware_ensemble,1,ex_post_oos_forward_return_for_evaluation_only,bearish_oos,15,3,0.4666666666666667,0.6666666666666666,0.48,0.2509272965774184,0.175,0.0037933413354602017,0.008897591382099567,-0.012271785452888867,0.021169376834988436,data_sparse
event_aware_ensemble,1,ex_post_oos_forward_return_for_evaluation_only,bullish_oos,12,3,0.4166666666666667,0.5833333333333334,0.3142857142857143,0.28431992478696216,-0.1328671328671329,0.0003619216061063164,0.002505325277271932,-0.007274538973754432,0.009779864251026364,data_sparse
event_aware_ensemble,1,ex_post_oos_forward_return_for_evaluation_only,high_volatility,42,3,0.4523809523809524,0.5952380952380952,0.46352941176470586,0.2713176258217445,-0.15501174945304272,0.0029660601140698377,-0.0004416107525681669,0.008822782282162689,-0.009264393034730856,data_sparse
event_aware_ensemble,1,ex_post_oos_forward_return_for_evaluation_only,sideways_oos,33,3,0.45454545454545453,0.5151515151515151,0.4117647058823529,0.26880391055489183,-0.15942513368983957,0.003497231741542955,0.0015879030740893003,0.013095617704042958,-0.011507714629953657,data_sparse
event_aware_ensemble,5,ex_post_oos_forward_return_for_evaluation_only,bearish_oos,6,3,0.6666666666666666,0.8333333333333334,0.4,0.22822496560765684,-0.08571428571428573,0.027899991880750888,0.03734611385069255,0.04661619332001685,-0.009270079469324295,data_sparse
event_aware_ensemble,5,ex_post_oos_forward_return_for_evaluation_only,bullish_oos,12,3,0.3333333333333333,0.6666666666666666,0.25,0.30045412276325695,-0.04895104895104895,0.023587849755836842,0.05114277098676287,0.037538450441798765,0.013604320544964105,data_sparse
event_aware_ensemble,5,ex_post_oos_forward_return_for_evaluation_only,high_volatility,18,3,0.3333333333333333,0.5,0.38271604938271603,0.2764073300590119,-0.13725490196078433,-0.0012764009928785999,0.0011725919730482467,0.026413461874459823,-0.025240869901411576,data_sparse
event_aware_ensemble,5,ex_post_oos_forward_return_for_evaluation_only,sideways_oos,54,3,0.46296296296296297,0.5740740740740741,0.5245441795231417,0.25128085962334223,-0.08214217648179911,0.011148066606052111,0.02455463619233061,0.033190270507531164,-0.008635634315200553,weak_or_failed
event_aware_ensemble,20,ex_post_oos_forward_return_for_evaluation_only,bearish_oos,3,3,0.3333333333333333,0.6666666666666666,0.0,0.4239115855395308,-0.5,0.0489373401831029,0.0,0.0,0.0,data_sparse
event_aware_ensemble,20,ex_post_oos_forward_return_for_evaluation_only,bullish_oos,21,3,0.3333333333333333,0.5714285714285714,0.2222222222222222,0.36651200087886504,-0.5857142857142857,0.03322292775227097,-0.02734264871591472,0.17905672691755042,-0.20639937563346514,data_sparse
event_aware_ensemble,20,ex_post_oos_forward_return_for_evaluation_only,sideways_oos,21,3,0.5238095238095238,0.5714285714285714,0.49074074074074076,0.3302365963019679,-0.033766233766233764,0.029797545416587006,0.03039624643546256,0.029575777364895705,0.0008204690705668552,data_sparse
event_aware_ensemble,60,ex_post_oos_forward_return_for_evaluation_only,high_volatility,3,3,0.6666666666666666,0.6666666666666666,0.0,0.3365570074612089,-1.0,0.10667171771124334,0.0,0.0,0.0,data_sparse
factor_score,1,ex_post_oos_forward_return_for_evaluation_only,bearish_oos,50,10,0.38,0.62,0.4533106960950764,0.26030333207357015,0.07840863288528196,-0.002825701015169736,-0.0014313159493452101,-0.00461770577965105,0.00318638983030584,ok
factor_score,1,ex_post_oos_forward_return_for_evaluation_only,bullish_oos,40,10,0.725,0.575,0.7097186700767263,0.23134857016880828,0.14778674942070397,0.004738652156482908,0.006668063701778112,-0.0022313016356944,0.008899365337472513,data_sparse
factor_score,1,ex_post_oos_forward_return_for_evaluation_only,high_volatility,140,10,0.5714285714285714,0.5857142857142857,0.5353238015138773,0.24819720962459055,0.1599281583331415,0.0023775357669192825,0.0032551168071863036,-0.006393895373412085,0.009649012180598389,ok
factor_score,1,ex_post_oos_forward_return_for_evaluation_only,sideways_oos,110,10,0.509090909090909,0.509090909090909,0.49404761904761907,0.2541407635310016,0.026063675115346862,-0.0005764789427418607,-0.002623545450070232,-0.0012290182265728546,-0.0013945272234973775,ok
factor_score,5,ex_post_oos_forward_return_for_evaluation_only,bearish_oos,7700,220,0.5068831168831169,0.5238961038961039,0.5153043781431211,0.25170602969120925,0.033687720506194,-0.0027435946625068938,0.0004189613141179758,-0.003330133460355012,0.0037490947744729876,ok
factor_score,5,ex_post_oos_forward_return_for_evaluation_only,bullish_oos,2420,220,0.48223140495867767,0.5557851239669421,0.4894299299731996,0.2547533312610086,-0.009937235932890968,0.006654729636784491,0.00753982826154356,0.0075118313454378815,2.7996916105678914e-05,ok
factor_score,5,ex_post_oos_forward_return_for_evaluation_only,high_volatility,10340,220,0.516247582205029,0.5016441005802708,0.522358905967841,0.2511236662103639,0.04035167452305696,0.0010095803854067676,0.004611045964885499,-0.0004028556635660679,0.005013901628451567,ok
factor_score,5,ex_post_oos_forward_return_for_evaluation_only,sideways_oos,38060,220,0.5084603258013662,0.5047031003678403,0.5119707192803035,0.25217128799596206,0.024255179792434158,0.0013159448754145276,0.0033437649588812348,-8.582349073890135e-06,0.003352347307955125,ok
factor_score,5,pit_market_mean_return_and_breadth,bearish_pit,539,3,0.5435992578849722,0.536178107606679,0.549522491349481,0.24875214946354332,0.06587341264931343,0.003613810516227105,0.0005037476510049548,0.006465649418318505,-0.005961901767313551,ok
factor_score,5,pit_market_mean_return_and_breadth,bullish_pit,544,3,0.5441176470588235,0.5422794117647058,0.4831257232319107,0.2546493669649833,-0.01733715433283862,0.0047955973662606715,-0.003475730095453032,0.004778177245240787,-0.008253907340693818,ok
factor_score,5,pit_market_mean_return_and_breadth,high_volatility_pit,590,3,0.5169491525423728,0.5406779661016949,0.5139215028513922,0.24851501996602707,0.02550719815772497,0.003345156112491706,0.012020808686558236,0.008984897869830583,0.0030359108167276536,ok
factor_score,5,pit_market_mean_return_and_breadth,sideways_pit,685,3,0.5693430656934306,0.5416058394160584,0.5958246776658025,0.24306649920968806,0.17132959863366834,0.0037086709566214013,0.008938023520640092,-0.00868759614501456,0.01762561966565465,ok
