model_id,model_type,horizon_days,model_family,trust_status,trust_gate_passed,trust_gate_reasons,rows,rank_ic,direction_accuracy,auc,brier,top_bottom_spread,beats_baseline,artifact_path,registered_at
factor_score_h1_20260611211216,factor_score,1,factor_score_baseline,,,,10420,0.022570445920673105,0.5042226487523992,,,,,reports\model_train\factor_score_h1_20260611211216.json,2026-06-11T21:12:17
factor_score_h5_20260611211217,factor_score,5,factor_score_baseline,,,,10380,0.05628653114646189,0.5199421965317919,,,,,reports\model_train\factor_score_h5_20260611211217.json,2026-06-11T21:12:17
factor_score_h20_20260611211217,factor_score,20,factor_score_baseline,,,,10230,0.11245118217839661,0.5362658846529814,,,,,reports\model_train\factor_score_h20_20260611211217.json,2026-06-11T21:12:17
lightgbm_regressor_h5_20260611212806,lightgbm_regressor,5,lightgbm,,,,10380,-0.013284184998199227,,,,,,reports\model_train_lgbm\lightgbm_regressor_h5_20260611212806.txt,2026-06-11T21:28:16
walk_forward_factor_score_h1,factor_score,1,walk_forward_validation,data_insufficient,,,340,0.0901284136333939,0.5411764705882353,,0.24991824337142265,,True,reports\walk_forward\walk_forward_predictions.csv,2026-06-11T22:04:08
ensemble_h1_20260612105457,ensemble,1,lightgbm,,,,10420,-0.014209448442527988,,,,,,reports\full_run\19_train_model\ensemble_h1_20260612105457.txt,2026-06-12T10:55:08
ensemble_h5_20260612105508,ensemble,5,lightgbm,,,,10380,-0.013284184998199227,,,,,,reports\full_run\19_train_model\ensemble_h5_20260612105508.txt,2026-06-12T10:55:08
ensemble_h20_20260612105508,ensemble,20,lightgbm,,,,10230,0.006976726238698991,,,,,,reports\full_run\19_train_model\ensemble_h20_20260612105508.txt,2026-06-12T10:55:09
walk_forward_ensemble_h1,ensemble,1,walk_forward_validation,data_insufficient,,,340,-0.09210578038577963,0.4588235294117647,,0.2587706847987761,,False,reports\full_run\23_walk_forward\walk_forward_predictions.csv,2026-06-12T10:56:31
walk_forward_ensemble_h5,ensemble,5,walk_forward_validation,data_insufficient,,,300,-0.017287086729993538,0.44333333333333336,,0.25603221716482416,,False,reports\full_run\23_walk_forward\walk_forward_predictions.csv,2026-06-12T10:56:31
