date,holding_count,gross_weight,event_exposed_weight,risk_event_weight,weighted_event_impact,weighted_positive_events,weighted_negative_events,weighted_risk_events
2022-01-10,3,0.897151097754552,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-11,3,0.8989247423984883,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-12,3,0.8985839095836483,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-13,3,0.8998164274518217,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-14,3,0.9007565926852943,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-17,3,0.8966494846962347,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-18,3,0.896229744613583,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-19,3,0.8959843430792636,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-20,3,0.8972449542324415,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-21,3,0.8981000411581015,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-24,3,0.8925281946049024,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-25,3,0.8936362987187555,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-26,3,0.894421321283245,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-27,3,0.8950173129125862,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-28,3,0.8956752477317017,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-31,3,0.8942790139061976,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-01,3,0.8946630858480262,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-02,3,0.8936737211775447,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-03,3,0.8950543106320636,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-04,3,0.894851637522685,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-07,3,0.8932025639798342,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-08,3,0.8923848155482068,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-09,3,0.892576790083255,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-10,3,0.8930474379702902,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-11,3,0.8935306196148327,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-14,3,0.8924278678515041,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-15,3,0.8928839546702291,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-16,3,0.8932820403968444,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-17,3,0.8931676943613527,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-18,3,0.8931334199210407,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-21,3,0.8933838381797478,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-22,3,0.8935160682661754,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-23,3,0.8934525607486127,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-24,3,0.8934279387108184,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-25,3,0.8934971008383107,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-28,3,0.8948940910986092,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-01,3,0.8936009062038539,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-02,3,0.8920924007643933,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-03,3,0.8910595489913538,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-04,3,0.8909577096126728,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-07,3,0.8932190194601897,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-08,3,0.8934002678526605,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-09,3,0.8934616292035569,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-10,3,0.8946404546809457,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11,3,0.8933732744775731,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-14,3,0.8940160302102624,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-15,3,0.8939848999017408,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-16,3,0.892594686720432,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-17,3,0.894661022997337,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-18,3,0.8945980142905636,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-21,3,0.8895741690848804,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-22,3,0.8893559565625768,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-23,3,0.8889943788038936,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-24,3,0.8878057172713096,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-25,3,0.889383242825881,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-28,3,0.8949715827459703,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-29,3,0.8951506677125491,0.0,0.0,0.0,0.0,0.0,0.0
