cohort_level,cohort_key,horizon_days,sample_count,mean_return,median_return,positive_rate,mean_excess_return_proxy,return_std,t_stat,avg_source_reliability,avg_entity_link_confidence,evidence_status,can_enter_trusted_model,reason
event_type,commodity_shock,1,6,0.008543212297470681,-0.00861712218098265,0.3333333333333333,-0.0016257162800285263,0.03941339492507424,0.5309492098525214,0.39999999999999997,0.8900000000000001,data_insufficient,False,"sample_count=6, minimum=20"
event_type,public_opinion_risk,1,3,0.015198289036304194,0.009463009216885032,1.0,0.003210324017823889,0.013335217802235521,1.9740366591224998,0.4000000000000001,1.0,data_insufficient,False,"sample_count=3, minimum=20"
event_type,order_contract,1,2,-0.011289324618798446,-0.011289324618798446,0.0,-0.016107515281467644,0.01242404338431269,-1.2850499223220848,0.4,1.0,data_insufficient,False,"sample_count=2, minimum=20"
event_type_reliability,commodity_shock|low,1,6,0.008543212297470681,-0.00861712218098265,0.3333333333333333,-0.0016257162800285263,0.03941339492507424,0.5309492098525214,0.39999999999999997,0.8900000000000001,data_insufficient,False,"sample_count=6, minimum=20"
event_type_reliability,public_opinion_risk|low,1,3,0.015198289036304194,0.009463009216885032,1.0,0.003210324017823889,0.013335217802235521,1.9740366591224998,0.4000000000000001,1.0,data_insufficient,False,"sample_count=3, minimum=20"
event_type_reliability,order_contract|low,1,2,-0.011289324618798446,-0.011289324618798446,0.0,-0.016107515281467644,0.01242404338431269,-1.2850499223220848,0.4,1.0,data_insufficient,False,"sample_count=2, minimum=20"
event_type_sentiment,commodity_shock|positive,1,6,0.008543212297470681,-0.00861712218098265,0.3333333333333333,-0.0016257162800285263,0.03941339492507424,0.5309492098525214,0.39999999999999997,0.8900000000000001,data_insufficient,False,"sample_count=6, minimum=20"
event_type_sentiment,public_opinion_risk|negative,1,3,0.015198289036304194,0.009463009216885032,1.0,0.003210324017823889,0.013335217802235521,1.9740366591224998,0.4000000000000001,1.0,data_insufficient,False,"sample_count=3, minimum=20"
event_type_sentiment,order_contract|positive,1,2,-0.011289324618798446,-0.011289324618798446,0.0,-0.016107515281467644,0.01242404338431269,-1.2850499223220848,0.4,1.0,data_insufficient,False,"sample_count=2, minimum=20"
sentiment,positive,1,8,0.0035850780684033995,-0.00861712218098265,0.25,-0.0052461660303883065,0.03487002321359666,0.2907979725419561,0.4,0.9175,data_insufficient,False,"sample_count=8, minimum=20"
sentiment,negative,1,3,0.015198289036304194,0.009463009216885032,1.0,0.003210324017823889,0.013335217802235521,1.9740366591224998,0.4000000000000001,1.0,data_insufficient,False,"sample_count=3, minimum=20"
source_category,sample_demo,1,11,0.006752317423285434,-0.0025041992919950795,0.45454545454545453,-0.002939850562694071,0.030267705976165706,0.7398943076839726,0.4,0.94,data_insufficient,False,"sample_count=11, minimum=20"
event_type,public_opinion_risk,5,2,0.06811478543069838,0.06811478543069838,0.5,0.023006361937047397,0.1139665485385986,0.8452379631519853,0.4,1.0,data_insufficient,False,"sample_count=2, minimum=20"
event_type_reliability,public_opinion_risk|low,5,2,0.06811478543069838,0.06811478543069838,0.5,0.023006361937047397,0.1139665485385986,0.8452379631519853,0.4,1.0,data_insufficient,False,"sample_count=2, minimum=20"
event_type_sentiment,public_opinion_risk|negative,5,2,0.06811478543069838,0.06811478543069838,0.5,0.023006361937047397,0.1139665485385986,0.8452379631519853,0.4,1.0,data_insufficient,False,"sample_count=2, minimum=20"
sentiment,negative,5,2,0.06811478543069838,0.06811478543069838,0.5,0.023006361937047397,0.1139665485385986,0.8452379631519853,0.4,1.0,data_insufficient,False,"sample_count=2, minimum=20"
source_category,sample_demo,5,2,0.06811478543069838,0.06811478543069838,0.5,0.023006361937047397,0.1139665485385986,0.8452379631519853,0.4,1.0,data_insufficient,False,"sample_count=2, minimum=20"
