source,source_url,published_at,symbol,related_symbols,title,summary,quality_flag,fetched_at,effective_date,announce_date,raw_hash
akshare,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1224907663&orgId=gssz0000630&announcementTime=2025-12-31 00:00:00,2025-12-31 00:00:00,000630,000630,关于选举第十届董事会职工董事的公告,关于选举第十届董事会职工董事的公告,raw_event,2026-06-12T17:08:40,2026-06-12 17:08:40,,13683992377670792911
akshare,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1224904793&orgId=gssz0000630&announcementTime=2025-12-30 00:00:00,2025-12-30 00:00:00,000630,000630,安徽承义律师事务所关于铜陵有色金属集团股份有限公司召开2025年第三次临时股东会的法律意见书,安徽承义律师事务所关于铜陵有色金属集团股份有限公司召开2025年第三次临时股东会的法律意见书,raw_event,2026-06-12T17:08:40,2026-06-12 17:08:40,,5483145957332860929
akshare,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1224904792&orgId=gssz0000630&announcementTime=2025-12-30 00:00:00,2025-12-30 00:00:00,000630,000630,2025年第三次临时股东会决议的公告,2025年第三次临时股东会决议的公告,raw_event,2026-06-12T17:08:40,2026-06-12 17:08:40,,16289777350867787890
akshare,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1224881678&orgId=gssz0000630&announcementTime=2025-12-17 00:00:00,2025-12-17 00:00:00,000630,000630,关于铜陵有色金属集团财务有限公司为关联方提供金融服务的风险处置预案,关于铜陵有色金属集团财务有限公司为关联方提供金融服务的风险处置预案,raw_event,2026-06-12T17:08:40,2026-06-12 17:08:40,,3437249919985517989
akshare,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1224881677&orgId=gssz0000630&announcementTime=2025-12-17 00:00:00,2025-12-17 00:00:00,000630,000630,董事会专门委员会工作细则,董事会专门委员会工作细则,raw_event,2026-06-12T17:08:40,2026-06-12 17:08:40,,6596706670096298275
akshare,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1224881676&orgId=gssz0000630&announcementTime=2025-12-17 00:00:00,2025-12-17 00:00:00,000630,000630,董事和高级管理人员所持本公司股份及其变动管理制度,董事和高级管理人员所持本公司股份及其变动管理制度,raw_event,2026-06-12T17:08:40,2026-06-12 17:08:40,,10859466089444506749
akshare,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1224881675&orgId=gssz0000630&announcementTime=2025-12-17 00:00:00,2025-12-17 00:00:00,000630,000630,董事和高级管理人员离职管理制度,董事和高级管理人员离职管理制度,raw_event,2026-06-12T17:08:40,2026-06-12 17:08:40,,3216903014274733243
akshare,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1224881674&orgId=gssz0000630&announcementTime=2025-12-17 00:00:00,2025-12-17 00:00:00,000630,000630,独立董事工作制度,独立董事工作制度,raw_event,2026-06-12T17:08:40,2026-06-12 17:08:40,,6223171242640115655
akshare,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1224881673&orgId=gssz0000630&announcementTime=2025-12-17 00:00:00,2025-12-17 00:00:00,000630,000630,董事会秘书工作细则,董事会秘书工作细则,raw_event,2026-06-12T17:08:40,2026-06-12 17:08:40,,1771728078716619079
akshare,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1224881672&orgId=gssz0000630&announcementTime=2025-12-17 00:00:00,2025-12-17 00:00:00,000630,000630,信息披露事务管理制度,信息披露事务管理制度,raw_event,2026-06-12T17:08:40,2026-06-12 17:08:40,,13091211951948737232
akshare,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1224881671&orgId=gssz0000630&announcementTime=2025-12-17 00:00:00,2025-12-17 00:00:00,000630,000630,内幕信息知情人管理制度,内幕信息知情人管理制度,raw_event,2026-06-12T17:08:40,2026-06-12 17:08:40,,1625825177381706976
akshare,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1224881670&orgId=gssz0000630&announcementTime=2025-12-17 00:00:00,2025-12-17 00:00:00,000630,000630,经理工作细则,经理工作细则,raw_event,2026-06-12T17:08:40,2026-06-12 17:08:40,,2278039151972040736
akshare,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1224881669&orgId=gssz0000630&announcementTime=2025-12-17 00:00:00,2025-12-17 00:00:00,000630,000630,信息披露暂缓与豁免管理制度,信息披露暂缓与豁免管理制度,raw_event,2026-06-12T17:08:40,2026-06-12 17:08:40,,7345064773457575021
