theme,theme_group,rows,unique_symbols,required_min_symbols,coverage_ratio,coverage_status,can_enter_training_pool,can_support_trusted_evidence,symbol_sample,notes
innovative_drug_medical_device,core_hot;free_market_extension,61,61,30,2.0,broad,True,True,600276;300760;603259;300759;688235;688271;300015;300347,coverage_ok_for_research_pool;prediction_still_requires_oos_validation
high_dividend_state_owned_finance,expanded_hot,49,49,20,2.0,broad,True,True,601398;601939;601288;601988;600036;601166;600919;601328,coverage_ok_for_research_pool;prediction_still_requires_oos_validation
consumer_electronics_pcb,expanded_hot;free_market_extension,40,40,20,2.0,broad,True,True,002475;000725;002241;002938;002463;002916;603228;300476,coverage_ok_for_research_pool;prediction_still_requires_oos_validation
agriculture_food_beverage,expanded_hot;free_market_extension,43,43,20,2.0,broad,True,True,000876;002714;300498;002311;000998;600313;600371;002385,coverage_ok_for_research_pool;prediction_still_requires_oos_validation
coal_power_oil_gas,expanded_hot;free_market_extension,46,46,20,2.0,broad,True,True,601088;601225;600188;601699;600985;600348;000983;600546,coverage_ok_for_research_pool;prediction_still_requires_oos_validation
chemical_new_materials,expanded_hot;free_market_extension,48,48,20,2.0,broad,True,True,600309;002648;600346;000301;600426;600989;002493;600143,coverage_ok_for_research_pool;prediction_still_requires_oos_validation
mega_hot_free_market_extension,free_market_extension,395,395,50,2.0,broad,True,True,000004;000006;000007;000008;000010;000011;000014;000016,coverage_ok_for_research_pool;prediction_still_requires_oos_validation
data_element_fintech_ai_app,professional_hot;free_market_extension,28,28,8,2.0,broad,True,True,300033;300059;300418;300364;002230;688111;600845;300212,coverage_ok_for_research_pool;prediction_still_requires_oos_validation
defense_ship_equipment,core_hot;free_market_extension,35,35,30,1.1666666666666667,ready,True,True,600150;601989;600760;000768;600893;002179;600316;300474,coverage_ok_for_research_pool;prediction_still_requires_oos_validation
robotics_highend_manufacturing,core_hot;free_market_extension,41,41,30,1.3666666666666667,ready,True,True,300124;002747;688017;002050;002600;603662;002472;688305,coverage_ok_for_research_pool;prediction_still_requires_oos_validation
ai_compute_semiconductor,core_hot;free_market_extension,43,42,30,1.4,ready,True,True,603501;688981;688041;688256;002371;300308;300502;600584,coverage_ok_for_research_pool;prediction_still_requires_oos_validation
power_solid_state_battery,core_hot;free_market_extension,49,49,30,1.6333333333333333,ready,True,True,300750;002594;002812;300014;002709;002074;300073;603799,coverage_ok_for_research_pool;prediction_still_requires_oos_validation
metals_energy_metals,core_hot;free_market_extension,52,52,30,1.7333333333333334,ready,True,True,601899;603993;600547;600489;600362;000630;601600;000807,coverage_ok_for_research_pool;prediction_still_requires_oos_validation
education_human_capital,expanded_hot,22,22,20,1.1,ready,True,True,002607;300010;300359;000526;600661;300338;002659;300365,coverage_ok_for_research_pool;prediction_still_requires_oos_validation
tourism_retail_services,expanded_hot,24,24,20,1.2,ready,True,True,601888;600138;000888;000978;002033;600054;600258;600754,coverage_ok_for_research_pool;prediction_still_requires_oos_validation
low_altitude_space_satellite,expanded_hot,25,25,20,1.25,ready,True,True,002085;600316;600760;000768;600118;300424;300699;688066,coverage_ok_for_research_pool;prediction_still_requires_oos_validation
