factor,year,rank_ic_mean,ic_mean,positive_rank_ic_ratio,observations
amihud_illiquidity_20,2022,0.12653061224489795,0.13057253703277924,0.6040816326530613,245
amihud_illiquidity_20,2023,-0.04038461538461539,-0.006708341185609914,0.46153846153846156,260
amihud_illiquidity_20,2024,0.13931297709923665,0.15261344784687636,0.5801526717557252,262
amihud_illiquidity_20,2025,0.1015625,0.11687915702645736,0.56640625,256
amihud_illiquidity_60,2022,0.12272727272727273,0.09488156821443047,0.5909090909090909,220
amihud_illiquidity_60,2023,-0.1326923076923077,-0.09322974244296815,0.4153846153846154,260
amihud_illiquidity_60,2024,0.15648854961832062,0.14620398717195232,0.5877862595419847,262
amihud_illiquidity_60,2025,0.0859375,0.10456025362707183,0.55859375,256
amount_crowding_20,2022,-0.044534412955465584,-0.03526812490357776,0.4898785425101215,247
amount_crowding_20,2023,0.075,0.10497224456777948,0.5538461538461539,260
amount_crowding_20,2024,0.08015267175572519,0.07505062132875656,0.5229007633587787,262
amount_crowding_20,2025,-0.001953125,-0.036622212222193216,0.4921875,256
amount_crowding_60,2022,-0.03636363636363636,-0.03726362919179416,0.4954545454545455,220
amount_crowding_60,2023,0.07307692307692308,0.08538544608747897,0.5461538461538461,260
amount_crowding_60,2024,0.03816793893129771,0.043287538304317065,0.5114503816793893,262
amount_crowding_60,2025,-0.0078125,-0.0119389191314208,0.5,256
amount_cv_20,2022,-0.14516129032258066,-0.16490645009708355,0.3911290322580645,248
amount_cv_20,2023,0.075,0.07738875900324059,0.5615384615384615,260
amount_cv_20,2024,0.08778625954198473,0.10322377658111513,0.5648854961832062,262
amount_cv_20,2025,0.078125,0.06325933985841915,0.55078125,256
amount_cv_60,2022,-0.16968325791855204,-0.13300884391720305,0.37104072398190047,221
amount_cv_60,2023,0.032692307692307694,0.04280724137732529,0.5307692307692308,260
amount_cv_60,2024,0.1736641221374046,0.16576839487869635,0.6068702290076335,262
amount_cv_60,2025,-0.0859375,-0.10596951140259628,0.46875,256
amount_mean_10,2022,-0.16205533596837945,-0.12855171596132223,0.3794466403162055,253
amount_mean_10,2023,0.09615384615384616,0.10685123767443203,0.5615384615384615,260
amount_mean_10,2024,-0.15839694656488548,-0.1771724662794833,0.4122137404580153,262
amount_mean_10,2025,-0.056640625,-0.07897308728630341,0.453125,256
amount_mean_120,2022,-0.11878453038674033,-0.12164388630140929,0.4088397790055249,181
amount_mean_120,2023,0.09423076923076923,0.10876672330341336,0.5538461538461539,260
amount_mean_120,2024,-0.16221374045801526,-0.19749560063830607,0.4083969465648855,262
amount_mean_120,2025,-0.115234375,-0.12441529567034859,0.41796875,256
amount_mean_20,2022,-0.14919354838709678,-0.12526184854275255,0.3870967741935484,248
amount_mean_20,2023,0.125,0.11246120182271291,0.5807692307692308,260
amount_mean_20,2024,-0.16221374045801526,-0.17856247046001364,0.4083969465648855,262
amount_mean_20,2025,-0.072265625,-0.08817146058537595,0.453125,256
amount_mean_40,2022,-0.14893617021276595,-0.12917564709571086,0.3872340425531915,235
amount_mean_40,2023,0.09230769230769231,0.11748168242789943,0.55,260
amount_mean_40,2024,-0.16221374045801526,-0.18530357609419773,0.4083969465648855,262
amount_mean_40,2025,-0.08984375,-0.10114434169309616,0.4375,256
amount_mean_5,2022,-0.1614785992217899,-0.12180913331709473,0.3852140077821012,257
amount_mean_5,2023,0.09038461538461538,0.11161109884286248,0.5615384615384615,260
amount_mean_5,2024,-0.11068702290076336,-0.17834779166669182,0.44274809160305345,262
amount_mean_5,2025,-0.033203125,-0.0485554768976598,0.4765625,256
amount_mean_60,2022,-0.1244343891402715,-0.1177300934026104,0.4072398190045249,221
amount_mean_60,2023,0.08846153846153847,0.12006821609711185,0.55,260
amount_mean_60,2024,-0.16221374045801526,-0.19054453983646502,0.4083969465648855,262
amount_mean_60,2025,-0.091796875,-0.10093079332418273,0.43359375,256
amount_percentile_20,2022,0.0009356887401970854,-0.001770921863689757,0.4879032258064516,248
amount_percentile_20,2023,0.04113904777964089,0.05220529618191428,0.49615384615384617,260
amount_percentile_20,2024,0.022988505747126436,0.03564764668363683,0.4789272030651341,261
amount_percentile_20,2025,0.00428936020059889,-0.00434286937904281,0.48828125,256
amount_percentile_60,2022,-0.02533066158983401,-0.018488637756561118,0.48868778280542985,221
amount_percentile_60,2023,0.05281558002911106,0.06381857977039074,0.5153846153846153,260
amount_percentile_60,2024,0.021503719832883822,0.044543624293555496,0.5,262
amount_percentile_60,2025,-0.00624248520059889,-0.016889507554395992,0.48828125,256
amount_ratio_10_60,2022,0.027149321266968326,0.04542440399799956,0.5248868778280543,221
amount_ratio_10_60,2023,0.0019230769230769232,-0.0160232786847639,0.48846153846153845,260
amount_ratio_10_60,2024,0.11068702290076336,0.11069869611000584,0.5687022900763359,262
amount_ratio_10_60,2025,0.07421875,0.08399642716622514,0.5546875,256
amount_ratio_5_20,2022,0.0020325203252032522,0.008600920752726162,0.483739837398374,246
amount_ratio_5_20,2023,0.05,0.07612125050234278,0.5384615384615384,260
amount_ratio_5_20,2024,0.030534351145038167,0.05770788579809125,0.4961832061068702,262
amount_ratio_5_20,2025,0.099609375,0.12478099295796538,0.5703125,256
amount_shock_count_20,2022,-0.18842088756279432,-0.1868465356462114,0.2895927601809955,221
amount_shock_count_20,2023,-0.04859545801587128,-0.03375257326276803,0.3861788617886179,246
amount_shock_count_20,2024,0.11927514668076905,0.11194812752301819,0.4588744588744589,231
amount_shock_count_20,2025,0.04153286470981587,0.05921651797410673,0.43043478260869567,230
amount_shock_count_60,2022,-0.11430543250936737,-0.08109585935815292,0.3853211009174312,218
amount_shock_count_60,2023,0.2551182483553829,0.2840272567664172,0.627906976744186,258
amount_shock_count_60,2024,0.14067330710133974,0.14724224501076943,0.549618320610687,262
amount_shock_count_60,2025,0.14791416173353297,0.1585816453320411,0.578125,256
amount_zscore_20,2022,-0.004032258064516129,0.003986880880864274,0.5,248
amount_zscore_20,2023,0.03076923076923077,0.061829837720863895,0.5153846153846153,260
amount_zscore_20,2024,0.022900763358778626,0.049110356831877436,0.5190839694656488,262
amount_zscore_20,2025,0.01953125,-0.016206148720552576,0.515625,256
amount_zscore_60,2022,-0.011312217194570135,-0.0011866314723614675,0.502262443438914,221
amount_zscore_60,2023,0.051923076923076926,0.0704908873981647,0.5384615384615384,260
amount_zscore_60,2024,0.011450381679389313,0.04330121743132077,0.5114503816793893,262
amount_zscore_60,2025,-0.0078125,-0.012313434793885625,0.50390625,256
amplitude,2022,-0.003861003861003861,0.00740698861126344,0.5135135135135135,259
amplitude,2023,0.05384615384615385,0.0713225938237054,0.5307692307692308,260
amplitude,2024,0.0057251908396946565,0.008218369031245381,0.5076335877862596,262
amplitude,2025,-0.078125,-0.050140414479406314,0.43359375,256
amplitude_mean_10,2022,-0.03968253968253968,-0.02353057759188304,0.5,252
amplitude_mean_10,2023,0.1519230769230769,0.1665351745846045,0.5961538461538461,260
amplitude_mean_10,2024,-0.05725190839694656,-0.08843764105023236,0.45038167938931295,262
amplitude_mean_10,2025,0.009765625,-0.022477669990412903,0.51171875,256
amplitude_mean_20,2022,0.02834008097165992,0.052959213035129044,0.5182186234817814,247
amplitude_mean_20,2023,0.10192307692307692,0.11664740073380056,0.5884615384615385,260
amplitude_mean_20,2024,-0.07442748091603053,-0.10011232865866496,0.45038167938931295,262
amplitude_mean_20,2025,-0.060546875,-0.07546539471166377,0.46875,256
amplitude_mean_5,2022,0.046875,0.0658073007717968,0.53515625,256
amplitude_mean_5,2023,0.175,0.2031410394255827,0.6153846153846154,260
amplitude_mean_5,2024,-0.013358778625954198,-0.03556531604632234,0.4770992366412214,262
amplitude_mean_5,2025,0.009765625,-0.0004044821545434145,0.51953125,256
amplitude_mean_60,2022,0.004545454545454545,0.005332876456965327,0.5,220
amplitude_mean_60,2023,0.015384615384615385,-0.0013722319345299597,0.5115384615384615,260
amplitude_mean_60,2024,-0.17557251908396945,-0.20244393203176386,0.36259541984732824,262
amplitude_mean_60,2025,-0.064453125,-0.07704502032280122,0.4375,256
amplitude_zscore_20,2022,0.022267206477732792,0.03699774786267478,0.5344129554655871,247
amplitude_zscore_20,2023,0.051923076923076926,0.06285445817592,0.5384615384615384,260
amplitude_zscore_20,2024,-0.003816793893129771,0.002496296195953886,0.4961832061068702,262
amplitude_zscore_20,2025,-0.07421875,-0.028827727601099376,0.44140625,256
amplitude_zscore_60,2022,0.006818181818181818,0.022315962759587266,0.5227272727272727,220
amplitude_zscore_60,2023,0.07115384615384615,0.07636583632802865,0.5423076923076923,260
amplitude_zscore_60,2024,0.003816793893129771,0.008846697564909448,0.5076335877862596,262
amplitude_zscore_60,2025,-0.068359375,-0.04808743298346082,0.4453125,256
atr_contraction_20_60,2022,-0.00904977375565611,-0.011735521770336764,0.4796380090497738,221
atr_contraction_20_60,2023,0.15576923076923077,0.1772003434866648,0.6153846153846154,260
atr_contraction_20_60,2024,0.13358778625954199,0.12684567064921626,0.5916030534351145,262
atr_contraction_20_60,2025,0.041015625,0.027980663401957057,0.5234375,256
atr_pct_10,2022,-0.019762845849802372,-0.010477873953092279,0.5059288537549407,253
atr_pct_10,2023,0.1423076923076923,0.14361144248761482,0.5961538461538461,260
atr_pct_10,2024,-0.06679389312977099,-0.06501405426721388,0.44274809160305345,262
atr_pct_10,2025,-0.0390625,-0.08739405353796979,0.4609375,256
atr_pct_20,2022,-0.046370967741935484,-0.04196727501637718,0.47580645161290325,248
atr_pct_20,2023,0.08076923076923077,0.07350940285492416,0.5576923076923077,260
atr_pct_20,2024,-0.08778625954198473,-0.09069519411481539,0.4351145038167939,262
atr_pct_20,2025,-0.16796875,-0.16557451282603433,0.3828125,256
atr_pct_5,2022,0.042801556420233464,0.06989375236992952,0.5214007782101168,257
atr_pct_5,2023,0.18846153846153846,0.20567201892686676,0.6269230769230769,260
atr_pct_5,2024,-0.01717557251908397,-0.032385233346629676,0.48091603053435117,262
atr_pct_5,2025,-0.033203125,-0.030181711903773393,0.4765625,256
atr_pct_60,2022,-0.03619909502262444,-0.050966011018592494,0.4796380090497738,221
atr_pct_60,2023,-0.06153846153846154,-0.12886156593227882,0.4423076923076923,260
atr_pct_60,2024,-0.14694656488549618,-0.16354572436965342,0.4122137404580153,262
atr_pct_60,2025,-0.11328125,-0.13049038814686992,0.421875,256
body_size,2022,0.015384615384615385,0.003931198545041462,0.5269230769230769,260
body_size,2023,0.05576923076923077,0.04768536770657285,0.5384615384615384,260
body_size,2024,-0.015267175572519083,-0.0206026414305035,0.4847328244274809,262
body_size,2025,-0.052734375,-0.023033892106046564,0.46484375,256
bollinger_breakout_count_20,2022,0.0049261083743842365,0.013717641592648122,0.3694581280788177,203
bollinger_breakout_count_20,2023,-0.027707102278503322,-0.0186085529557869,0.42231075697211157,251
bollinger_breakout_count_20,2024,0.0779142444029657,0.08938181076936112,0.3920704845814978,227
bollinger_breakout_count_20,2025,0.10709905389053546,0.09753885225968507,0.4605263157894737,228
bollinger_breakout_count_60,2022,-0.09548230193783841,-0.06790109627538793,0.3741496598639456,147
bollinger_breakout_count_60,2023,0.22218441997088895,0.25581207548757534,0.6153846153846154,260
bollinger_breakout_count_60,2024,0.1605426634598896,0.16801361340573423,0.5725190839694656,262
bollinger_breakout_count_60,2025,0.055593948467065925,0.01178888554401572,0.48046875,256
bollinger_width_20,2022,-0.036290322580645164,-0.036985899491965235,0.49193548387096775,248
bollinger_width_20,2023,0.032692307692307694,0.05096203953080524,0.5269230769230769,260
bollinger_width_20,2024,-0.10687022900763359,-0.09789825149738919,0.42748091603053434,262
bollinger_width_20,2025,-0.025390625,-0.04375589692252394,0.46484375,256
bollinger_width_60,2022,-0.006787330316742082,-0.02247997804570726,0.4751131221719457,221
bollinger_width_60,2023,-0.13846153846153847,-0.15194770588154946,0.4,260
bollinger_width_60,2024,-0.11068702290076336,-0.10841443392697041,0.4198473282442748,262
bollinger_width_60,2025,-0.087890625,-0.08803350581859232,0.43359375,256
bollinger_zscore_20,2022,0.04435483870967742,0.03423905594315041,0.532258064516129,248
bollinger_zscore_20,2023,-0.0038461538461538464,0.022283636748828467,0.5269230769230769,260
bollinger_zscore_20,2024,-0.013358778625954198,-0.008661498549207745,0.48091603053435117,262
bollinger_zscore_20,2025,0.17578125,0.18247534220694325,0.59375,256
bollinger_zscore_60,2022,0.0746606334841629,0.05206850759117334,0.579185520361991,221
bollinger_zscore_60,2023,0.046153846153846156,0.09626663314797346,0.5538461538461539,260
bollinger_zscore_60,2024,0.0648854961832061,0.05501356641200048,0.5267175572519084,262
bollinger_zscore_60,2025,0.16796875,0.14634325861384395,0.61328125,256
breakdown_low_120,2022,-0.0055248618784530384,-0.018449263747747427,0.5082872928176796,181
breakdown_low_120,2023,0.14615384615384616,0.15968113785239937,0.6076923076923076,260
breakdown_low_120,2024,0.0916030534351145,0.07589107000353085,0.549618320610687,262
breakdown_low_120,2025,0.166015625,0.16123438933868353,0.625,256
breakdown_low_20,2022,0.05040322580645161,0.04971281270229175,0.5282258064516129,248
breakdown_low_20,2023,0.019230769230769232,0.025073967438830978,0.5192307692307693,260
breakdown_low_20,2024,0.05152671755725191,0.01858287810647098,0.5343511450381679,262
breakdown_low_20,2025,0.173828125,0.1828241854030748,0.61328125,256
breakdown_low_240,2022,0.0594059405940594,0.07275936789406641,0.5742574257425742,101
breakdown_low_240,2023,0.2230769230769231,0.23641652252556697,0.6538461538461539,260
breakdown_low_240,2024,0.022900763358778626,0.017708258957108577,0.5190839694656488,262
breakdown_low_240,2025,0.142578125,0.17224797520378127,0.60546875,256
breakdown_low_40,2022,0.14468085106382977,0.10223197887446252,0.6,235
breakdown_low_40,2023,-0.04807692307692308,-0.019026688964241326,0.4846153846153846,260
breakdown_low_40,2024,0.10305343511450382,0.05699452759392837,0.5534351145038168,262
breakdown_low_40,2025,0.119140625,0.12430733367320806,0.5859375,256
breakdown_low_60,2022,0.0746606334841629,0.06294153182106489,0.5565610859728507,221
breakdown_low_60,2023,0.07307692307692308,0.08242506564116579,0.5961538461538461,260
breakdown_low_60,2024,0.1049618320610687,0.08142422815961203,0.5610687022900763,262
breakdown_low_60,2025,0.10546875,0.11466866155703546,0.58203125,256
breakout_high_120,2022,-0.11878453038674033,-0.0832557679912511,0.430939226519337,181
breakout_high_120,2023,0.1,0.19299653893143784,0.5846153846153846,260
breakout_high_120,2024,0.061068702290076333,0.04677360515788453,0.5343511450381679,262
breakout_high_120,2025,0.125,0.15177605526821716,0.6015625,256
breakout_high_20,2022,0.0625,0.07746080718845935,0.5282258064516129,248
breakout_high_20,2023,-0.057692307692307696,-0.018815854232560925,0.46923076923076923,260
breakout_high_20,2024,0.08015267175572519,0.08427110047604192,0.5343511450381679,262
breakout_high_20,2025,0.142578125,0.18901972390272323,0.5859375,256
breakout_high_240,2022,0.0049504950495049506,0.023134361851277322,0.5445544554455446,101
breakout_high_240,2023,0.09230769230769231,0.2152118631570216,0.573076923076923,260
breakout_high_240,2024,0.08206106870229007,0.04125389573070976,0.5458015267175572,262
breakout_high_240,2025,0.134765625,0.16247626939773702,0.61328125,256
breakout_high_40,2022,0.1,0.09829502076772267,0.5787234042553191,235
breakout_high_40,2023,0.03076923076923077,0.09753591818671473,0.5384615384615384,260
breakout_high_40,2024,0.10305343511450382,0.11576747742679355,0.5534351145038168,262
breakout_high_40,2025,0.099609375,0.12230208510291453,0.578125,256
breakout_high_60,2022,-0.01809954751131222,0.017270605848401933,0.49321266968325794,221
breakout_high_60,2023,0.07307692307692308,0.13435320966125058,0.5692307692307692,260
breakout_high_60,2024,0.10687022900763359,0.11219614695876365,0.5572519083969466,262
breakout_high_60,2025,0.08203125,0.08795998180165,0.5625,256
cci_14,2022,0.02066115702479339,-0.008532774624614176,0.512396694214876,242
cci_14,2023,-0.009615384615384616,0.00897530625916194,0.5,260
cci_14,2024,-0.02480916030534351,-0.028209097479341704,0.4732824427480916,262
