cohort_level,cohort_key,horizon_days,sample_count,mean_return,median_return,positive_rate,mean_excess_return_proxy,return_std,t_stat,avg_source_reliability,avg_entity_link_confidence,evidence_status,can_enter_trusted_model,reason
event_type,commodity_shock,1,6,0.008509656189367424,0.006785033215167158,0.5,-0.00405964018490892,0.023183007304378646,0.8991204323405427,0.39999999999999997,0.8900000000000001,data_insufficient,False,"sample_count=6, minimum=20"
event_type,public_opinion_risk,1,3,0.013983294356990713,0.008793079389241676,0.6666666666666666,0.007521491918151671,0.01955070833316122,1.2388183522956229,0.4000000000000001,1.0,data_insufficient,False,"sample_count=3, minimum=20"
event_type,order_contract,1,2,0.01959675748108164,0.01959675748108164,0.5,0.009961621358699288,0.028020351015478645,0.9890668461994875,0.4,1.0,data_insufficient,False,"sample_count=2, minimum=20"
event_type_reliability,commodity_shock|low,1,6,0.008509656189367424,0.006785033215167158,0.5,-0.00405964018490892,0.023183007304378646,0.8991204323405427,0.39999999999999997,0.8900000000000001,data_insufficient,False,"sample_count=6, minimum=20"
event_type_reliability,public_opinion_risk|low,1,3,0.013983294356990713,0.008793079389241676,0.6666666666666666,0.007521491918151671,0.01955070833316122,1.2388183522956229,0.4000000000000001,1.0,data_insufficient,False,"sample_count=3, minimum=20"
event_type_reliability,order_contract|low,1,2,0.01959675748108164,0.01959675748108164,0.5,0.009961621358699288,0.028020351015478645,0.9890668461994875,0.4,1.0,data_insufficient,False,"sample_count=2, minimum=20"
event_type_sentiment,commodity_shock|positive,1,6,0.008509656189367424,0.006785033215167158,0.5,-0.00405964018490892,0.023183007304378646,0.8991204323405427,0.39999999999999997,0.8900000000000001,data_insufficient,False,"sample_count=6, minimum=20"
event_type_sentiment,public_opinion_risk|negative,1,3,0.013983294356990713,0.008793079389241676,0.6666666666666666,0.007521491918151671,0.01955070833316122,1.2388183522956229,0.4000000000000001,1.0,data_insufficient,False,"sample_count=3, minimum=20"
event_type_sentiment,order_contract|positive,1,2,0.01959675748108164,0.01959675748108164,0.5,0.009961621358699288,0.028020351015478645,0.9890668461994875,0.4,1.0,data_insufficient,False,"sample_count=2, minimum=20"
sentiment,positive,1,8,0.011281431512295978,0.011741548863029638,0.5,-0.0005543247990068686,0.022856024313653064,1.3960742453482466,0.4,0.9175,data_insufficient,False,"sample_count=8, minimum=20"
sentiment,negative,1,3,0.013983294356990713,0.008793079389241676,0.6666666666666666,0.007521491918151671,0.01955070833316122,1.2388183522956229,0.4000000000000001,1.0,data_insufficient,False,"sample_count=3, minimum=20"
source_category,sample_demo,1,11,0.012018303197212725,0.008793079389241676,0.5454545454545454,0.001648170669309097,0.021064597633126184,1.8922840595444907,0.4,0.94,data_insufficient,False,"sample_count=11, minimum=20"
event_type,public_opinion_risk,5,2,0.029143416285256074,0.029143416285256074,0.5,0.008400750177109485,0.0737121450655182,0.5591346517980256,0.4,1.0,data_insufficient,False,"sample_count=2, minimum=20"
event_type_reliability,public_opinion_risk|low,5,2,0.029143416285256074,0.029143416285256074,0.5,0.008400750177109485,0.0737121450655182,0.5591346517980256,0.4,1.0,data_insufficient,False,"sample_count=2, minimum=20"
event_type_sentiment,public_opinion_risk|negative,5,2,0.029143416285256074,0.029143416285256074,0.5,0.008400750177109485,0.0737121450655182,0.5591346517980256,0.4,1.0,data_insufficient,False,"sample_count=2, minimum=20"
sentiment,negative,5,2,0.029143416285256074,0.029143416285256074,0.5,0.008400750177109485,0.0737121450655182,0.5591346517980256,0.4,1.0,data_insufficient,False,"sample_count=2, minimum=20"
source_category,sample_demo,5,2,0.029143416285256074,0.029143416285256074,0.5,0.008400750177109485,0.0737121450655182,0.5591346517980256,0.4,1.0,data_insufficient,False,"sample_count=2, minimum=20"
