date,symbol,event_count_3d,event_count_20d,positive_event_count,negative_event_count,event_risk_count,event_impact_score,event_weighted_impact_score,event_confidence_mean,event_reliability_mean,event_high_reliability_count,event_entity_link_confidence_mean,latest_event_source_reliability,latest_entity_link_confidence,latest_event_type,latest_event_title,latest_event_source,latest_event_source_category,latest_entity_link_method,latest_entity_link_keywords
2026-01-06,000002,1,1,0,0,0,0.0,0.0,0.35,0.95,1,1.0,0.95,1.0,general_news,关于按照《香港上市规则》公布2025年12月证券变动月报表的公告,cninfo_disclosure,official_disclosure,explicit_symbol,000002
2026-01-07,000002,1,1,0,0,0,0.0,0.0,0.35,0.95,1,1.0,0.95,1.0,general_news,关于按照《香港上市规则》公布2025年12月证券变动月报表的公告,cninfo_disclosure,official_disclosure,explicit_symbol,000002
2026-01-08,000002,1,1,0,0,0,0.0,0.0,0.35,0.95,1,1.0,0.95,1.0,general_news,关于按照《香港上市规则》公布2025年12月证券变动月报表的公告,cninfo_disclosure,official_disclosure,explicit_symbol,000002
2026-01-09,000002,2,2,0,0,0,0.0,0.0,0.35,0.9500000000000001,2,1.0,0.95,1.0,general_news,关于董事、执行副总裁辞任的公告,cninfo_disclosure,official_disclosure,explicit_symbol,000002
2026-01-12,000002,1,2,0,0,0,0.0,0.0,0.35,0.95,2,1.0,0.95,1.0,general_news,关于董事、执行副总裁辞任的公告,cninfo_disclosure,official_disclosure,explicit_symbol,000002
2026-01-13,000002,2,3,0,0,0,0.0,0.0,0.3499999999999999,0.9499999999999998,3,1.0,0.95,1.0,general_news,关于召开万科企业股份有限公司2021年面向合格投资者公开发行住房租赁专项公司债券（第一期）（品种二）2026年第一次债券持有人会议的补充通知,cninfo_disclosure,official_disclosure,explicit_symbol,000002
2026-01-14,000002,2,3,0,0,0,0.0,0.0,0.3499999999999999,0.9500000000000001,3,1.0,0.95,1.0,general_news,关于召开万科企业股份有限公司2021年面向合格投资者公开发行住房租赁专项公司债券（第一期）（品种二）2026年第一次债券持有人会议的补充通知,cninfo_disclosure,official_disclosure,explicit_symbol,000002
2026-01-15,000002,2,4,0,0,0,0.0,0.0,0.35,0.95,4,1.0,0.95,1.0,general_news,关于召开万科企业股份有限公司2021年面向合格投资者公开发行住房租赁专项公司债券（第一期）（品种二）2026年第一次债券持有人会议的补充通知（二）,cninfo_disclosure,official_disclosure,explicit_symbol,000002
2026-01-16,000002,2,4,0,0,0,0.0,0.0,0.35,0.9499999999999997,4,1.0,0.95,1.0,general_news,关于召开万科企业股份有限公司2021年面向合格投资者公开发行住房租赁专项公司债券（第一期）（品种二）2026年第一次债券持有人会议的补充通知（二）,cninfo_disclosure,official_disclosure,explicit_symbol,000002
2026-01-19,000002,4,7,0,0,0,0.0,0.0,0.35000000000000003,0.9500000000000001,7,1.0,0.95,1.0,general_news,第二十届董事会第二十九次会议决议公告,cninfo_disclosure,official_disclosure,explicit_symbol,000002
2026-01-20,000002,5,8,0,0,0,0.0,0.0,0.35,0.95,8,1.0,0.95,1.0,general_news,万科企业股份有限公司2021年面向合格投资者公开发行住房租赁专项公司债券（第一期）（品种二）回售结果公告,cninfo_disclosure,official_disclosure,explicit_symbol,000002
2026-01-21,000002,8,12,0,0,0,0.0,0.0,0.35000000000000003,0.9500000000000002,12,1.0,0.95,1.0,general_news,关于中信证券披露《关于万科企业股份有限公司2021年面向合格投资者公开发行住房租赁专项公司债券（第一期）（品种二）2026年第一次债券持有人会议决议的公告》的提示性公告,cninfo_disclosure,official_disclosure,explicit_symbol,000002
2026-01-22,000002,8,12,0,0,0,0.0,0.0,0.35000000000000003,0.95,12,1.0,0.95,1.0,general_news,关于中信证券披露《关于万科企业股份有限公司2021年面向合格投资者公开发行住房租赁专项公司债券（第一期）（品种二）2026年第一次债券持有人会议决议的公告》的提示性公告,cninfo_disclosure,official_disclosure,explicit_symbol,000002
2026-01-23,000002,5,12,0,0,0,0.0,0.0,0.35000000000000003,0.9500000000000001,12,1.0,0.95,1.0,general_news,关于中信证券披露《关于万科企业股份有限公司2021年面向合格投资者公开发行住房租赁专项公司债券（第一期）（品种二）2026年第一次债券持有人会议决议的公告》的提示性公告,cninfo_disclosure,official_disclosure,explicit_symbol,000002
2026-01-26,000002,6,14,0,0,0,0.0,0.0,0.35,0.9500000000000002,14,1.0,0.95,1.0,general_news,关于担保进展情况的公告,cninfo_disclosure,official_disclosure,explicit_symbol,000002
2026-01-27,000002,2,14,0,0,0,0.0,0.0,0.35,0.9500000000000003,14,1.0,0.95,1.0,general_news,关于担保进展情况的公告,cninfo_disclosure,official_disclosure,explicit_symbol,000002
2026-01-28,000002,8,20,0,0,0,0.0,0.0,0.3499999999999999,0.9500000000000001,20,1.0,0.95,1.0,general_news,关于在交易商协会披露《关于2022年度第四期中期票据2026年第一次持有人会议的答复公告》的提示性公告,cninfo_disclosure,official_disclosure,explicit_symbol,000002
2026-01-29,000002,9,21,0,0,0,0.0,0.0,0.3499999999999999,0.9500000000000002,21,1.0,0.95,1.0,general_news,万科企业股份有限公司2021年面向合格投资者公开发行住房租赁专项公司债券（第一期）（品种二）分期兑付公告,cninfo_disclosure,official_disclosure,explicit_symbol,000002
2026-01-30,000002,9,23,0,0,0,0.0,0.0,0.34999999999999987,0.9500000000000004,23,1.0,0.95,1.0,general_news,万科企业股份有限公司关于公司债券停牌的公告,cninfo_disclosure,official_disclosure,explicit_symbol,000002
2026-02-02,000002,10,24,0,0,0,0.0,0.0,0.3499999999999999,0.95,24,1.0,0.95,1.0,general_news,2025年度业绩预告,cninfo_disclosure,official_disclosure,explicit_symbol,000002
2026-02-03,000002,4,24,0,0,0,0.0,0.0,0.3499999999999999,0.9499999999999998,24,1.0,0.95,1.0,general_news,2025年度业绩预告,cninfo_disclosure,official_disclosure,explicit_symbol,000002
2026-02-04,000002,3,24,0,0,0,0.0,0.0,0.3499999999999999,0.9499999999999998,24,1.0,0.95,1.0,general_news,2025年度业绩预告,cninfo_disclosure,official_disclosure,explicit_symbol,000002
2026-02-05,000002,1,24,0,0,0,0.0,0.0,0.3499999999999999,0.9499999999999998,24,1.0,0.95,1.0,general_news,2025年度业绩预告,cninfo_disclosure,official_disclosure,explicit_symbol,000002
2026-02-06,000002,1,24,0,0,0,0.0,0.0,0.3499999999999999,0.9499999999999998,24,1.0,0.95,1.0,general_news,关于按照《香港上市规则》公布2026年1月证券变动月报表的公告,cninfo_disclosure,official_disclosure,explicit_symbol,000002
2026-02-09,000002,1,23,0,0,0,0.0,0.0,0.34999999999999987,0.9499999999999996,23,1.0,0.95,1.0,general_news,关于按照《香港上市规则》公布2026年1月证券变动月报表的公告,cninfo_disclosure,official_disclosure,explicit_symbol,000002
2026-02-10,000002,1,23,0,0,0,0.0,0.0,0.34999999999999987,0.9500000000000001,23,1.0,0.95,1.0,general_news,关于按照《香港上市规则》公布2026年1月证券变动月报表的公告,cninfo_disclosure,official_disclosure,explicit_symbol,000002
2026-02-11,000002,1,23,0,0,0,0.0,0.0,0.34999999999999987,0.9499999999999997,23,1.0,0.95,1.0,general_news,关于按照《香港上市规则》公布2026年1月证券变动月报表的公告,cninfo_disclosure,official_disclosure,explicit_symbol,000002
2026-02-12,000002,0,23,0,0,0,0.0,0.0,0.34999999999999987,0.95,23,1.0,0.95,1.0,general_news,关于按照《香港上市规则》公布2026年1月证券变动月报表的公告,cninfo_disclosure,official_disclosure,explicit_symbol,000002
2026-02-13,000002,0,22,0,0,0,0.0,0.0,0.34999999999999987,0.9499999999999997,22,1.0,0.95,1.0,general_news,关于按照《香港上市规则》公布2026年1月证券变动月报表的公告,cninfo_disclosure,official_disclosure,explicit_symbol,000002
2026-02-16,000002,0,21,0,0,0,0.0,0.0,0.3499999999999999,0.95,21,1.0,0.95,1.0,general_news,关于按照《香港上市规则》公布2026年1月证券变动月报表的公告,cninfo_disclosure,official_disclosure,explicit_symbol,000002
2026-02-17,000002,0,18,0,0,0,0.0,0.0,0.3499999999999999,0.9499999999999996,18,1.0,0.95,1.0,general_news,关于按照《香港上市规则》公布2026年1月证券变动月报表的公告,cninfo_disclosure,official_disclosure,explicit_symbol,000002
2026-02-18,000002,0,18,0,0,0,0.0,0.0,0.3499999999999999,0.9499999999999997,18,1.0,0.95,1.0,general_news,关于按照《香港上市规则》公布2026年1月证券变动月报表的公告,cninfo_disclosure,official_disclosure,explicit_symbol,000002
