theme,theme_group,rows,unique_symbols,required_min_symbols,coverage_ratio,coverage_status,can_enter_training_pool,can_support_trusted_evidence,symbol_sample,notes
rare_earth_magnetic_materials,professional_hot,8,8,8,1.0,ready,False,False,600111;000831;600392;000970;002056;300224;002600;300748,coverage_ok_for_research_pool;prediction_still_requires_oos_validation
advanced_packaging_chiplet_pcb,professional_hot,9,9,8,1.125,ready,False,False,600584;002156;002463;002916;002938;300476;603228;688183,coverage_ok_for_research_pool;prediction_still_requires_oos_validation
medical_device_ivd_imaging,professional_hot,9,9,8,1.125,ready,False,False,300760;688271;688617;688029;300482;688575;300003;300595,coverage_ok_for_research_pool;prediction_still_requires_oos_validation
commercial_space_satellite_internet,professional_hot,10,10,8,1.25,ready,False,False,600118;688066;688568;002151;300627;002465;300045;688239,coverage_ok_for_research_pool;prediction_still_requires_oos_validation
cpo_optical_module_datacenter,professional_hot,10,10,8,1.25,ready,False,False,300308;300502;300394;300570;002281;688498;600522;600487,coverage_ok_for_research_pool;prediction_still_requires_oos_validation
humanoid_robot_core_parts,professional_hot,10,10,8,1.25,ready,False,False,688017;002747;300124;002472;603662;300660;301368;002050,coverage_ok_for_research_pool;prediction_still_requires_oos_validation
industrial_mother_machine_laser,professional_hot,10,10,8,1.25,ready,False,False,300161;688698;000988;002008;300607;603283;688305;601100,coverage_ok_for_research_pool;prediction_still_requires_oos_validation
shipbuilding_ocean_shipping,professional_hot,10,10,8,1.25,ready,False,False,600150;601989;600482;601919;601872;600026;600428;600018,coverage_ok_for_research_pool;prediction_still_requires_oos_validation
uhv_smart_grid_power_equipment,professional_hot,10,10,8,1.25,ready,False,False,600406;601179;600312;002028;600089;601877;300001;300491,coverage_ok_for_research_pool;prediction_still_requires_oos_validation
cxo_biotech_innovative_drug,professional_hot,11,11,8,1.375,ready,False,False,603259;300759;300347;002821;300363;300725;600276;688235,coverage_ok_for_research_pool;prediction_still_requires_oos_validation
data_element_fintech_ai_app,professional_hot,11,11,8,1.375,ready,False,False,300033;300059;300418;300364;002230;688111;600845;300212,coverage_ok_for_research_pool;prediction_still_requires_oos_validation
solid_state_battery_materials,professional_hot,11,11,8,1.375,ready,False,False,300750;688567;300073;002709;603659;688116;688388;300390,coverage_ok_for_research_pool;prediction_still_requires_oos_validation
central_soe_high_dividend,professional_hot,12,12,8,1.5,ready,False,False,600900;601088;600028;601857;600938;600941;601728;601816,coverage_ok_for_research_pool;prediction_still_requires_oos_validation
semiconductor_equipment_materials,professional_hot,14,14,8,1.75,ready,False,False,002371;688012;688072;688120;688037;688019;688200;300604,coverage_ok_for_research_pool;prediction_still_requires_oos_validation
