date,symbol,open,high,low,close,volume,amount,turnover
2026-02-05,000630,7.37275928,7.48191184,7.03537864,7.13460824,739374541,5379284883.61,6.6353
2026-02-06,000630,6.87661128,7.22391488,6.73768984,7.05522456,641246870,4547910535.68,5.7547
2026-02-09,000630,7.23383784,7.25368376,7.10483936,7.15445416,434764274,3137017334.67,3.9017
2026-02-10,000630,7.16437712,7.2437608,7.02545568,7.05522456,405035059,2905218339.85,3.6349
2026-02-11,000630,7.00560976,7.23383784,6.98576384,7.12468528,436415929,3139994787.32,3.9165
2026-02-12,000630,7.12468528,7.33306744,7.10483936,7.16437712,496442013,3617370491.61,4.4552
2026-02-13,000630,7.05522456,7.1445312,6.97584088,6.9956868,358331107,2546070120.57,3.2157
2026-02-24,000630,7.194146,7.62083328,7.15445416,7.45214296,658843348,4923230912.86,5.9126
2026-02-25,000630,7.46206592,7.7895236,7.36283632,7.67044808,668368644,5144863523.1,5.9981
2026-02-26,000630,7.70021696,7.72998584,7.48191184,7.53152664,462453887,3531777214.83,4.1502
2026-02-27,000630,7.47198888,7.87883024,7.45214296,7.86890728,662465452,5159622421.34,5.9451
2026-03-02,000630,8.04752056,8.61312928,7.690294,8.35513232,843478192,6788948837.31,7.5696
2026-03-03,000630,8.07728944,8.14675016,7.66052512,7.70021696,656308967,5242868583.25,5.8899
2026-03-04,000630,7.44222,7.85898432,7.40252816,7.68037104,386902807,2989791056.92,3.4722
2026-03-05,000630,7.76967768,7.79944656,7.50175776,7.60098736,335312422,2575565032.24,3.0092
2026-03-06,000630,7.46206592,7.57121848,7.31322152,7.41245112,321884546,2409647147.93,2.8887
2026-03-09,000630,7.194146,7.27352968,7.0453016,7.22391488,353226076,2545317409.23,3.1699
2026-03-10,000630,7.3429904,7.37275928,7.22391488,7.26360672,244666404,1797136628.06,2.1957
2026-03-11,000630,7.31322152,7.33306744,7.11476232,7.16437712,277108361,2008015768.94,2.4868
2026-03-12,000630,7.10483936,7.22391488,7.0453016,7.0949164,257122724,1846031900.93,2.3075
2026-03-13,000630,7.0453016,7.1445312,6.87661128,6.8964572,352344650,2485256045.08,3.162
2026-03-16,000630,6.78730464,6.80715056,6.41023216,6.5987684,486939126,3230490312.47,4.3699
2026-03-17,000630,6.62853728,6.72776688,6.52930768,6.53923064,266608573,1783733830.44,2.3926
2026-03-18,000630,6.50946176,6.56899952,6.36061736,6.449924,287039962,1862168469.89,2.576
2026-03-19,000630,6.20185,6.29115664,5.98354488,6.03315968,429192723,2645550901.53,3.8517
2026-03-20,000630,6.12246632,6.14231224,5.89423824,5.91408416,315289661,1915458838.86,2.8295
2026-03-23,000630,5.76523976,5.84462344,5.49731984,5.54693464,455900140,2604271902.2,4.0914
2026-03-24,000630,5.72554792,5.76523976,5.54693464,5.76523976,410396491,2348590606.55,3.683
2026-03-25,000630,5.9041612,5.98354488,5.83470048,5.86446936,394339299,2347297282.27,3.5389
2026-03-26,000630,5.8545464,5.9041612,5.69577904,5.73547088,253466451,1480576533.94,2.2747
2026-03-27,000630,5.64616424,5.8545464,5.62631832,5.81485456,227654227,1324770364.05,2.043
2026-03-30,000630,5.77516272,5.87439232,5.73547088,5.87439232,228743942,1342260754.26,2.0528
2026-03-31,000630,5.89423824,5.98354488,5.76523976,5.76523976,255858174,1511666379.0,2.2961
2026-04-01,000630,5.96369896,6.02323672,5.84462344,5.93393008,257598373,1538160651.39,2.3117
2026-04-02,000630,5.92400712,5.92400712,5.73547088,5.78508568,192307289,1128622422.21,1.7258
2026-04-03,000630,5.8049316,5.82477752,5.68585608,5.705702,120413801,694484327.96,1.0806
2026-04-07,000630,5.71562496,5.8049316,5.67593312,5.77516272,143333819,831175919.12,1.2863
2026-04-08,000630,5.98354488,6.1522352,5.96369896,6.14231224,371874215,2273509760.37,3.3373
2026-04-09,000630,6.04308264,6.11254336,6.0033908,6.0530056,239124481,1457317154.78,2.146
2026-04-10,000630,6.11254336,6.1522352,6.03315968,6.04308264,214274836,1312556375.59,1.923
2026-04-13,000630,6.01331376,6.20185,6.0033908,6.18200408,259044777,1597118980.75,2.3247
2026-04-14,000630,6.3506944,6.4003092,6.21177296,6.29115664,283310003,1797974273.86,2.5425
2026-04-15,000630,6.43007808,6.48961584,6.17208112,6.22169592,321599309,2049989859.84,2.8861
2026-04-16,000630,6.20185,6.28123368,6.17208112,6.27131072,208931300,1311475871.09,1.875
2026-04-17,000630,6.26138776,6.46976992,6.26138776,6.38046328,300368635,1931076777.28,2.6956
2026-04-20,000630,6.4003092,6.58884544,6.4003092,6.46976992,326197027,2127307207.53,2.9274
2026-04-21,000630,6.42015512,6.44000104,6.27131072,6.4003092,217002821,1388122098.25,1.9474
2026-04-22,000630,6.3506944,6.48961584,6.32092552,6.47969288,220975579,1434765214.52,1.9831
2026-04-23,000630,6.5491536,6.61861432,6.22169592,6.2514648,303031930,1938495524.5,2.7195
2026-04-24,000630,6.18200408,6.29115664,6.1026204,6.24154184,213706082,1330524494.84,1.9179
2026-04-27,000630,6.21177296,6.31100256,6.19192704,6.24154184,168347364,1060785346.76,1.5108
2026-04-28,000630,6.20185,6.23161888,6.0530056,6.19192704,205852807,1274703576.88,1.8474
2026-04-29,000630,5.92400712,6.3010796,5.89423824,6.28123368,292187481,1814336789.54,2.6222
2026-04-30,000630,6.24154184,6.28123368,6.0530056,6.1026204,263964473,1629057970.43,2.3689
2026-05-06,000630,6.1522352,6.45984696,6.1026204,6.449924,429694621,2730591288.18,3.8562
2026-05-07,000630,6.53923064,6.61861432,6.4003092,6.4995388,346937513,2270526289.56,3.1135
2026-05-08,000630,6.44000104,6.66822912,6.41023216,6.61861432,380365437,2509362963.22,3.4135
2026-05-11,000630,6.61861432,6.8964572,6.61861432,6.82699648,491118502,3347422876.93,4.4074
2026-05-12,000630,6.946072,7.01553272,6.76745872,6.83691944,422609881,2928623426.91,3.7926
2026-05-13,000630,6.97584088,7.1445312,6.87661128,6.92622608,393504159,2767225940.4,3.5314
2026-05-14,000630,6.85676536,6.946072,6.63846024,6.63846024,363824711,2479079755.31,3.2651
2026-05-15,000630,6.58884544,6.58884544,6.1522352,6.17208112,434634864,2760060253.21,3.9005
2026-05-18,000630,6.0033908,6.06292856,5.91408416,6.03315968,285470285,1724902877.91,2.5619
2026-05-19,000630,6.03315968,6.04308264,5.86446936,5.97362192,240544011,1438110922.67,2.1587
2026-05-20,000630,5.9041612,5.93393008,5.72554792,5.87439232,252171978,1479688653.75,2.2631
