factor_id,feature_order
momentum_60,1
momentum_120,2
momentum_240,3
volatility_5,4
volatility_10,5
volatility_20,6
upside_volatility_5,7
upside_volatility_10,8
upside_volatility_20,9
upside_volatility_60,10
max_drawdown_20,11
max_drawdown_60,12
max_drawdown_120,13
ma_bias_240,14
ma_slope_5,15
rsi_6,16
rsi_14,17
rsi_24,18
cci_14,19
cci_20,20
money_flow_index_14,21
money_flow_index_20,22
price_position_40,23
price_position_120,24
breakout_high_40,25
breakdown_low_40,26
breakdown_low_240,27
obv_slope_20,28
obv_slope_60,29
amplitude_mean_10,30
amplitude_mean_20,31
amplitude_mean_60,32
bollinger_breakout_count_20,33
bollinger_breakout_count_60,34
close_position,35
upper_shadow,36
lower_shadow,37
body_size,38
return_skew_20,39
return_skew_60,40
return_kurt_20,41
return_kurt_60,42
amihud_illiquidity_20,43
amihud_illiquidity_60,44
long_upper_shadow_count_60,45
positive_body_ratio_20,46
positive_body_ratio_60,47
return_autocorr_20,48
return_autocorr_60,49
downside_tail_return_20,50
downside_tail_return_60,51
upside_tail_return_20,52
return_abs_mean_20,53
close_above_ma_ratio_20,54
close_above_ma_ratio_60,55
ma_alignment_score,56
ema_alignment_score,57
shrinkage_breakout_60,58
volatility_contraction_20,59
volatility_contraction_60,60
atr_contraction_20_60,61
up_streak,62
down_streak,63
cs_momentum_rank_20,64
cs_momentum_rank_60,65
cs_momentum_rank_120,66
cs_volatility_rank_20,67
