factor,ic_mean,rank_ic_mean,ic_ir,observations
momentum_1,-0.0006795829719680675,-0.0033838870868764777,-0.0020671668927174504,1037
momentum_2,0.0023602915846536758,-0.005007605007605005,0.0071329226262377655,1036
momentum_3,0.008587624549718788,0.0063299663299663305,0.025381668343139426,1035
momentum_5,0.02488541628800874,0.020563818240488134,0.07219229781595918,1033
momentum_10,0.048287351643355236,0.03501945525291829,0.14695112927980053,1028
momentum_20,0.07343278373624053,0.05659343930463772,0.2253194726088289,1018
momentum_40,0.10048521376733029,0.0836096435294832,0.3007531365437884,998
momentum_60,0.08592179833724317,0.07772200532936728,0.2527577108075527,978
momentum_120,0.0654916617873703,0.06469928038555489,0.20388716475695173,918
reversal_1,0.0006795829719680675,0.0033838870868764777,0.0020671668927174504,1037
reversal_2,-0.0023602915846536758,0.005007605007605005,-0.0071329226262377655,1036
reversal_3,-0.008587624549718788,-0.0063299663299663305,-0.025381668343139426,1035
reversal_5,-0.02488541628800874,-0.020563818240488134,-0.07219229781595918,1033
reversal_10,-0.048287351643355236,-0.03501945525291829,-0.14695112927980053,1028
reversal_20,-0.07343278373624053,-0.05659343930463772,-0.2253194726088289,1018
volatility_5,0.007390470546869911,0.007373541996365977,0.022112015018027304,1034
volatility_10,0.012745077167281032,0.009802883200941456,0.037650106618551595,1030
volatility_20,-0.0030608696039476965,-0.006805617147080563,-0.009046384720397345,1025
volatility_40,-0.002195880489513372,-0.007414061564259191,-0.006340681784728926,1012
volatility_60,-0.0025778835513588557,0.006862209267018887,-0.0077167610302224235,998
volatility_120,-0.010847982650363547,0.00017713671158347774,-0.03130160282333063,958
downside_volatility_5,-2.1790933696211872e-05,-0.004650458042623712,-6.34851826697926e-05,1035
downside_volatility_10,-0.01556739484055743,-0.013091144225964788,-0.0460200025640828,1031
downside_volatility_20,-0.04152000054272379,-0.03962431330852384,-0.11966295530569654,1026
downside_volatility_60,-0.06703233234503125,-0.05699639032972365,-0.1896626345645253,999
downside_volatility_120,-0.047422818104906124,-0.026814547982431186,-0.13803648741528293,959
upside_volatility_5,0.01802298829515379,0.015944056614022376,0.053617369871954174,1035
upside_volatility_10,0.023013679990524987,0.026999382770478794,0.07008400046678157,1031
upside_volatility_20,0.02907282004133114,0.037166991552956455,0.0880644691644115,1026
upside_volatility_60,0.04417149370975432,0.056013589346922674,0.13161108250683404,999
max_drawdown_20,0.05637482912754889,0.04052218087305807,0.1727913966562775,1026
max_drawdown_60,0.08131766037726675,0.06423999757333089,0.2308709149400127,999
max_drawdown_120,0.07092670561366077,0.08397004455398614,0.21451310526547024,959
ma_bias_5,0.00902030190370465,0.01068657590396721,0.026660096943575018,1035
ma_bias_10,0.02851668798557878,0.020815330805631478,0.08377845510710322,1031
ma_bias_20,0.059557461186451395,0.052111760883690704,0.1813872238982397,1026
ma_bias_40,0.08601893233627295,0.07290077477639176,0.2618387521205597,1013
ma_bias_60,0.0960838113036424,0.08212454879121545,0.29038613791565815,999
ma_bias_120,0.09280204635539488,0.08220052453629094,0.2760893148124496,959
ma_slope_5,0.04292848448185783,0.0356928508384819,0.1294353737869518,1030
ma_slope_10,0.0709836375375699,0.06116997595939809,0.2230625709237027,1021
ma_slope_20,0.07834257731874489,0.07618531236821494,0.22828502242401358,1006
ma_slope_60,0.05247278490509621,0.04304385710136509,0.15703355914360972,939
price_position_20,0.05088439639189595,0.04062850729517395,0.1523305323232605,1026
price_position_40,0.0815998592181985,0.06568548266475216,0.24655370996816914,1013
price_position_60,0.0929466099843917,0.07512360845694177,0.2790290311125139,999
price_position_120,0.09578054990660399,0.08372989540872751,0.28653247757319894,959
breakout_high_20,0.05494150784007153,0.04726800165396657,0.16407271360207468,1026
breakout_high_40,0.08271655054009756,0.06926321457417212,0.24395975048895996,1013
breakout_high_60,0.09302327868379777,0.07583947583947583,0.26710137114599236,999
breakout_high_120,0.08463482272268186,0.08619458400480298,0.24498844869643163,959
breakdown_low_20,0.05602537086474819,0.040392226357138634,0.16759294211202508,1026
breakdown_low_40,0.07953817986902112,0.068569206377696,0.24606307863841567,1013
breakdown_low_60,0.07659030159087281,0.06783146783146782,0.23475818771785742,999
breakdown_low_120,0.0774255308297211,0.07162132271621323,0.23734217786467102,959
amount_mean_5,0.01961459964685386,0.023569023569023566,0.056886610302664724,1035
amount_mean_10,0.02366726465922304,0.020897628075125643,0.06952710297192448,1031
amount_mean_20,0.033563980352219976,0.016634178037686805,0.09923425200349052,1026
amount_mean_40,0.029511237764055558,0.010787041191779591,0.08709444082336446,1013
amount_mean_60,0.026051303942053766,0.007468074134740798,0.07717810717439463,999
amount_zscore_20,0.0030380227539111818,0.006226002717230786,0.00931358467553188,1026
amount_zscore_60,0.015951232624516955,0.018594351927685264,0.04860282542881384,999
amount_percentile_20,0.004204675077560767,0.009492542997723112,0.012915817425082743,1026
amount_percentile_60,0.014840953684658138,0.016442621884733444,0.04526030794692554,999
turnover_mean_5,0.006447772258439278,0.009316351925047574,0.019444443429550803,1035
turnover_mean_10,-0.007196401082089526,-0.012491549833935868,-0.021299420111759844,1031
turnover_mean_20,0.00035952369292392873,-0.0042294287908322984,0.0010654299222794918,1026
turnover_mean_40,-0.011673859539046347,-0.010966526070178582,-0.035745641630488205,1013
turnover_mean_60,-0.002966044163371344,-0.018824885491552153,-0.009298552390715926,999
turnover_zscore_20,-0.009199631118490129,-0.009817472975367714,-0.028035969521618874,1026
turnover_zscore_60,-0.008151814446859395,-0.010064610064610065,-0.024980121382218706,999
turnover_percentile_20,-0.01399290981166873,-0.009000961902023184,-0.042243665376849676,1026
turnover_percentile_60,-0.009053082857512103,-0.009208826389823255,-0.027666443503800528,999
volume_ratio_5_20,-0.000438513133473268,0.002852746212121212,-0.0013344269314080322,1024
volume_ratio_10_60,-0.002045338905191319,-0.009300209300209295,-0.0059247388988866966,999
amount_ratio_5_20,0.01178753653456796,0.013316761363636364,0.03590106024392311,1024
amount_ratio_10_60,0.034128708594234246,0.023471956805290135,0.0970300415374773,999
intraday_return,-0.0006774758048293314,-0.002837624802942721,-0.002077215826720705,1038
overnight_return,0.007007719991890454,0.010268548552058679,0.020940901548955414,1037
gap_return,0.007007719991890454,0.010268548552058679,0.020940901548955414,1037
amplitude,-0.0021146889971453164,-0.008480172993191318,-0.0064476306961691,1037
close_position,-0.002065779411641705,-0.0007590354411163652,-0.006255761560120447,1038
upper_shadow,-0.004629003647933496,-0.007018158463245166,-0.013805675026093143,1038
lower_shadow,-0.00648914025978837,-0.004811116949845276,-0.019318666748784484,1038
body_size,0.009040381936231467,0.003106206574414669,0.027276482401587712,1038
return_skew_20,-0.008989022986350669,-0.0028259130898427125,-0.027043013919220926,1023
return_skew_60,0.01450098670337777,0.012594886743183337,0.04416658816753452,998
return_kurt_20,-0.027448692906397166,-0.025907165496608316,-0.08301175369409808,1023
return_kurt_60,-0.04591998737362954,-0.0635209813566527,-0.14556818798790008,998
amihud_illiquidity_20,-0.038261442797783644,-0.030314878995230898,-0.11256500218354741,1023
amihud_illiquidity_60,-0.0404886142332504,-0.024776826380032792,-0.11883542002935395,998
limit_up_count_20,0.0,0.0,0.0,0
limit_up_count_60,0.0,0.0,0.0,0
limit_down_count_20,0.0,0.0,0.0,0
limit_down_count_60,0.0,0.0,0.0,0
up_day_ratio_20,0.05871570706115571,0.04852290305880777,0.1836570926982257,1024
up_day_ratio_60,0.08576019799887553,0.07259880545558212,0.25941879471672064,999
down_day_ratio_20,-0.05871570706115571,-0.04852290305880777,-0.1836570926982257,1024
down_day_ratio_60,-0.08576019799887552,-0.07259880545558212,-0.2594187947167207,999
up_streak,0.008762273918826809,0.005949289074871774,0.026568393802122992,1037
down_streak,0.005781189746578785,0.0030632815736360026,0.01729077145623944,1035
new_high_distance_60,0.09302327868379777,0.07583947583947583,0.26710137114599236,999
new_low_distance_60,0.07659030159087281,0.06783146783146782,0.23475818771785742,999
