symbol,rows,start_date,end_date,missing_ratio,duplicate_dates,missing_cells,non_positive_price_rows,high_low_error_rows,amount_error_rows
000001,1043,2022-01-03,2025-12-31,0.0,0,0,0,0,0
600519,1043,2022-01-03,2025-12-31,0.0,0,0,0,0,0
000858,1043,2022-01-03,2025-12-31,0.0,0,0,0,0,0
601318,1043,2022-01-03,2025-12-31,0.0,0,0,0,0,0
600036,1043,2022-01-03,2025-12-31,0.0,0,0,0,0,0
000333,1043,2022-01-03,2025-12-31,0.0,0,0,0,0,0
002594,1043,2022-01-03,2025-12-31,0.0,0,0,0,0,0
600900,1043,2022-01-03,2025-12-31,0.0,0,0,0,0,0
601888,1043,2022-01-03,2025-12-31,0.0,0,0,0,0,0
300750,1043,2022-01-03,2025-12-31,0.0,0,0,0,0,0
