factor,coverage
momentum_1,0.9942473633748802
momentum_2,0.9932885906040269
momentum_3,0.9923298178331735
momentum_5,0.9904122722914669
momentum_10,0.9856184084372004
momentum_20,0.9760306807286673
momentum_40,0.9568552253116012
momentum_60,0.9376797698945349
momentum_120,0.8801534036433365
reversal_1,0.9942473633748802
reversal_2,0.9932885906040269
reversal_3,0.9923298178331735
reversal_5,0.9904122722914669
reversal_10,0.9856184084372004
reversal_20,0.9760306807286673
volatility_5,0.9913710450623202
volatility_10,0.987535953978907
volatility_20,0.9827420901246404
volatility_40,0.9702780441035475
volatility_60,0.9568552253116012
volatility_120,0.9185043144774688
downside_volatility_5,0.9923298178331735
downside_volatility_10,0.9884947267497604
downside_volatility_20,0.9837008628954937
downside_volatility_60,0.9578139980824545
downside_volatility_120,0.9194630872483222
upside_volatility_5,0.9923298178331735
upside_volatility_10,0.9884947267497604
upside_volatility_20,0.9837008628954937
upside_volatility_60,0.9578139980824545
max_drawdown_20,0.9837008628954937
max_drawdown_60,0.9578139980824545
max_drawdown_120,0.9194630872483222
ma_bias_5,0.9923298178331735
ma_bias_10,0.9884947267497604
ma_bias_20,0.9837008628954937
ma_bias_40,0.9712368168744008
ma_bias_60,0.9578139980824545
ma_bias_120,0.9194630872483222
ma_slope_5,0.987535953978907
ma_slope_10,0.9789069990412272
ma_slope_20,0.9645254074784276
ma_slope_60,0.900287631831256
price_position_20,0.9837008628954937
price_position_40,0.9712368168744008
price_position_60,0.9578139980824545
price_position_120,0.9194630872483222
breakout_high_20,0.9837008628954937
breakout_high_40,0.9712368168744008
breakout_high_60,0.9578139980824545
breakout_high_120,0.9194630872483222
breakdown_low_20,0.9837008628954937
breakdown_low_40,0.9712368168744008
breakdown_low_60,0.9578139980824545
breakdown_low_120,0.9194630872483222
amount_mean_5,0.9923298178331735
amount_mean_10,0.9884947267497604
amount_mean_20,0.9837008628954937
amount_mean_40,0.9712368168744008
amount_mean_60,0.9578139980824545
amount_zscore_20,0.9837008628954937
amount_zscore_60,0.9578139980824545
amount_percentile_20,0.9837008628954937
amount_percentile_60,0.9578139980824545
turnover_mean_5,0.9923298178331735
turnover_mean_10,0.9884947267497604
turnover_mean_20,0.9837008628954937
turnover_mean_40,0.9712368168744008
turnover_mean_60,0.9578139980824545
turnover_zscore_20,0.9837008628954937
turnover_zscore_60,0.9578139980824545
turnover_percentile_20,0.9837008628954937
turnover_percentile_60,0.9578139980824545
volume_ratio_5_20,0.9817833173537871
volume_ratio_10_60,0.9578139980824545
amount_ratio_5_20,0.9817833173537871
amount_ratio_10_60,0.9578139980824545
intraday_return,0.9952061361457335
overnight_return,0.9942473633748802
gap_return,0.9942473633748802
amplitude,0.9942473633748802
close_position,0.9952061361457335
upper_shadow,0.9952061361457335
lower_shadow,0.9952061361457335
body_size,0.9952061361457335
return_skew_20,0.9808245445829339
return_skew_60,0.9568552253116012
return_kurt_20,0.9808245445829339
return_kurt_60,0.9568552253116012
amihud_illiquidity_20,0.9808245445829339
amihud_illiquidity_60,0.9568552253116012
limit_up_count_20,0.9952061361457335
limit_up_count_60,0.9952061361457335
limit_down_count_20,0.9952061361457335
limit_down_count_60,0.9952061361457335
up_day_ratio_20,0.9817833173537871
up_day_ratio_60,0.9578139980824545
down_day_ratio_20,0.9817833173537871
down_day_ratio_60,0.9578139980824545
up_streak,0.9952061361457335
down_streak,0.9952061361457335
new_high_distance_60,0.9578139980824545
new_low_distance_60,0.9578139980824545
