factor,ic_mean,rank_ic_mean,ic_ir,observations
momentum_1,-0.0006795829719680686,-0.0033838870868764777,-0.002067166892717456,1037
momentum_2,0.0023602915846536745,-0.005007605007605007,0.007132922626237766,1036
momentum_3,0.008587624549718788,0.006329966329966329,0.025381668343139437,1035
momentum_5,0.024885416288008735,0.02056381824048813,0.07219229781595919,1033
momentum_10,0.048287351643355236,0.03501945525291828,0.1469511292798005,1028
momentum_20,0.07343278373624053,0.05659343930463772,0.22531947260882887,1018
momentum_40,0.10048521376733029,0.0836096435294832,0.30075313654378844,998
momentum_60,0.08592179833724317,0.07772200532936728,0.25275771080755277,978
momentum_120,0.0654916617873703,0.06469928038555488,0.20388716475695154,918
reversal_1,0.0006795829719680686,0.0033838870868764777,0.002067166892717456,1037
reversal_2,-0.0023602915846536745,0.005007605007605007,-0.007132922626237766,1036
reversal_3,-0.008587624549718788,-0.006329966329966329,-0.025381668343139437,1035
reversal_5,-0.024885416288008735,-0.02056381824048813,-0.07219229781595919,1033
reversal_10,-0.048287351643355236,-0.03501945525291828,-0.1469511292798005,1028
reversal_20,-0.07343278373624053,-0.05659343930463772,-0.22531947260882887,1018
volatility_5,0.0073904705468699145,0.00737354199636598,0.0221120150180273,1034
volatility_10,0.012745077167281028,0.009802883200941453,0.037650106618551574,1030
volatility_20,-0.003060869603947697,-0.0068056171470805595,-0.009046384720397345,1025
volatility_40,-0.0021958804895133733,-0.007414061564259192,-0.006340681784728929,1012
volatility_60,-0.0025778835513588544,0.0068622092670188855,-0.007716761030222424,998
volatility_120,-0.010847982650363547,0.00017713671158347627,-0.031301602823330624,958
downside_volatility_5,-2.1790933696213695e-05,-0.004650458042623714,-6.348518266979793e-05,1035
downside_volatility_10,-0.01556739484055743,-0.013091144225964786,-0.046020002564082806,1031
downside_volatility_20,-0.04152000054272379,-0.03962431330852383,-0.11966295530569661,1026
downside_volatility_60,-0.06703233234503125,-0.05699639032972365,-0.18966263456452537,999
downside_volatility_120,-0.04742281810490612,-0.02681454798243119,-0.13803648741528296,959
upside_volatility_5,0.018022988295153794,0.015944056614022376,0.053617369871954174,1035
upside_volatility_10,0.02301367999052499,0.02699938277047879,0.07008400046678154,1031
upside_volatility_20,0.029072820041331136,0.037166991552956455,0.08806446916441142,1026
upside_volatility_60,0.04417149370975432,0.056013589346922674,0.13161108250683393,999
max_drawdown_20,0.05637482912754889,0.04052218087305806,0.1727913966562775,1026
max_drawdown_60,0.08131766037726675,0.0642399975733309,0.2308709149400128,999
