symbol,name,theme_count,themes,reasons
000426,Xingye Silver Tin,1,metals_energy_metals,silver tin
000630,Tongling Nonferrous,1,metals_energy_metals,copper
000737,North Copper,1,metals_energy_metals,copper
000807,Yunnan Aluminum,1,metals_energy_metals,aluminum
000831,China Rare Earth,1,metals_energy_metals,rare earth
000878,Yunnan Copper,1,metals_energy_metals,copper
000933,Shenhuo,1,metals_energy_metals,coal aluminum
000960,Yunnan Tin,1,metals_energy_metals,tin
000975,Yintai Gold,1,metals_energy_metals,gold
002155,Hunan Gold,1,metals_energy_metals,gold antimony
002182,Baowu Magnesium,1,metals_energy_metals,magnesium
002203,Hailiang,1,metals_energy_metals,copper pipe
002237,Hengbang,1,metals_energy_metals,gold smelting
002460,Ganfeng Lithium,1,metals_energy_metals,lithium
002466,Tianqi Lithium,1,metals_energy_metals,lithium
002532,Tianshan Aluminum,1,metals_energy_metals,aluminum
002738,Sinomine Resource,1,metals_energy_metals,cesium lithium
002756,Yongxing Materials,1,metals_energy_metals,lithium stainless steel
002988,New Material Seed,1,metals_energy_metals,new material seed
300618,Hanrui Cobalt,1,metals_energy_metals,cobalt
300697,Electric Alloy,1,metals_energy_metals,copper alloy
301026,Battery Metal Seed,1,metals_energy_metals,battery metal seed
301219,Tengyuan Cobalt,1,metals_energy_metals,cobalt copper
600111,Northern Rare Earth,1,metals_energy_metals,rare earth
600219,Nanshan Aluminum,1,metals_energy_metals,aluminum
600362,Jiangxi Copper,1,metals_energy_metals,copper
600456,BaoTi,1,metals_energy_metals,titanium
600489,Zhongjin Gold,1,metals_energy_metals,gold
600497,Chihong ZnGe,1,metals_energy_metals,zinc germanium
600547,Shandong Gold,1,metals_energy_metals,gold
600711,Silver Lead Zinc Seed,1,metals_energy_metals,silver lead zinc watchlist
600988,Chifeng Gold,1,metals_energy_metals,gold
601168,Western Mining,1,metals_energy_metals,copper lead zinc
601212,Baiyin Nonferrous,1,metals_energy_metals,nonferrous metal
601600,Aluminum Corp of China,1,metals_energy_metals,aluminum
601609,Jintian Copper,1,metals_energy_metals,copper processing
601677,Mingtai Aluminum,1,metals_energy_metals,aluminum processing
601899,Zijin Mining,1,metals_energy_metals,copper gold lithium
603799,Huayou Cobalt,1,metals_energy_metals,cobalt nickel lithium material
603876,Dingsheng New Materials,1,metals_energy_metals,aluminum foil
603993,CMOC,1,metals_energy_metals,copper cobalt
