symbol,rows,start_date,end_date,missing_ratio,duplicate_dates,missing_cells,non_positive_price_rows,high_low_error_rows,amount_error_rows
601899,1558,2020-01-02,2026-06-10,0.07261904761904758,0,0,0,0,0
603993,1558,2020-01-02,2026-06-10,0.07261904761904758,0,0,0,0,0
600547,1558,2020-01-02,2026-06-10,0.07261904761904758,0,1,0,0,0
600489,1558,2020-01-02,2026-06-10,0.07261904761904758,0,0,0,0,0
600988,1558,2020-01-02,2026-06-10,0.07261904761904758,0,6,0,0,0
600362,1558,2020-01-02,2026-06-10,0.07261904761904758,0,0,0,0,0
000630,1558,2020-01-02,2026-06-10,0.07261904761904758,0,30,0,0,0
000878,1558,2020-01-02,2026-06-10,0.07261904761904758,0,27,0,0,0
601600,1558,2020-01-02,2026-06-10,0.07261904761904758,0,0,0,0,0
000807,1558,2020-01-02,2026-06-10,0.07261904761904758,0,0,0,0,0
600219,1558,2020-01-02,2026-06-10,0.07261904761904758,0,0,0,0,0
000933,1558,2020-01-02,2026-06-10,0.07261904761904758,0,30,0,0,0
601168,1558,2020-01-02,2026-06-10,0.07261904761904758,0,0,0,0,0
600497,1558,2020-01-02,2026-06-10,0.07261904761904758,0,0,0,0,0
601958,1558,2020-01-02,2026-06-10,0.07261904761904758,0,0,0,0,0
000960,1558,2020-01-02,2026-06-10,0.07261904761904758,0,0,0,0,0
600111,1558,2020-01-02,2026-06-10,0.07261904761904758,0,0,0,0,0
000831,1558,2020-01-02,2026-06-10,0.07261904761904758,0,0,0,0,0
002460,1558,2020-01-02,2026-06-10,0.07261904761904758,0,0,0,0,0
002466,1558,2020-01-02,2026-06-10,0.07261904761904758,0,0,0,0,0
