factor,coverage
momentum_1,0.9961449498843485
momentum_2,0.99550244153174
momentum_3,0.9948599331791314
momentum_5,0.9935749164739142
momentum_10,0.9903623747108713
momentum_20,0.9839372911847855
momentum_40,0.9710871241326138
momentum_60,0.9582369570804421
momentum_120,0.9196864559239271
reversal_1,0.9961449498843485
reversal_2,0.99550244153174
reversal_3,0.9948599331791314
reversal_5,0.9935749164739142
reversal_10,0.9903623747108713
reversal_20,0.9839372911847855
volatility_5,0.9942174248265228
volatility_10,0.9916473914160884
volatility_20,0.9884348496530455
volatility_40,0.9800822410691339
volatility_60,0.9710871241326138
volatility_120,0.9453867900282704
downside_volatility_5,0.9948599331791314
downside_volatility_10,0.992289899768697
downside_volatility_20,0.9890773580056541
downside_volatility_60,0.9717296324852223
downside_volatility_120,0.9460292983808789
upside_volatility_5,0.9948599331791314
upside_volatility_10,0.992289899768697
upside_volatility_20,0.9890773580056541
upside_volatility_60,0.9717296324852223
max_drawdown_20,0.9890773580056541
max_drawdown_60,0.9717296324852223
max_drawdown_120,0.9460292983808789
ma_bias_5,0.9948599331791314
ma_bias_10,0.992289899768697
ma_bias_20,0.9890773580056541
ma_bias_40,0.9807247494217425
ma_bias_60,0.9717296324852223
ma_bias_120,0.9460292983808789
ma_slope_5,0.9916473914160884
ma_slope_10,0.9858648162426111
ma_slope_20,0.9762271909534824
ma_slope_60,0.9331791313287072
price_position_20,0.9890773580056541
price_position_40,0.9807247494217425
price_position_60,0.9717296324852223
price_position_120,0.9460292983808789
breakout_high_20,0.9890773580056541
breakout_high_40,0.9807247494217425
breakout_high_60,0.9717296324852223
breakout_high_120,0.9460292983808789
breakdown_low_20,0.9890773580056541
breakdown_low_40,0.9807247494217425
breakdown_low_60,0.9717296324852223
breakdown_low_120,0.9460292983808789
amount_mean_5,0.9948599331791314
amount_mean_10,0.992289899768697
amount_mean_20,0.9890773580056541
amount_mean_40,0.9807247494217425
amount_mean_60,0.9717296324852223
amount_zscore_20,0.9890773580056541
amount_zscore_60,0.9717296324852223
amount_percentile_20,0.9890773580056541
amount_percentile_60,0.9717296324852223
turnover_mean_5,0.9948599331791314
turnover_mean_10,0.992289899768697
turnover_mean_20,0.9890773580056541
turnover_mean_40,0.9807247494217425
turnover_mean_60,0.9717296324852223
turnover_zscore_20,0.9890773580056541
turnover_zscore_60,0.9717296324852223
turnover_percentile_20,0.9890773580056541
turnover_percentile_60,0.9717296324852223
volume_ratio_5_20,0.9877923413004369
volume_ratio_10_60,0.9717296324852223
amount_ratio_5_20,0.9877923413004369
amount_ratio_10_60,0.9717296324852223
intraday_return,0.9967874582369571
overnight_return,0.9961449498843485
gap_return,0.9961449498843485
amplitude,0.9961449498843485
close_position,0.9960485736314572
upper_shadow,0.9960485736314572
lower_shadow,0.9960485736314572
body_size,0.9960485736314572
return_skew_20,0.9871498329478283
return_skew_60,0.9710871241326138
return_kurt_20,0.9871498329478283
return_kurt_60,0.9710871241326138
amihud_illiquidity_20,0.9871498329478283
amihud_illiquidity_60,0.9710871241326138
limit_up_count_20,0.9967874582369571
limit_up_count_60,0.9967874582369571
limit_down_count_20,0.9967874582369571
limit_down_count_60,0.9967874582369571
up_day_ratio_20,0.9877923413004369
up_day_ratio_60,0.9717296324852223
down_day_ratio_20,0.9877923413004369
down_day_ratio_60,0.9717296324852223
up_streak,0.9967874582369571
down_streak,0.9967874582369571
new_high_distance_60,0.9717296324852223
new_low_distance_60,0.9717296324852223
