factor,ic_mean,rank_ic_mean,ic_ir,observations
momentum_1,0.002192767316512013,-0.0023528075133870223,0.0062094852183207415,1552
momentum_2,-0.007511359657390651,-0.011401715057617966,-0.020920525040557067,1551
momentum_3,-0.013636240831952846,-0.01844488847889862,-0.037764842275896736,1550
momentum_5,-0.015936751465073222,-0.02106780247773619,-0.04422985943416863,1548
momentum_10,-0.013925832898271984,-0.030339115206455346,-0.03770766602054002,1543
momentum_20,-0.010530841685908253,-0.021011798212972478,-0.028424977787673566,1533
momentum_40,-0.006596136480968294,-0.014975881287689756,-0.017300317574645917,1513
momentum_60,-0.024592657750881843,-0.02671789184212784,-0.0635452935437725,1493
momentum_120,-0.009732080804729188,-0.010039547848279349,-0.025073299719647862,1433
reversal_1,-0.002192767316512013,0.0023528075133870223,-0.0062094852183207415,1552
reversal_2,0.007511359657390651,0.011401715057617966,0.020920525040557067,1551
reversal_3,0.013636240831952846,0.01844488847889862,0.037764842275896736,1550
reversal_5,0.015936751465073222,0.02106780247773619,0.04422985943416863,1548
reversal_10,0.013925832898271984,0.030339115206455346,0.03770766602054002,1543
reversal_20,0.010530841685908253,0.021011798212972478,0.028424977787673566,1533
volatility_5,-0.029438909487867752,-0.041278976308910684,-0.08641850067825575,1549
volatility_10,-0.02835018470709513,-0.0410280115701623,-0.08086683189413486,1545
volatility_20,-0.019809284997629472,-0.03893054893249721,-0.056955623811612316,1540
volatility_40,-0.04426469220367756,-0.06618134446521681,-0.12671534953437139,1527
volatility_60,-0.046524726458530216,-0.063081128773338,-0.13711159894840141,1513
volatility_120,-0.04093426890062084,-0.05141201324801426,-0.12530357345646492,1473
downside_volatility_5,-0.015090071020066844,-0.02403431646798668,-0.045570026945189204,1550
downside_volatility_10,-0.0017105932620780542,-0.01641858827030706,-0.005069751647169529,1546
downside_volatility_20,-7.05125991967243e-05,-0.010876009210722083,-0.00020723732872759333,1541
downside_volatility_60,-0.03164554768098113,-0.04120849492658645,-0.09411541241705938,1514
downside_volatility_120,-0.027772572085665827,-0.037891408556394,-0.08479698713464273,1474
upside_volatility_5,-0.02323199191416562,-0.03415144724540328,-0.06790311973859532,1550
upside_volatility_10,-0.03179992655437494,-0.04376552191749573,-0.09118821069890366,1546
upside_volatility_20,-0.019865722893302278,-0.03193823184581421,-0.057992031395667505,1541
upside_volatility_60,-0.05141114578039584,-0.07214650014671356,-0.1519569455754798,1514
max_drawdown_20,0.002488096568515577,0.004689174573831043,0.007136095225434775,1541
max_drawdown_60,0.029636308213009263,0.0281624491029809,0.08494400993873691,1514
max_drawdown_120,0.00516428433438529,0.009852740087678663,0.014844705070960777,1474
ma_bias_5,-0.012706975572683478,-0.01650543298070908,-0.03533906617333603,1550
ma_bias_10,-0.014419576555838308,-0.023923634488195403,-0.04015445603775321,1546
ma_bias_20,-0.015988363267676248,-0.03096231458626876,-0.04376915210943054,1541
ma_bias_40,-0.005237255199672703,-0.01558321617480235,-0.0140594277370731,1528
ma_bias_60,-0.009247614199827999,-0.016830546020530714,-0.02429038980825078,1514
ma_bias_120,-0.01053762222110165,-0.015330287636550071,-0.027348770728244716,1474
ma_slope_5,-0.014056666322466863,-0.02389230240789705,-0.038678929156376524,1545
ma_slope_10,-0.008400953854678971,-0.016817293186161545,-0.022674526882817948,1536
ma_slope_20,0.013206415721185232,0.00364163896102667,0.03545012689863602,1521
ma_slope_60,-0.011987332767432014,-0.01260328074204289,-0.03180463360088791,1454
price_position_20,-0.006994221028486906,-0.008850257344822247,-0.02049120629314242,1541
price_position_40,0.012287540104417037,0.0012197484298698826,0.03559782031381915,1528
price_position_60,0.008328760714849876,-0.004084812779587774,0.023871436613540447,1514
price_position_120,0.01896064592624293,0.008106118471888224,0.05448619836658353,1474
breakout_high_20,-0.0076960745802759824,-0.004193922578903168,-0.022455166482346092,1541
breakout_high_40,0.026834347168356688,0.0180327038371965,0.07617748269740313,1528
breakout_high_60,0.021715772656664686,0.013355921150054795,0.06044785081105342,1514
breakout_high_120,0.022411768488226583,0.013294926569492192,0.06531115143565251,1474
breakdown_low_20,-0.015916989523513496,-0.026444466431160673,-0.04414542137893281,1541
breakdown_low_40,-0.013165087302829727,-0.028305535599752796,-0.03583385495986014,1528
breakdown_low_60,-0.01889686714854578,-0.031117049180984173,-0.05221195594744992,1514
breakdown_low_120,-0.009440307533397228,-0.020452255560059987,-0.025356003746835394,1474
amount_mean_5,-0.03247763775773972,-0.051175204927010526,-0.0945702130848569,1550
amount_mean_10,-0.027071481631392235,-0.04520412103235566,-0.07859281205845718,1546
amount_mean_20,-0.020654691916679572,-0.03874569816647815,-0.05979444975218548,1541
amount_mean_40,-0.02972907387060301,-0.04846781408546159,-0.08680148908004745,1528
amount_mean_60,-0.02859400691250947,-0.045052246956291384,-0.08411956113143716,1514
amount_zscore_20,-0.03216762432085404,-0.03567402601700854,-0.1010604629692816,1541
amount_zscore_60,-0.025031949549678342,-0.033354373520490754,-0.07568592682758737,1514
amount_percentile_20,-0.03519668890508025,-0.041501498445427824,-0.11235188557160969,1539
amount_percentile_60,-0.017435915875536546,-0.029918595470308795,-0.05462542754750597,1512
turnover_mean_5,-0.01729092077019418,-0.040646028677257834,-0.05052579092933271,1550
turnover_mean_10,-0.009375699578576382,-0.0342461589834036,-0.027597587192389833,1546
turnover_mean_20,-0.005248349404982517,-0.027486416318275274,-0.015704961818561423,1541
turnover_mean_40,-0.016495482909595415,-0.035983637674769024,-0.05036377655462049,1528
turnover_mean_60,-0.0181702386478108,-0.041605705671900736,-0.05608178005649836,1514
