date,symbol,side,price,shares,gross_value,fee,tax,cost_basis,realized_pnl,slippage_rate,close
2020-01-06,601899,BUY,4.4209659255839995,30100,133071.07436007838,39.92132230802351,0.0,0.0,0.0,0.0008,4.34589462
2020-01-06,000630,BUY,2.024475005376,65900,133412.9028542784,40.023870856283516,0.0,0.0,0.0,0.0008,2.03157593
2020-01-06,601600,BUY,3.349845274032,39800,133323.8419064736,39.997152571942074,0.0,0.0,0.0,0.0008,3.39391569
2020-01-06,000807,BUY,4.6781112473999995,28500,133326.1705509,39.99785116526999,0.0,0.0,0.0,0.0008,4.8105185
2020-01-06,601168,BUY,5.383870133184,24700,132981.5922896448,39.89447768689343,0.0,0.0,0.0,0.0008,5.4028883
2020-01-06,601958,BUY,6.550276512383999,20300,132970.6132013952,39.89118396041856,0.0,0.0,0.0,0.0008,6.6524717
2020-01-13,000630,SELL,2.00381396536,41900,83959.805148584,25.187941544575196,83.959805148584,84825.5027252544,-974.8453233635519,0.0008,1.99669909
2020-01-13,601600,SELL,3.288436904192,25200,82868.6099856384,24.860582995691516,82.8686099856384,84416.10090560639,-1655.2201129493333,0.0008,3.29106976
2020-01-13,000807,SELL,4.77946251868,18500,88420.05659558,26.526016978673997,88.42005659558,86545.0580769,1760.0524451057427,0.0008,4.7560598
2020-01-13,601958,SELL,6.48200314568,12900,83617.840579272,25.085352173781597,83.617840579272,84498.56700975359,-989.4296232346533,0.0008,6.59462412
2020-01-13,601899,BUY,4.07194229988,7100,28910.790329148,8.6732370987444,0.0,0.0,0.0,0.0008,4.14022471
2020-01-13,000878,BUY,12.04235138016,8500,102359.98673136,30.707996019407997,0.0,0.0,0.0,0.0008,12.02384496
2020-01-13,000933,BUY,4.108087903248,25200,103523.8151618496,31.057144548554877,0.0,0.0,0.0,0.0008,4.1360193
2020-01-13,601168,BUY,5.212706631839999,4400,22935.909180095994,6.880772754028798,0.0,0.0,0.0,0.0008,5.27850526
2020-01-13,600497,BUY,3.722568334128,27800,103487.39968875839,31.046219906627513,0.0,0.0,0.0,0.0008,3.73673364
2020-01-13,000960,BUY,9.744264059904,10600,103289.19903498239,30.986759710494713,0.0,0.0,0.0,0.0008,9.94363392
2020-01-20,601899,SELL,4.11010748144,19700,80969.117384368,24.2907352153104,80.969117384368,87093.0287340048,-6229.171202236481,0.0008,4.05974518
2020-01-20,000630,SELL,1.9863894960959998,12500,24829.868701199997,7.448960610359999,24.8298687012,25305.9375672,-508.3476953115605,0.0008,2.01413751
2020-01-20,000807,SELL,4.7159781968,5200,24523.08662336,7.356925987007999,24.52308662336,24326.178486479996,165.02812426963283,0.0008,4.72883045
2020-01-20,000933,SELL,4.070329948944,13200,53728.3553260608,16.11850659781824,53.7283553260608,54226.760322873604,-568.2518587366867,0.0008,4.08139263
2020-01-20,601168,SELL,5.305353339183999,15600,82763.51209127039,24.829053627381114,82.76351209127039,83988.37407767039,-1332.4545521186665,0.0008,5.27073132
2020-01-20,600497,SELL,3.699489718656,14600,54012.549892377596,16.203764967713276,54.0125498923776,54349.497678268795,-407.16410075129534,0.0008,3.74530413
2020-01-20,000960,SELL,10.53784137728,6000,63227.04826367999,18.968114479103996,63.22704826368,58465.584359424,4679.2687415132095,0.0008,10.5462784
2020-01-20,600362,BUY,14.253414376608,6000,85520.486259648,25.656145877894396,0.0,0.0,0.0,0.0008,14.32950246
2020-01-20,000878,BUY,11.491336040256,3300,37921.4089328448,11.37642267985344,0.0,0.0,0.0,0.0008,11.59759344
2020-01-20,601600,BUY,3.246917067288,19100,62016.1159852008,18.604834795560237,0.0,0.0,0.0,0.0008,3.23497198
2020-01-20,601958,BUY,6.3683243870399995,9800,62409.57899299199,18.722873697897597,0.0,0.0,0.0,0.0008,6.3632338
2020-01-20,600111,BUY,10.401633374975999,8300,86333.5570123008,25.900067103690237,0.0,0.0,0.0,0.0008,10.54844288
2020-01-20,000831,BUY,12.165233036903999,7100,86373.15456201839,25.911946368605516,0.0,0.0,0.0,0.0008,12.27438891
2020-02-03,601899,SELL,3.448916277904,10500,36213.620917992,10.864086275397598,36.213620917991996,46385.2398560616,-10218.696645262993,0.0008,3.45167762
2020-02-03,000878,SELL,9.62735235168,7100,68354.20169692801,20.506260509078402,68.35420169692802,85500.69479913599,-17235.353564413992,0.0008,9.6350604
2020-02-03,000807,SELL,3.854405257,2900,11177.7752453,3.3533325735899995,11.1777752453,13566.52261746,-2403.2784799788897,0.0008,3.85749125
2020-02-03,000933,SELL,3.407536758024,7200,24534.2646577728,7.36027939733184,24.534264657772802,29578.2329033856,-5075.862789667906,0.0008,3.41026497
2020-02-03,601168,SELL,4.536348975232,8200,37198.0615969024,11.15941847907072,37.1980615969024,44147.7350921088,-6998.030975282374,0.0008,4.53998096
2020-02-03,601958,SELL,5.416807724288,10500,56876.481105023995,17.062944331507197,56.876481105024,68213.8517914656,-11411.310111878127,0.0008,5.42114464
2020-02-03,600111,SELL,8.844690962096,5100,45107.9239066896,13.532377172006878,45.1079239066896,53048.330212377594,-7999.046606766693,0.0008,8.85177238
2020-02-03,000831,SELL,10.185828822791999,4300,43799.063938005595,13.139719181401677,43.799063938005595,52310.5020586872,-8568.376903801014,0.0008,10.19398401
