factor,coverage
momentum_20,0.9760306807286673
momentum_60,0.9376797698945349
reversal_5,0.9904122722914669
reversal_10,0.9856184084372004
volatility_20,0.9808245445829339
volatility_60,0.9568552253116012
amount_mean_20,0.9817833173537871
amount_mean_60,0.9578139980824545
turnover_mean_20,0.9817833173537871
turnover_mean_60,0.9578139980824545
volume_ratio_5_20,0.9817833173537871
price_position_60,0.9578139980824545
ma_bias_20,0.9817833173537871
max_drawdown_60,0.9578139980824545
downside_volatility_20,0.9817833173537871
