factor,ic_mean,rank_ic_mean,ic_ir,observations
momentum_20,0.07343278373624053,0.05659343930463772,0.2253194726088289,1018
momentum_60,0.08592179833724317,0.07772200532936728,0.2527577108075527,978
reversal_5,-0.024885416288008735,-0.020563818240488134,-0.07219229781595918,1033
reversal_10,-0.04828735164335523,-0.03501945525291829,-0.14695112927980053,1028
volatility_20,-0.0032095419000491314,-0.006866317130246747,-0.009491807836833337,1023
volatility_60,-0.002577883551358852,0.006862209267018887,-0.007716761030222411,998
amount_mean_20,0.03368944457509915,0.016666666666666666,0.0995264387806733,1024
amount_mean_60,0.026051303942053777,0.007468074134740798,0.07717810717439466,999
turnover_mean_20,0.00042171097604988463,-0.00411931818181818,0.001248527850291986,1024
turnover_mean_60,-0.0029660441633713483,-0.018824885491552153,-0.00929855239071594,999
volume_ratio_5_20,-0.0004385131334732669,0.002852746212121212,-0.0013344269314080287,1024
price_position_60,0.09294660998439169,0.07512360845694177,0.27902903111251387,999
ma_bias_20,0.05998849905350778,0.05233191287878788,0.18260243058288103,1024
max_drawdown_60,0.08131766037726675,0.06423999757333089,0.23087091494001272,999
downside_volatility_20,-0.04082850719354626,-0.038944128787878785,-0.11767975001684701,1024
